	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX3243879	16268572	4391	7448	16251077	0	0	0	0	224	0	0	0	0	5039	393	0	0.026990691008405652	16268572.0	17495.0	0.11	16251077.0	99.89	SRX3243879_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16268572.0	0.0	20-100	51.0	10.152397037928708	95.97719148306317	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass	16665791	4465407	16665791	1666579100	131761948	1522352205	8.654068384752934			0.2556	0.5763	0.168
SRX3243880	16858060	167666	42574	16516232	0	0	0	0	157	0	0	0	0	115098	16213	120	0.9945747019526564	16858060.0	341828.0	2.03	16516232.0	97.97	SRX3243880_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16858060.0	0.0	20-100	62.0	22.830505837485127	96.37675295971184	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	17195743	3747636	17195743	1719574300	130673969	1581540237	8.027222958612489			0.4478	0.3838	0.1684
SRX3243881	11461242	195782	65441	11076271	0	0	0	0	2412	0	0	0	0	100044	21143	149	1.7082092848227093	11461242.0	384971.0	3.36	11076271.0	96.64	SRX3243881_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11461242.0	0.0	20-100	62.0	18.78818030553024	96.29726987703428	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass	11689460	2587274	11689460	1168946000	87743179	1075418495	8.001011595060849			0.4304	0.434	0.1355
SRX3287178	12325372	8443700	137607	289699	0	0	0	0	0	0	0	0	0	3144700	298217	11449	68.50665440361556	12325372.0	12035673.0	97.65	289699.0	2.35	SRX3287178_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12325372.0	0.0	20-50	64.0	31.22857253715093	48.50474525231368	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	12398868	2600307	12398868	619943400	15635794	598171067	3.5119872233497453	0.0508	0.47	0.4792		
SRX3456099	4599278	572331	3161357	479221	0	0	0	0	35108	0	0	0	0	312385	37705	1171	12.443931417061545	4599278.0	4120057.0	89.58	479221.0	10.42	SRX3456099_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4599278.0	0.0	20-101	57.0	13.037576118051062	96.45820061322668	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	4611038	2147658	4611038	465714838	2236464	446086720	4.214621566341418			0.1162	0.0142	0.8696
SRX3456100	5335529	595540	3757272	577081	0	0	0	0	41007	0	0	0	0	324435	38818	1376	11.161779834764275	5335529.0	4758448.0	89.18	577081.0	10.82	SRX3456100_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5335529.0	0.0	20-101	57.0	12.326110895306366	96.71778412224917	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	5349791	1771267	5349791	540328891	1324006	521694449	3.4487221228375886			0.1062	0.0129	0.8809
SRX3456101	11581071	1446759	7957783	1219312	0	0	0	0	82869	0	0	0	0	776683	94473	3192	12.492445646866338	11581071.0	10361759.0	89.47	1219312.0	10.53	SRX3456101_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11581071.0	0.0	20-101	57.0	10.572994944529071	96.56037321591414	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	11603829	5278988	11603829	1171986729	4959028	1126365134	3.892671637922617			0.1162	0.0142	0.8697
SRX3456102	4248647	452580	3177283	278663	0	0	0	0	27390	0	0	0	0	283715	27852	1164	10.652332377813456	4248647.0	3969984.0	93.44	278663.0	6.56	SRX3456102_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4248647.0	0.0	20-101	58.0	13.924660679562994	96.55827561103571	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	4260386	1527839	4260386	430298986	1016818	414794142	3.603272260557918			0.1062	0.0112	0.8826
SRX3456103	4732560	445599	3677803	263127	0	0	0	0	33355	0	0	0	0	283636	27959	1081	9.415601703940363	4732560.0	4469433.0	94.44	263127.0	5.56	SRX3456103_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4732560.0	0.0	20-101	58.0	11.886069172845321	96.643288621803	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	4745778	2199312	4745778	479323578	2231038	459933194	4.045364111005614			0.092	0.0096	0.8984
SRX3456104	4709374	448310	3599351	307005	0	0	0	0	37165	0	0	0	0	288443	27948	1152	9.519524250993866	4709374.0	4402369.0	93.48	307005.0	6.52	SRX3456104_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4709374.0	0.0	20-101	58.0	12.866257522032184	96.45919309020691	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	4724088	2177469	4724088	477132888	2316934	457574390	4.0991720528809985			0.096	0.0099	0.8941
SRX3456105	5634454	549210	4414560	176170	0	0	0	0	165669	0	0	0	0	296186	31669	990	9.74735085245172	5634454.0	5458284.0	96.87	176170.0	3.13	SRX3456105_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5634454.0	0.0	20-101	58.0	11.81179262055782	92.86314343856566	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	5654740	2431519	5654740	571128740	1615896	528969294	7.381776304936081			0.0844	0.0147	0.9008
SRX3456106	4977598	461920	3931071	154371	0	0	0	0	150681	0	0	0	0	253049	25723	783	9.279978013491649	4977598.0	4823227.0	96.9	154371.0	3.1	SRX3456106_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4977598.0	0.0	20-101	58.0	11.816462676430778	93.15198053358264	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5029275	2663148	5029275	507956775	6393501	467029428	8.057249950057265			0.0796	0.0146	0.9058
SRX3456107	5578800	542384	4379710	175100	0	0	0	0	156566	0	0	0	0	293284	30804	952	9.722234172223418	5578800.0	5403700.0	96.86	175100.0	3.14	SRX3456107_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5578800.0	0.0	20-101	58.0	11.569925668916873	93.16564924356493	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5596630	2378535	5596630	565259630	1492287	525684392	7.001249673534972			0.084	0.0146	0.9013
SRX3456108	5664330	594414	4366979	277246	0	0	0	0	55527	0	0	0	0	333768	35041	1355	10.493986049541606	5664330.0	5387084.0	95.11	277246.0	4.89	SRX3456108_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5664330.0	0.0	20-101	58.0	12.353449292575352	95.69737886034183	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	5678160	2745906	5678160	573494160	2530794	545980489	4.797550335996447			0.0936	0.0104	0.8959
