	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX1101427	152167989	87125072	8217444	17376724	0	0	0	0	0	0	0	0	0	33720823	5608592	119334	57.255847680289705	152167989.0	134791265.0	88.58	17376724.0	11.42	ERX1101427_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	152167989.0	0.0	20-100	58.0	13.597391992842107	97.3432781056205	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	152206984	40406722	152206984	15220698400	261716139	14863436222	2.3472127796711346	0.4517	0.0851	0.4633		
ERX1101428	18752116	7393819	3095173	2418117	0	0	0	0	0	0	0	0	0	5378813	457730	8464	39.42925161085821	18752116.0	16333999.0	87.1	2418117.0	12.9	ERX1101428_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18752116.0	0.0	20-80	59.0	34.695707232491266	78.57713113549427	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass	18759446	5514570	18759446	1500755680	14145520	1478619813	1.4749813907084464	0.461	0.1047	0.4343		
ERX1101429	159832564	40288283	54172991	10579089	0	0	0	0	0	0	0	0	0	52056606	2682721	52874	25.20655490454373	159832564.0	149253475.0	93.38	10579089.0	6.62	ERX1101429_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	159832564.0	0.0	20-100	59.0	5.317069194167701	97.05077598579977	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	159867491	51992278	159867491	15986749100	197654796	15561690915	2.6588156375081917	0.5557	0.0721	0.3722		
ERX1101430	19312369	10863906	1405072	493573	0	0	0	0	0	0	0	0	0	5867432	668258	14128	56.25361652938591	19312369.0	18818796.0	97.44	493573.0	2.56	ERX1101430_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19312369.0	0.0	20-80	63.0	34.09424407753043	78.63556739206878	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	19318490	4668277	19318490	1545479200	15646047	1523131701	1.4459915733579591	0.4339	0.1181	0.4479		
ERX1404043	6439971	1731605	613120	2420951	0	0	0	0	0	0	0	0	0	1459501	210686	4108	26.88839747880852	6439971.0	4019020.0	62.41	2420951.0	37.59	ERX1404043_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6439971.0	0.0	20-96	55.0	42.606531205142616	84.61964782139547	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	6447428	3015348	6447428	618953088	67850082	547701328	11.511657568465026	0.6312	0.0734	0.2954		
ERX1404044	8878622	3182346	909029	2963337	0	0	0	0	0	0	0	0	0	1448520	371337	4053	35.84279182062261	8878622.0	5915285.0	66.62	2963337.0	33.38	ERX1404044_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8878622.0	0.0	20-96	55.0	24.655953596297444	85.60781076162496	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8886245	4591570	8886245	853079520	83668812	764329993	10.403429565393855	0.5425	0.0911	0.3664		
ERX1404045	4201828	1211504	402075	1595314	0	0	0	0	0	0	0	0	0	842970	147611	2354	28.83278420725456	4201828.0	2606514.0	62.03	1595314.0	37.97	ERX1404045_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4201828.0	0.0	20-96	55.0	48.325031620941246	85.1817456592702	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	4205740	1970701	4205740	403751040	41816657	359718357	10.905899586041933	0.5938	0.0834	0.3228		
ERX1404046	9100744	3119797	909371	3290611	0	0	0	0	0	0	0	0	0	1416704	360115	4146	34.28068078829599	9100744.0	5810133.0	63.84	3290611.0	36.16	ERX1404046_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9100744.0	0.0	20-96	55.0	25.72587550277155	84.71659833525699	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9109673	4879218	9109673	874528608	93759208	775401452	11.334924334459279	0.5421	0.0922	0.3657		
ERX1776916	568196	117	89887	409334	0	0	0	0	49462	0	0	0	0	19389	7	0	0.020591486036508528	568196.0	158862.0	27.96	409334.0	72.04	ERX1776916_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	568196.0	0.0	20-54	58.0	56.653326080675676	44.86566255306268	pass	pass		pass	fail	fail	pass	warn	warn	warn	pass	13138261	2366177	13138261	709466094	629280476	70697000	90.03518271022547			0.0003	0.847	0.1527
ERX1776917	15178	0	0	15178	0	0	0	0	0	0	0	0	0	0	0	0	0.0	15178.0	0.0	0.0	15178.0	100.0	ERX1776917_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15178.0	0.0	18-54	53.0	74.27197259190935	33.40051390169983	pass	pass		pass	fail	fail	pass	warn	pass	fail	pass	8783954	2599119	8783954	474333516	201084179	269819606	43.11605718369688					
ERX1776918	12242206	14815	5385517	5447307	0	0	0	0	1224863	0	0	0	0	168988	609	107	0.12101577117718815	12242206.0	6794899.0	55.5	5447307.0	44.5	ERX1776918_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12242206.0	0.0	20-54	59.0	61.83736401988455	46.67877570431342	pass	pass		warn	fail	warn	pass	warn	warn	fail	pass	17620491	8317479	17620491	951506514	129832227	673847730	29.18096512369226			0.0636	0.3245	0.6119
ERX1776919	12173086	371537	4746083	6881192	0	0	0	0	91806	0	0	0	0	47095	28823	6550	3.0521184192734694	12173086.0	5291894.0	43.47	6881192.0	56.53	ERX1776919_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12173086.0	0.0	20-54	59.0	91.9462454793821	50.73291390531538	pass	pass		warn	fail	warn	pass	warn	pass	pass	pass	13105818	3805131	13105818	707714172	47650875	646002112	8.71991298769696			0.2745	0.2826	0.4429
ERX1776920	16672189	427437	6595294	9406238	0	0	0	0	142190	0	0	0	0	59793	33157	8080	2.5637725196133507	16672189.0	7265951.0	43.58	9406238.0	56.42	ERX1776920_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16672189.0	0.0	20-54	59.0	94.64992372449821	51.20809355028305	pass	pass		warn	fail	warn	pass	warn	pass	pass	pass	18371641	4923428	18371641	992068614	93726935	881295936	11.165828294211108			0.2549	0.2888	0.4563
ERX1776921	17809671	91641	819308	16362223	0	0	0	0	3337	0	0	0	0	524745	5638	2779	0.5145575120393857	17809671.0	1447448.0	8.13	16362223.0	91.87	ERX1776921_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17809671.0	0.0	20-54	59.0	84.54671330975731	52.960653624651464	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass	18396879	3862876	18396879	993431466	33556233	954827431	3.885928352504993			0.1869	0.2635	0.5496
ERX1776922	11357351	940	333327	10981603	0	0	0	0	4949	0	0	0	0	36434	73	25	0.008276577874541344	11357351.0	375748.0	3.31	10981603.0	96.69	ERX1776922_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11357351.0	0.0	20-54	58.0	45.6757869779634	52.740591886259395	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	11909307	2575028	11909307	643102578	24328023	614709232	4.415057095292813			0.0021	0.0741	0.9238
ERX1776923	21335571	127163	1263310	19919204	0	0	0	0	9312	0	0	0	0	8415	4370	3797	0.5960140462141837	21335571.0	1416367.0	6.64	19919204.0	93.36	ERX1776923_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21335571.0	0.0	20-54	59.0	14.02852376337944	52.373635324782256	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	23376088	4915846	23376088	1262308752	55955056	1199898119	4.944165435050393			0.0474	0.4438	0.5089
ERX1776924	23628691	285383	2449184	20843221	0	0	0	0	11618	0	0	0	0	23407	9975	5903	1.2077816752523447	23628691.0	2785470.0	11.79	20843221.0	88.21	ERX1776924_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23628691.0	0.0	20-54	59.0	23.55626174844596	51.46724285319064	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	26961139	6110384	26961139	1455901506	188255796	1259541571	13.487171638381422			0.0498	0.3662	0.584
ERX1776925	23347902	47230	424055	22654009	0	0	0	0	1522	0	0	0	0	217580	2455	1051	0.2022879828774337	23347902.0	693893.0	2.97	22654009.0	97.03	ERX1776925_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23347902.0	0.0	20-54	59.0	16.28658349114718	51.92270406137562	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	25452385	5100115	25452385	1374428790	65230233	1302601177	5.225997412350479			0.0417	0.299	0.6592
ERX1776926	16252360	145272	1133778	14943620	0	0	0	0	5534	0	0	0	0	11273	5087	7796	0.893851723688129	16252360.0	1308740.0	8.05	14943620.0	91.95	ERX1776926_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16252360.0	0.0	20-54	59.0	18.164068212959585	52.92342509026381	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	16558943	3613271	16558943	894182922	14735249	874714049	2.1772807913233665			0.057999999999999996	0.4363	0.5057
ERX1776927	24837996	86538	5267050	19433554	0	0	0	0	12246	0	0	0	0	33183	3144	2281	0.3484097509315969	24837996.0	5404442.0	21.76	19433554.0	78.24	ERX1776927_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24837996.0	0.0	20-54	59.0	9.234964394869637	52.75365271014618	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	25766495	5824558	25766495	1391390730	26891491	1356822975	2.4844031410213576			0.0144	0.4627	0.5229
ERX1776928	20766904	34874	2204796	18500818	0	0	0	0	10963	0	0	0	0	13608	1190	655	0.1679306650620622	20766904.0	2266086.0	10.91	18500818.0	89.09	ERX1776928_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20766904.0	0.0	20-54	58.0	14.004730825082385	51.982771529160054	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	21658292	4545353	21658292	1169547768	41121620	1122458043	4.026319085754522			0.0119	0.4464	0.5418
ERX1818308	15961680	11270162	93246	1021327	0	0	0	0	68327	0	0	0	0	2692468	499499	316651	70.60761774449806	15961680.0	14940353.0	93.6	1021327.0	6.4	ERX1818308_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15961680.0	0.0	20-51	64.0	34.95881691542656	49.70939832147994	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	16353060	597469	16353060	834006060	8633254	824480328	1.142165801529068			0.5079	0.249	0.243
ERX1818309	31506134	16232856	513263	4603617	0	0	0	0	30428	0	0	0	0	8686778	1127479	311713	51.5228431390535	31506134.0	26902517.0	85.39	4603617.0	14.61	ERX1818309_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31506134.0	0.0	20-51	63.0	38.93927102998885	47.90909684444306	pass	pass	fail	pass	fail	warn	warn	warn	fail	warn	pass	34393689	3579980	34393689	1729551463	198831475	1525907027	11.774407432015224			0.5278	0.2409	0.2314
ERX1818310	22506808	12899530	936384	1590536	0	0	0	0	63129	0	0	0	0	5881157	715667	420405	57.31390253118078	22506808.0	20916272.0	92.93	1590536.0	7.07	ERX1818310_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22506808.0	0.0	20-51	63.0	23.500450502554664	50.473622425712264	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	22915651	5638865	22915651	1168698201	4788248	1154922777	1.178698143645042			0.4935	0.2583	0.2481
ERX1818311	27827172	16078487	1183012	1627207	0	0	0	0	107270	0	0	0	0	7415279	896162	519755	57.779809604799226	27827172.0	26199965.0	94.15	1627207.0	5.85	ERX1818311_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27827172.0	0.0	20-51	63.0	22.922438390829363	50.184559968939716	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	28455343	6888066	28455343	1451222493	38961574	1400532085	3.492945309523948			0.4919	0.2577	0.2504
ERX1818315	20672411	884525	114780	19348229	0	0	0	0	3461	0	0	0	0	231744	61483	28189	4.278770386289244	20672411.0	1324182.0	6.41	19348229.0	93.59	ERX1818315_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20672411.0	0.0	20-51	45.0	80.05562203112207	50.76317430995349	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass	20962185	1925057	20962185	1069071435	5703435	1060687147	0.7842589115665596			0.4406	0.2796	0.2797
ERX1818316	44144031	298700	226478	43546205	0	0	0	0	346	0	0	0	0	54523	12932	4847	0.6766486730674868	44144031.0	597826.0	1.35	43546205.0	98.65	ERX1818316_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44144031.0	0.0	20-51	41.0	73.52327292422454	50.354770297257176	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	44426665	16301342	44426665	2265759915	21376008	2222203171	1.9223900869479367			0.2889	0.3611	0.3501
ERX1818317	50560614	367464	283012	49820101	0	0	0	0	577	0	0	0	0	67514	16042	5904	0.7267791486867623	50560614.0	740513.0	1.46	49820101.0	98.54	ERX1818317_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50560614.0	0.0	20-51	41.0	71.04872515305378	50.36152889678121	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	50894869	18608356	50894869	2595638319	7900849	2562187588	1.2887285087117717			0.289	0.3589	0.3521
ERX1818321	18470003	2671179	284299	14453104	0	0	0	0	9798	0	0	0	0	782662	176638	92323	14.46225536617401	18470003.0	4016899.0	21.75	14453104.0	78.25	ERX1818321_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18470003.0	0.0	20-51	49.0	74.76886455525742	49.704682722574546	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass	18752015	1528552	18752015	956352765	5461712	948736549	0.7963814482201033			0.4528	0.2763	0.2709
ERX1818322	39807543	669231	203766	38620028	0	0	0	0	2317	0	0	0	0	249914	40103	22184	1.6811663055918822	39807543.0	1187515.0	2.98	38620028.0	97.02	ERX1818322_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39807543.0	0.0	20-51	42.0	76.86201429860415	50.28773893430198	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass	40258281	14585456	40258281	2053172331	29206987	2003817409	2.4038372841290743			0.3875	0.3125	0.3
ERX1818323	45507412	816241	249201	44052949	0	0	0	0	3701	0	0	0	0	309425	48919	26976	1.7936440771450592	45507412.0	1454463.0	3.2	44052949.0	96.8	ERX1818323_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45507412.0	0.0	20-51	42.0	74.59592124865058	50.314151132127655	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass	46051849	16754497	46051849	2348644299	32833798	2292139239	2.405858563770537			0.3861	0.31	0.3039
ERX1818327	19950157	186764	26110	19651785	0	0	0	0	686	0	0	0	0	63849	14029	6934	0.9361530337831426	19950157.0	298372.0	1.5	19651785.0	98.5	ERX1818327_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19950157.0	0.0	20-51	44.0	82.68120502616532	50.770458097146815	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	20240222	2728267	20240222	1011171699	15841498	991877549	1.9080983001285523			0.4517	0.2752	0.2731
ERX1818328	38353435	91970	20742	38191933	0	0	0	0	381	0	0	0	0	38617	6245	3547	0.2397959921973091	38353435.0	161502.0	0.42	38191933.0	99.58	ERX1818328_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38353435.0	0.0	20-51	41.0	80.18893030301969	50.25416088545914	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	38905731	14447653	38905731	1984192281	4719400	1959469106	1.2460070143776556			0.425	0.2894	0.2857
ERX1818329	43704136	110658	25687	43507434	0	0	0	0	709	0	0	0	0	48000	7439	4209	0.25319800396008285	43704136.0	196702.0	0.45	43507434.0	99.55	ERX1818329_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43704136.0	0.0	20-51	41.0	77.68005636148423	50.28611873256115	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass	44340199	16515589	44340199	2261350149	5366829	2232506318	1.2755137019693803			0.4244	0.292	0.2836
ERX1941435	122943764	37177295	1233389	59845917	0	0	0	0	0	0	0	0	0	21799227	2822291	65645	30.23926858136538	122943764.0	63097847.0	51.32	59845917.0	48.68	ERX1941435_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	122943764.0	0.0	20-75	52.0	10.480940135011037	66.10170524793759	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	126475227	45066442	126475227	9485642025	888811965	8218940192	13.353886111889196	0.4126	0.1651	0.4223		
ERX1941436	25151680	16090306	85643	2942784	0	0	0	0	0	0	0	0	0	5235988	747262	49697	63.97308648965	25151680.0	22208896.0	88.3	2942784.0	11.7	ERX1941436_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25151680.0	0.0	20-75	61.0	30.347356076968197	72.95436646776676	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	25383830	8403725	25383830	1903787250	11890771	1854130349	2.608321964547246	0.27899999999999997	0.1658	0.5551		
ERX1941437	24475715	10361277	134423	6473230	0	0	0	0	0	0	0	0	0	7154779	339557	12449	42.332887925848134	24475715.0	18002485.0	73.55	6473230.0	26.45	ERX1941437_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24475715.0	0.0	20-75	57.0	21.62893883541031	72.55322134613841	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	25437285	10838414	25437285	1907796375	17323540	1795939997	5.863119327920938	0.3275	0.0431	0.6294		
ERX1941438	80829245	4335360	780885	68622540	0	0	0	0	0	0	0	0	0	6615667	464029	10764	5.363603235437867	80829245.0	12206705.0	15.1	68622540.0	84.9	ERX1941438_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80829245.0	0.0	20-75	46.0	5.360575859731098	69.49765748770757	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	84573822	33052919	84573822	6343036650	325496642	5685443756	10.367162138342682	0.4219	0.1845	0.3935		
ERX1941439	67941814	3705534	151218	59400711	0	0	0	0	0	0	0	0	0	4359057	312587	12707	5.453981549565339	67941814.0	8541103.0	12.57	59400711.0	87.43	ERX1941439_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67941814.0	0.0	20-75	46.0	4.143163415484318	70.06430078537497	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	70066853	25147303	70066853	5255013975	266238275	4814048392	8.391330357974928	0.3226	0.2609	0.4165		
ERX1941440	10767881	2487573	317782	6856159	0	0	0	0	0	0	0	0	0	1021540	81292	3535	23.10178762191001	10767881.0	3911722.0	36.33	6856159.0	63.67	ERX1941440_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10767881.0	0.0	20-75	44.0	55.138338096283675	65.13514924617016	pass	warn	fail	pass	fail	fail	pass	warn	warn	warn	pass	10832300	5487008	10832300	812422500	91148563	707184039	12.953661549255466	0.4531	0.099	0.4479		
ERX1941441	14936593	4930514	375358	7163819	0	0	0	0	0	0	0	0	0	2248366	211500	7036	33.00962943825275	14936593.0	7772774.0	52.04	7163819.0	47.96	ERX1941441_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14936593.0	0.0	20-75	56.0	45.476608619000274	62.639623105483295	pass	warn	fail	pass	fail	fail	pass	warn	fail	warn	pass	15104750	5358263	15104750	1132856250	148778990	944730127	16.6063543366601	0.4562	0.1218	0.42200000000000004		
ERX1941442	79952663	10185547	715461	59742521	0	0	0	0	0	0	0	0	0	8351481	924622	33031	12.739471854739847	79952663.0	20210142.0	25.28	59742521.0	74.72	ERX1941442_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79952663.0	0.0	20-75	49.0	5.779367223254132	68.61676024474632	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	83930197	31082860	83930197	6294764775	421696199	5552884454	11.785671864124579	0.3944	0.2152	0.3904		
ERX1941443	27889655	9803632	1669900	10610028	0	0	0	0	0	0	0	0	0	5109637	681050	15408	35.15149972274666	27889655.0	17279627.0	61.96	10610028.0	38.04	ERX1941443_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27889655.0	0.0	20-75	58.0	30.718923647222162	63.080591567016526	pass	warn	fail	pass	fail	fail	pass	warn	fail	warn	pass	28083902	8850969	28083902	2106292650	272286246	1774636145	15.74598406351558	0.4804	0.12	0.3995		
ERX1941444	21661932	6425112	644615	10662839	0	0	0	0	0	0	0	0	0	3447548	470958	10860	29.660844655961434	21661932.0	10999093.0	50.78	10662839.0	49.22	ERX1941444_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21661932.0	0.0	20-75	59.0	28.839469253420514	62.30804242207021	pass	warn	fail	pass	fail	pass	pass	warn	fail	warn	pass	24697567	9859914	24697567	1852317525	226052594	1374874181	25.775458988868557	0.47100000000000003	0.1256	0.4034		
ERX1941445	87417285	17192730	148450	59636918	0	0	0	0	0	0	0	0	0	9744948	672182	22057	19.667426184649862	87417285.0	27780367.0	31.78	59636918.0	68.22	ERX1941445_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87417285.0	0.0	20-75	50.0	6.316250447463981	68.31224657686406	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	88136894	28253685	88136894	6610267050	467835085	6032918847	8.734113139952493	0.40399999999999997	0.1524	0.4436		
ERX1941446	67542053	5050245	160263	58357592	0	0	0	0	0	0	0	0	0	3580851	385850	7252	7.477186102116263	67542053.0	9184461.0	13.6	58357592.0	86.4	ERX1941446_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67542053.0	0.0	20-75	47.0	4.116468170689012	70.27450871237212	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	69661503	24924585	69661503	5224612725	246133145	4800072695	8.125770317263086	0.4237	0.1574	0.419		
ERX1941447	10701161	1519866	4797166	3231073	0	0	0	0	0	0	0	0	0	1061737	89024	2295	14.202814068492195	10701161.0	7470088.0	69.81	3231073.0	30.19	ERX1941447_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10701161.0	0.0	20-75	56.0	29.12333167608431	63.845145400578495	pass	warn	fail	pass	fail	fail	pass	warn	fail	warn	pass	10931606	3507995	10931606	819870450	95071308	689711221	15.875584856119644	0.7991	0.0499	0.151		
ERX1941448	22324934	217384	11917063	9484042	0	0	0	0	0	0	0	0	0	692463	13653	329	0.973727402732747	22324934.0	12840892.0	57.52	9484042.0	42.48	ERX1941448_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22324934.0	0.0	20-75	56.0	12.811788944140003	64.58108677947267	pass	warn	fail	pass	fail	warn	pass	warn	fail	warn	pass	22378833	6811713	22378833	1678412475	176252727	1453625546	13.392829971667124	0.9852	0.0042	0.0106		
ERX1941449	27143644	10624408	280888	4542303	0	0	0	0	0	0	0	0	0	11247845	433994	14206	39.141421100276744	27143644.0	22601341.0	83.27	4542303.0	16.73	ERX1941449_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27143644.0	0.0	20-75	60.0	23.970361430115148	72.12277776705294	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	28856905	12703455	28856905	2164267875	18339000	1983331025	8.360187391313563	0.2876	0.0507	0.6617		
ERX2161003	1358199	352654	57060	281809	0	0	0	0	6730	0	0	0	0	612046	25791	22109	25.964825478446087	1358199.0	1076390.0	79.25	281809.0	20.75	ERX2161003_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1358199.0	0.0	20-75	61.0	16.666921800360072	73.96836104282217	pass	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass	1366742	2708	1366742	102505650	48808	102448038	0.05620373120896263			0.6764	0.2942	0.0295
ERX2161004	4786819	1784100	982738	188768	0	0	0	0	741	0	0	0	0	1704238	111384	14850	37.271097988037575	4786819.0	4598051.0	96.06	188768.0	3.94	ERX2161004_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4786819.0	0.0	18-75	62.0	30.044424677269443	73.84764078190548	pass	pass	warn	pass	fail	fail	fail	warn	fail	fail	pass	4789932	1221068	4789932	359244900	226433	357366966	0.5227447905314729			0.4056	0.0263	0.5681
ERX2161005	4137615	1418092	760830	123805	0	0	0	0	465	0	0	0	0	1733583	79645	21195	34.27317428035233	4137615.0	4013810.0	97.01	123805.0	2.99	ERX2161005_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4137615.0	0.0	20-75	62.0	27.79607997067432	73.93446369466469	pass	pass	warn	pass	fail	fail	fail	warn	fail	fail	pass	4139487	27330	4139487	310461525	430994	309965263	0.1598465381499366			0.4293	0.0256	0.545
ERX2161006	4121511	1729729	608087	163998	0	0	0	0	878	0	0	0	0	1489837	114009	14973	41.968321812073285	4121511.0	3957513.0	96.02	163998.0	3.98	ERX2161006_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4121511.0	0.0	18-75	62.0	32.5576725036697	73.84170125956233	pass	pass	warn	pass	fail	fail	fail	warn	fail	fail	pass	4123609	1206436	4123609	309270675	410644	307288966	0.6407684789383927			0.4832	0.0314	0.4854
ERX2161007	4389721	2076030	779048	151935	0	0	0	0	416	0	0	0	0	1239389	125010	17893	47.292982856997064	4389721.0	4237786.0	96.54	151935.0	3.46	ERX2161007_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4389721.0	0.0	18-75	62.0	35.78974028041992	73.82121323883682	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	4391950	1103523	4391950	329396250	238567	327653647	0.5290293984828304			0.4605	0.0328	0.5067
ERX2161008	3921689	2037375	439199	179896	0	0	0	0	465	0	0	0	0	1124599	109977	30178	51.951467849694346	3921689.0	3741793.0	95.41	179896.0	4.59	ERX2161008_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3921689.0	0.0	20-75	62.0	39.45303524909082	73.9334832517316	pass	pass	warn	pass	fail	fail	fail	warn	fail	fail	pass	3928382	30003	3928382	294628650	426457	293808709	0.27829642500822643			0.4868	0.0409	0.4723
ERX2161009	3658422	1675545	476198	196972	0	0	0	0	445	0	0	0	0	1186571	99828	22863	45.799664445490436	3658422.0	3461450.0	94.62	196972.0	5.38	ERX2161009_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3658422.0	0.0	20-75	62.0	35.69650038606056	73.96391340310113	pass	pass	pass	pass	fail	warn	fail	warn	fail	fail	pass	3679443	43356	3679443	275958225	518660	274133015	0.6614080808789083			0.4815	0.0376	0.4809
