,0
gene_id,Rv1058
name,fadD14
operon,Op688
gene_product,fatty-acid--CoA ligase FadD14
COG,Lipid transport and metabolism
regulator,"Rv0023,Rv0081,Rv1353c,Rv1816"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1058"">External Database</a>"
