,0
gene_id,Rv0787A
name,Rv0787A
operon,Op505
gene_product,hypothetical protein
COG,Nucleotide transport and metabolism
regulator,"Rv0023,Rv1353c,Rv1473A,Rv2034"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0787A"">External Database</a>"
