,0
name,Rv0681
TF,Rv0681
Regulator,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0681"" target=""_blank"">Rv0681</a>"
Function,"Transcription with previously unknown function, regulates core fatty acid response"
Category,Unknown Function
has_venn,True
scatter,1
has_meme,False
precision,0.6956521739
recall,0.5925925926
