,-0.0754402817788866,-0.06383408458213483,-0.052227887385383046,-0.040621690188631265,-0.029015492991879485,-0.017409295795127705,-0.005803098598375925,0.005803098598375855,0.017409295795127636,0.029015492991879416,0.040621690188631196,0.05222788738538299,0.06383408458213476,0.07544028177888652,0.08704647897563832,0.09865267617239011,0.11025887336914188,0.12186507056589364,0.13347126776264545,0.14507746495939722
thresh,-0.0812433803772625,0.0812433803772625,2,,,,,,,,,,,,,,,,,
unreg,1,0,2,23,118,512,1425,1290,373,81,29,12,4,2,3,4,3,1,0,0
Rv0681,0,0,0,0,0,1,0,0,1,0,0,0,3,2,5,3,4,3,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['nat' 'Rv1894c' 'kstR'],['fadD18' 'Rv3566A' 'hsaD' 'hsaB'],['hsaC' 'Rv3527' 'Rv3531c'],['kshA'],[],[]
Rv0681_genes,[],[],[],[],[],['Rv3160c'],[],[],['Rv3519'],[],[],[],['Rv1817' 'cyp142' 'fadE28'],['kshB' 'ltp2'],['echA19' 'Rv3542c' 'PPE62' 'fadE29' 'hsaE'],['Rv3541c' 'hsaF' 'hsaG'],['Rv3530c' 'hsaA' 'fadA5' 'cyp125'],['Rv3529c' 'kstD' 'fadD19'],['Rv3538'],[]
