,Value,list
TF,Rv0681,
reg_genes,23,['ltp2' 'Rv3519' 'cyp142' 'kshB' 'Rv3160c' 'Rv1817' 'fadE28']
comp_genes,27,"['Rv1894c' 'hsaB' 'Rv3531c' 'kstR' 'hsaD' 'fadD18' 'Rv3566A' 'kshA' 'hsaC'
 'Rv3527' 'nat']"
both_genes,16,"['Rv3538' 'Rv3529c' 'PPE62' 'hsaA' 'Rv3541c' 'cyp125' 'hsaE' 'hsaF'
 'fadE29' 'echA19' 'fadA5' 'Rv3542c' 'hsaG' 'fadD19' 'kstD' 'Rv3530c']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
