,A,Rv0681
R2,,0.05459697586765455
xmin,,-3.9784543108
xmid,,-1.2001993718251278
xmax,,1.6125724694999999
ystart,,2.159733374696398
yend,,-6.256609572704121
SRX3995807,1.2295612757,0.27350904060000003
SRX3995806,1.666791705,-0.0074547523
SRX3995809,0.8421954839,0.1541668592
SRX3995808,0.5070172339,0.3963482983
SRX4619048,0.7254091643,0.06572486970000001
SRX4619047,1.0392085586,0.4379116789
SRX4619049,0.48933054410000004,0.18745070700000002
SRX4619050,0.6715075641,0.0034999457
SRX3995804,0.4699492508,-0.1432935631
SRX3995805,-0.4699492508,0.1432935631
SRX5089845,-6.1912806187000005,0.047505841900000005
SRX5089844,-6.0059210072,-0.1913537873
SRX5089860,0.0358479463,-0.0377144756
SRX5089859,0.4661353338,-0.20424408030000002
SRX5089858,-0.5019832801,0.2419585559
SRX5089854,-7.9568321294,-0.27371033570000003
SRX5089853,-8.0687475921,-0.3841005725
SRX5089852,-7.0215947975,-0.38376036420000004
SRX5089856,-15.0322165459,0.3230143836
SRX5089855,-14.9140424901,0.43928342540000004
SRX5089857,-14.4886115936,0.3580978446
SRX5089868,-7.421981378,0.34661389270000004
SRX5089866,-6.3639114041,0.2550615111
SRX5089867,-6.9285004763,-0.028356645700000002
SRX5089870,-12.6712421577,0.4780434575
SRX5089869,-12.5605649764,0.5943750574000001
SRX5089871,-11.0204763549,0.3664512361
SRX5089846,-11.2221815874,0.0164865439
SRX5089848,-11.832786522,-0.21012897160000002
SRX5089847,-11.7486710769,-0.2835989914
SRX5089849,-17.9457573343,0.3249323323
SRX5089850,-18.8885044738,0.37828229999999996
SRX5089851,-17.5764050137,0.3203862919
SRX5089863,-12.2306054412,0.3803779003
SRX5089861,-10.2239161413,0.4352644888
SRX5089862,-10.977052658,0.39200959020000004
SRX5089865,-15.8732669162,0.3642238249
SRX5089864,-15.4939341948,0.7217675663
SRX5388955,0.16351135860000002,0.0469878963
SRX5388957,-0.0663159972,-0.0780279303
SRX5388954,-0.1205705901,0.0845115218
SRX5388956,0.0233752287,-0.0534714878
SRX5388960,5.9488935033,0.0680645558
SRX5388961,5.9610439768,-0.1354992815
SRX5388959,5.2609405769,0.0467417955
SRX5388958,6.0527120488,0.0113313183
SRX5388964,1.0429997492,-0.38904326770000003
SRX5388965,1.0346702456,-0.36023400180000004
SRX5388962,1.2789190271,-0.40130200660000004
SRX5388963,1.3705348651,-0.2884786493
SRX6889335,-0.038770464500000004,-0.019962848800000002
SRX6889333,0.038770464500000004,0.019962848800000002
SRX6810002,-0.1496165173,0.21013061130000002
SRX6810004,0.4558875337,-0.0886868088
SRX6810003,-0.3062710164,-0.1214438026
SRX6810006,3.2178974277,0.4963971783
SRX6810005,3.4498924612,0.7724364596000001
SRX6810007,2.7068666492,0.31274223630000003
ERX1818322,1.7984111111,0.157224538
ERX1818321,-1.7984111111,-0.157224538
SRX2617830,-1.5039300509,0.212539196
SRX2617831,-1.90129466,0.22335581910000002
SRX2617833,2.7553142201,-0.125779642
SRX2617832,2.2203429781,0.051173055
SRX2617828,0.0174828687,-0.0195594527
SRX2617827,-0.46335196710000004,-0.0157269389
SRX2617829,0.4458690984,0.0352863916
SRX3456119,-0.8491250337,0.2680760092
SRX3456118,-0.5967528443,0.0666175204
SRX3456117,-0.7740593565,0.3029755303
SRX3456101,-0.029186813500000002,-0.1078642045
SRX3456099,0.0681933167,0.1887210961
SRX3456100,-0.0390065031,-0.08085689160000001
SRX3456107,-12.4739173535,1.0063163457
SRX3456105,-13.13381028,1.6125724694999999
SRX4374122,2.4109245595,-0.2680118312
SRX4374121,2.0871886175,0.0097125356
SRX4374123,2.024704318,0.2243434377
SRX4374124,-0.6110274871,0.0106998244
SRX4374125,0.5055767123,-0.0588764177
SRX4374126,0.10545077480000001,0.0481765933
SRX4374127,-1.2053201862,0.2359680389
SRX4374128,-1.6879224322000002,0.1471676764
SRX4374129,-1.929948563,0.0968834329
SRX4374130,-0.44966778700000004,0.3248592213
SRX4374132,-1.8849875916,0.1332007785
SRX4374131,-0.287235324,-0.22856034590000002
SRX4374133,-0.690702625,0.1828929471
SRX4374135,0.3131277203,-0.0578326817
SRX4374134,0.6901955453,-0.1166898489
SRX4374138,-2.9599123104,-0.19769271400000002
SRX4374136,-2.3849584391,0.178314628
SRX4374137,-1.9545537826000001,-0.0999996045
SRX1091379,5.6588550534,0.41115486300000004
SRX1091380,5.7372184334,0.3984276289
SRX1091377,-0.0024122754,-0.020367577
SRX1091378,0.0024122754,0.020367577
SRX4647145,-0.586611399,-0.0581924838
SRX4647146,-0.5697840022,0.0105422237
SRX4647147,-0.10920701940000001,0.0574316933
SRX4647144,-0.023934134000000003,0.052334485900000005
SRX4647143,0.055267949600000005,-0.06286934620000001
SRX4647142,-0.0313338156,0.0105348603
SRX4647155,-3.9022653603,0.3817458716
SRX4647152,-3.9817307464000002,0.5638581903000001
SRX4647153,-4.0785399801,0.5282473452
SRX4647154,-3.2892909926,0.22827086640000002
SRX4647148,-4.5683367272,0.28343807800000004
SRX4647149,-4.6125329774,0.3158766237
SRX4647151,-4.6431023746,0.3294636534
SRX4647150,-4.5975752857,0.34932122190000003
SRX4647123,0.1355755259,-0.07024409870000001
SRX4647124,-0.2236543905,0.1522300142
SRX4647125,0.0880788646,-0.0819859155
SRX3103185,-2.5708476410000003,0.0552568466
SRX3103189,-1.3392155343,-0.3380710071
SRX3103187,-4.069411974,0.07968245830000001
SRX3103184,-0.6593246934,-0.042119786
SRX3103188,-0.0004474128,0.0906373183
SRX3103186,0.6597721062,-0.0485175323
SRX1372110,-1.5573876807,0.2769012174
SRX1372111,-0.7376533636,0.3550652103
SRX1372108,0.5657205619,-0.12529296
SRX1372109,-0.5657205619,0.12529296
SRX4506085,-1.4442806162,-0.1020442436
SRX4506083,-1.3988800886,-0.0584809711
SRX4506089,-1.6520730711,-0.12561489280000002
SRX4506087,-1.543241689,-0.0231100735
SRX4506077,-0.2762212678,0.010167717000000001
SRX4506079,-0.1275213428,0.0045124476
SRX4506075,0.6380334019,-0.0559791757
SRX4506081,-0.2342907913,0.041299011100000005
SRX4506084,-5.9516305703,0.3850813723
SRX4506086,-5.9992900046,0.2268979921
SRX4506088,-5.9896108445,0.1742084241
SRX4506090,-6.0946099655,0.3085753097
SRX4506078,-5.4446567324,0.3413562397
SRX4506080,-5.2296295021,0.4021209061
SRX4506082,-5.39825801,0.3029590991
SRX4506076,-5.6623757107,0.4187031694
SRX5352221,-1.4817194483,0.0962123002
SRX5352223,-1.3948657638,-0.0160358796
SRX5352222,-0.3796048809,0.0937622235
SRX5352229,4.6876986943,-0.0737620601
SRX5352227,4.1530205976,0.0537074143
SRX5352228,4.1845747946,-0.13477031520000002
SRX5352231,2.1816429666,-1.9172372957000001
SRX5352232,1.5579631112999999,-2.0530395022
SRX5352230,1.5242564330000001,-2.2953055288
SRX5352225,0.9911389537,-0.34094462270000003
SRX5352224,1.2776219764,-0.2995953977
SRX5352226,1.6874161036,-0.4044189673
SRX5352220,0.2147149209,0.07731054300000001
SRX5352219,0.0377027411,-0.0316697842
SRX5352218,-0.25241766190000003,-0.0456407588
SRX4498228,-0.3732132197,0.0154890663
SRX4498224,-0.20323675900000002,-0.1822413574
SRX4498230,-0.1445526479,0.1321087094
SRX4498226,-0.25863350150000003,-0.18987347810000002
SRX4498218,-0.026507257200000002,-0.0498200912
SRX4498216,0.1091681551,0.0218751273
SRX4498220,0.0764165414,-0.0114915754
