,0
gene_id,Rv1088a
name,Rv1088a
operon,Op711
gene_product,hypothetical protein
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1088a"">External Database</a>"
