,-0.11147082491468625,-0.06688249494881175,-0.02229416498293725,0.02229416498293725,0.06688249494881175,0.11147082491468625,0.15605915488056077,0.2006474848464353,0.24523581481230977,0.28982414477818425,0.3344124747440588,0.3790008047099333,0.4235891346758078,0.46817746464168225,0.5127657946075568,0.5573541245734313,0.6019424545393057,0.6465307845051802,0.6911191144710547,0.7357074444369293
thresh,-0.089176659931749,0.089176659931749,1,,,,,,,,,,,,,,,,,
unreg,1,14,1987,1875,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,['Rv1735c'],[],[],[],[],['Rv1717'],[],[],[],[],[],[],[],[],['Rv1116'],[],[],[],[],[]
