,A,sigH,Rv1828
SRX4506087,0.2093204368,0.0531844276,-0.0432141666
SRX4506077,-0.0938311054,0.08959280230000001,-0.0990861386
SRX4506079,0.1868956507,-0.0132542969,-0.0372594725
SRX4506075,-0.3785941662,-0.0198422954,0.08986806500000001
SRX4506081,0.2855296209,-0.05649621,0.0464775461
SRX4506084,1.362847304,-0.0357211407,0.10051354500000001
SRX4506086,1.3269622056,0.0621399824,0.1088130759
SRX4506088,1.4351507415,-0.012383754200000001,0.0949271757
SRX4506090,1.7917617071,-0.057187391500000004,0.1398865791
SRX4506078,2.4415020661,-0.1432633297,0.0860066792
SRX4506080,2.1890053018,-0.0150445947,-0.027768079100000002
SRX4506082,2.2371430345,-0.0788486036,0.0559184389
SRX4506076,2.0839640014,-0.0857839039,-0.0402405665
SRX5352221,-3.4405017575,-0.4546251188,0.1611446317
SRX5352223,-4.835668917,-0.5507168177,0.1672354193
SRX5352222,-4.9774622537,-0.462282956,0.4175996266
SRX5352229,-11.6231082955,-0.1954937792,-0.10549214230000001
SRX5352227,-11.4590753746,-0.22807724310000002,-0.20917260240000002
SRX5352228,-11.8892086035,-0.1428016655,-0.23907192270000002
SRX5352231,-12.1051860615,1.4241018748,-0.7509363774000001
SRX5352232,-11.3565722286,1.3359149168,-0.4858722158
SRX5352230,-12.1288735692,1.3478720273,-0.8425075550000001
SRX5352225,4.3838806939,-0.7303858859,0.1531536429
SRX5352224,5.9396670292,-0.7704462573,0.21727816860000002
SRX5352226,-0.042522944,-0.8057664902,0.0233288161
SRX5352220,1.4295871703,0.061678957900000005,0.043561807200000004
SRX5352219,-0.1945370287,-0.0415773981,0.0371678655
SRX5352218,-1.2350501416,-0.020101559800000002,-0.0807296726
SRX4498228,-0.1729314001,0.0344876269,-0.0228934012
SRX4498224,-0.2659873539,0.0457478625,-0.0600541676
SRX4498230,-0.035287500900000005,-0.0083630465,-0.07342281190000001
SRX4498226,0.20958155280000001,0.0257386008,0.08013091060000001
SRX4498218,0.0128638724,-0.0288592977,0.0294148483
SRX4498216,-0.041452952200000004,-0.0556976016,-0.0487791408
SRX4498220,0.2596194026,0.0425261646,0.030933797500000002
SRX4498222,-0.23103032280000002,0.0420307347,-0.011569504900000001
SRX4498225,-0.9436338731,0.0683812198,0.0105688104
SRX4498227,-1.1422029803,-0.0249643822,0.0393965706
SRX4498231,-1.0148031042,-0.09523226230000001,0.06981244660000001
SRX4498229,-1.0815696082,-0.028212458000000003,0.0270520453
SRX4498217,-0.6669834891,-0.20839534740000001,0.012188824000000001
SRX4498221,-1.1660631691,-0.1217991375,-0.0523977593
SRX4498219,-0.8921713059,-0.1451239158,0.032870602
SRX4498223,-1.0516483662,0.0059771006,-0.043682915
SRX5079928,-4.1113910566,-0.0274976892,-0.2503393194
SRX5079930,-3.8441251735,-0.15807490230000001,-0.2350868687
SRX5079929,-3.3408024243,-0.042264118100000005,-0.29923417420000004
SRX5079923,-4.4966281638,0.0699982056,-0.16499731080000002
SRX5079924,-4.822170197,0.0184284403,-0.2599157123
SRX5079922,-3.9495677282,-0.016058816,-0.1250951502
SRX5079920,0.0230811603,0.0189704335,0.027856623100000002
SRX5079921,-0.10238379930000001,-0.0355433822,-0.0207261524
SRX5079919,0.0793026389,0.0165729487,-0.0071304707000000005
SRX5079926,-3.6280532518,-0.0290583648,-0.22823277400000003
SRX5079925,-2.974091941,-0.0486094356,-0.2622667783
SRX5079927,-3.8934012479,-0.0414840152,-0.29680901860000003
SRX894005,-9.1082731679,-0.7931579554,-0.3350189597
SRX894004,-8.928865225100001,-0.7343046721,-0.2901105451
SRX894006,-9.7484336629,-0.7519751394,-0.2786483352
SRX893999,-0.1257180911,0.0967690538,-0.0838320391
SRX894000,-0.5463927326,-0.002329587,0.1566592003
SRX893998,0.6721108236000001,-0.0944394669,-0.0728271612
SRX4647489,-0.058183047700000004,0.0498194433,0.010386415900000001
SRX4647490,0.058183047700000004,-0.0498194433,-0.010386415900000001
SRX4647492,-1.1778236327,-0.06814848230000001,-0.0226025587
SRX4647491,-0.6305956070000001,-0.1359634754,-0.09158425070000001
SRX4647496,-0.5247993893,0.0769037231,0.1856612869
SRX4647495,-0.4836354772,0.0814377691,0.1143845789
SRX4647499,0.6239705807,0.0112047815,0.0340839274
SRX4647500,0.6324236797,0.0787769601,0.0512755136
SRX4647493,3.1118161855,-0.23205702900000003,-0.14734150140000002
SRX4647494,2.703964101,-0.1542546139,-0.1067501423
SRX4647497,0.5309509210000001,0.0036790549,0.0364481839
SRX4647498,-0.10323055340000001,0.1002273226,0.12802100090000001
SRX4505482,-0.282109153,0.0761798099,-0.0737784215
SRX4505486,0.5893771354,-0.17306676040000002,-0.0721425332
SRX4505484,-0.2492530748,0.1726134509,-0.1526641047
SRX4505473,0.5033456061,-0.1430096126,-0.18672724170000002
SRX4505476,0.5341304994,0.0241771562,0.11854373800000001
SRX4505480,0.0944837255,-0.0646914179,-0.0311464524
SRX4505478,-0.0489687461,-0.0349254378,-0.049637431100000004
SRX4505474,-0.5796454787,0.0754396995,-0.037759854600000003
SRX4505483,-0.8506682584,0.8274727872000001,0.0440685321
SRX4505485,-1.3557780023000001,0.9000766356000001,0.0133294999
SRX4505487,-1.1187890548,1.001123085,0.1081162821
SRX4505488,-0.5849907997,0.8587893791000001,0.0461394422
SRX4505481,-3.1765276632,1.0156436773,0.0123212361
SRX4505477,-2.0036005835,0.8659947881000001,0.025459760600000002
SRX4505475,-1.3986316781,0.9057740701,-0.0012064897
SRX4505479,-2.4086275628,1.0045860461,-0.09470232640000001
SRX4605773,0.22137607150000002,0.0019032550000000002,-0.0382890366
SRX4605774,0.3803974155,-0.0630600332,-0.13571359060000002
SRX4605772,0.0501640818,0.0356054332,0.0293916005
SRX4605771,-0.0501640818,-0.0356054332,-0.0293916005
SRX5178871,0.3097095338,0.038013332000000004,-0.1453760694
SRX5178872,0.6081904553,0.1176608574,-0.0524573292
SRX5178868,-0.8461001930000001,-0.1752873255,-0.0429726488
SRX5178870,0.3033765781,0.0308250441,-0.0033386957000000003
SRX5178869,0.542723615,0.1444622814,0.046311344500000004
ERX1404045,0.1291567197,-0.0192651948,-0.0607739334
ERX1404046,-0.1291567197,0.0192651948,0.0607739334
ERX1404043,1.9209593661,-0.1358874111,-0.1826061867
ERX1404044,1.9832895654,-0.041261863600000004,-0.0401606086
ERX237502,-1.1963032608,-1.6683731636,-1.4025389752000001
ERX237505,-0.8627504531,-1.2628821633,-0.8629528259
ERX237506,-0.06437213800000001,-1.803821046,-1.4434465579
ERX237500,8.8559667671,-2.7226806938,-2.3359859124
ERX237497,8.370965882,-2.8738657449,-2.4676728819
ERX237499,8.7163759782,-2.6444855953,-1.5045333477
ERX237507,0.6028051262,-0.0520886926,-0.0688654942
ERX237496,-1.173504247,-0.0603981747,0.0414772016
ERX237504,0.5706991208000001,0.1124868673,0.0273882927
ERX3772318,0.0102608955,-0.1855542576,-0.0823901049
ERX3772320,-0.035181603900000004,-0.2028425629,-0.0732569822
ERX3772319,-0.2411069912,-0.2020332212,-0.0690218008
ERX3772321,0.7293566952,0.0129255564,0.0736568947
ERX3772322,0.0689596539,-0.0229115164,-0.035355312300000004
ERX3772323,-0.7983163491,0.00998596,-0.0383015824
SRX4314262,0.08284258200000001,0.23087215830000002,0.056728526300000005
SRX4314263,0.5247793916,-0.2551693491,0.0551796701
SRX4314261,-0.6076219736,0.0242971908,-0.1119081964
SRX4314265,7.9358687374,-0.1960675569,0.0866906642
SRX4314266,7.3128638629000005,-0.3494777275,0.0530003317
SRX4314264,9.9537840542,-0.3461379981,-0.0234158875
SRX4314268,11.1343140315,0.0197632859,0.2376756207
SRX4314267,10.9057386772,0.1142023336,0.1348253747
SRX4314271,11.5239556032,-0.23565816250000002,0.3013646419
SRX4314272,11.6630635584,-0.3853591772,0.17641250900000002
SRX4314275,10.5660190478,-0.1275768696,0.3383456617
SRX4314274,11.1890687689,-0.35567790650000003,0.1476167214
SRX4314273,10.9166146885,-0.2205760806,0.0890101959
SRX4314278,10.1475590223,0.0378670008,0.2019905578
SRX4314276,10.2229495171,-0.135639218,0.1881462848
SRX4314281,9.7791179058,-0.3000602056,0.2725406516
SRX4314279,9.9542182208,-0.47828261850000003,0.24401858850000002
SRX4314280,9.6769134513,-0.2041426723,0.21650563960000002
SRX4314284,9.2380320002,-0.2835216857,0.0360950903
SRX4314283,10.0678725817,-0.0211763848,0.35372672
SRX4314282,9.4781465363,-0.2199071252,0.1954684254
SRX4314293,7.0718405426,0.0608203646,0.1009738002
SRX4314292,8.5797928421,-0.26778144400000004,0.11515308590000001
SRX4314291,10.5881723991,-0.18574300900000001,0.056418934500000004
SRX4314297,11.4987680543,-0.09024140230000001,-0.1257826684
SRX4314298,9.4856967568,-0.2844527122,0.0868467175
SRX4314299,13.4467629588,0.129235956,0.022748067400000002
SRX4314302,13.7079119101,0.13364546230000002,-0.0149891581
SRX4314301,9.7513583264,-0.1250730656,-0.0990527294
SRX4314300,11.7137484601,-0.1117923472,-0.0062647184
SRX4314305,12.3111074481,-0.42981516680000004,-0.0234520491
SRX4314304,9.9730143813,-0.2978397832,0.0986484083
SRX4314303,10.0917586232,-0.087210536,-0.13619839420000002
SRX4314309,9.7830011679,-0.0848659318,0.1908729881
SRX4314306,8.8679757318,0.049261671900000005,-0.1036808134
SRX4314308,9.3542890607,0.0140163045,-0.46216270940000004
SRX4314307,8.4923228371,-0.19285971100000002,-0.0840263404
SRX4314311,13.0731889533,-0.4679738479,0.0762083304
SRX4314317,8.5978340993,-0.4798176759,-0.4866436048
SRX4314316,6.8877945256,-0.6447464772,-0.487716688
SRX4314318,8.120217046,-0.2744464064,0.0290341604
SRX4314319,7.4402520817,-0.7053475586,-0.089656258
SRX4314331,2.0053681803,-0.2227807164,0.1309062098
SRX4314330,2.8359200666,-0.0372404571,0.063205544
SRX4314332,4.9445698966,0.0253591238,-0.0154231051
SRX4314335,3.4458571754,-0.2568346647,0.053084209900000005
SRX4314334,0.5773072729000001,-0.36134586500000004,0.1044133425
SRX4314333,1.583487114,-0.461091892,0.0226118238
SRX4314338,1.1233423267,-0.2615147511,0.2647975658
SRX4314336,0.0358674192,-0.4015678131,0.17925050820000002
SRX4314337,-0.8288515448,-0.5429583498,0.2618180591
SRX4314339,-5.2892362755,-0.2454131729,0.2159555636
SRX4314340,-5.8839942718,-0.2198930898,0.3230456037
SRX4314341,-4.5135810709,0.0602694864,0.13530131780000001
SRX3686762,0.9139476924000001,-0.7705743691,0.1452837911
SRX3686763,0.7882932714,-0.8214342755,0.1825138507
SRX3686761,0.772407782,-0.7629835103,0.2141265055
SRX3686765,1.033574608,-0.036038739300000004,0.2987951273
SRX3686769,0.605269393,-0.2248708073,0.1756819482
SRX3686766,-0.1644239748,-0.0477610321,0.10190136620000001
SRX3686768,-0.009992741500000001,-0.0664508836,0.0719653338
SRX3686764,0.4492487013,-0.1644448791,0.2763602383
SRX3686767,-0.0996684053,-0.0377379565,0.2013298829
SRX3686788,0.6928068186,-0.0749522249,-0.1320482248
SRX3686791,-0.30792222480000003,0.0302071962,0.0990179858
SRX3686792,-0.012869049700000001,-0.1098544459,0.0490419439
SRX3686793,-0.5659194638,0.0356306521,0.22792923040000002
SRX3686790,-0.39476523950000003,0.23475991270000002,-0.1296619037
SRX3686789,0.5886691591000001,-0.1157910902,-0.1142790316
SRX3686829,-0.3708256133,-0.6084559884,0.19746220620000002
SRX3686830,-0.1648712142,-0.7177307836,0.1422684841
SRX3686828,-0.267545801,-0.7411776706000001,0.1679693509
SRX3686819,0.6553278093,-1.3879228068,0.4273109074
SRX3686818,0.4439137474,-1.4050979064,0.4995943706
SRX3686817,0.48757465850000004,-1.4251209211,0.42975717150000003
SRX3686822,-3.711208092,-0.7559150908000001,0.6488793582
SRX3686820,-3.3780436157000002,-1.1930683223,0.7043146371
SRX3686821,-4.1463401027,-0.9474418678000001,0.651459719
SRX3686743,0.022792638,-0.6048654263000001,0.3342435446
SRX3686744,0.36240970910000003,-0.5302134679,0.3381921968
SRX3686745,-0.7090288061000001,-0.603428474,0.2388936127
SRX3686772,1.0874307725,-0.3697085734,0.5059192988
SRX3686770,0.8843651782,-0.1942334853,0.5098463141
SRX3686771,1.094783178,-0.2106765441,0.5848878357
SRX3686794,2.7483589426,-0.1861256808,0.043277772400000004
SRX3686796,2.7045589423000003,-0.5005129816,0.38996998190000004
SRX3686751,-2.6922716507,-0.5875615270000001,0.2296024154
SRX3686749,-2.9586312994,-0.48596580310000004,0.19429256490000002
SRX3686750,-2.3184861272,-0.5594312897,0.256953596
SRX3686778,0.3197114471,-0.6309734707,0.5404390985
SRX3686777,0.4456387739,-0.6270405765,0.5490670052000001
SRX3686776,-0.11932026350000001,-0.5539468554,0.7165582420000001
SRX3686800,1.6502139207000002,-0.5789737060000001,0.0654619495
SRX3686801,2.1561379101,-0.5706995828,0.2396116942
SRX3686755,-2.3130284265,-0.5538279351000001,0.215968449
SRX3686757,-5.2541841995,-0.47944370940000003,0.3516953326
SRX3686756,-3.1619127279,-0.3837863757,0.2445809777
SRX3686784,-0.8433817329000001,-0.6339365648,0.5884595922
SRX3686783,-1.0439914859,-0.4970008784,0.5906329197
SRX3686782,-0.7340783634,-0.4419609249,0.5021183252
SRX3686809,1.2423486452999999,-0.6281552318,0.3603843749
SRX3686807,0.8583144364,-0.6704184818000001,0.2710901736
SRX3686808,0.95980876,-0.699611977,0.27263059970000003
SRX3686787,0.1477211433,-0.91741309,0.4781347755
SRX3686786,0.050967828900000005,-0.9880249525,0.42014004850000003
SRX3686785,-0.8906224917000001,-0.8662650804,0.4518485096
SRX3686799,1.3336049822,-0.7309625057,0.5254226158
SRX3686797,0.5185088331000001,-0.6400502639,0.47866590010000004
SRX3686798,1.3072296694,-0.5805992989000001,0.5535831102000001
SRX3686746,-0.1034519338,-0.5838122091,0.286343599
SRX3686748,-0.3394287418,-0.5471036597,0.3090532702
SRX3686747,-0.34337834100000003,-0.49117471840000004,0.3070959426
SRX3686773,0.5896099149,-0.3470010532,0.4024570798
SRX3686774,1.2940502163,-0.2329047166,0.4953868388
SRX3686775,1.6665412796,-0.44939792910000004,0.5429800472
SRX3686754,-0.1082844064,-0.7669724256,0.23279874420000002
SRX3686753,0.3451944933,-0.8662962404000001,0.22473745720000002
SRX3686752,0.367570125,-0.7617183761,0.23652174280000002
SRX3686780,2.2944341021,-0.9334973253000001,0.5555918248
SRX3686779,1.851458417,-0.7837538147,0.5428594995
SRX3686781,2.8419796024,-0.9517222070000001,0.5159513063
SRX3686806,2.8358859247,-0.9980503623,0.44956004720000003
SRX3686805,2.2135079119,-0.9766845329,0.4265585886
SRX3686758,-2.5878029337,-0.8207345997000001,0.0774793832
SRX3686760,-3.3292939934,-0.7506287335,0.1821425692
SRX3686759,-3.0325636841,-0.7284357490000001,0.12949035550000002
SRX3686810,-0.5443605345,-0.8550732446,0.4349951422
SRX3686811,0.9095176262,-1.0272233563,0.4093572062
SRX3686812,0.6753118622000001,-0.9444731859000001,0.3776453018
SRX3686813,-0.3025852606,-0.6449145908,0.4426792572
SRX3686815,-1.2439140297,-0.7859639766000001,0.4444414727
SRX3686816,-1.0850167312,-0.9192433032,0.5300327827
SRX3686823,0.0834406153,-0.8013001907,0.4613144102
SRX3686824,-0.31806861010000004,-0.7124631931000001,0.34690608030000003
SRX3686825,-1.2576461471,-0.9244941114,0.3667265914
SRX3686827,-0.6522364485000001,-0.6112524823000001,0.3948010844
SRX3686826,-1.2666319521,-0.6131319978,0.36590565540000003
SRX7054191,0.4285575988,-0.17406772680000002,-0.0169575242
SRX7054189,-0.2431247632,0.12154864330000001,-0.0688493295
SRX7054190,-0.1854328356,0.0525190835,0.0858068537
SRX7054193,2.8147212955,0.3983640571,0.8745359441
SRX7054192,3.7674491689,0.4388349388,0.9336252846
SRX7054194,3.5154015852000002,0.6229134864,0.8594375242000001
SRX4506284,-8.0848366647,-0.1962799418,-0.041499288
SRX4506280,-8.0391296216,0.052136711200000005,-0.2277244027
SRX4506282,-8.2667468097,-0.0202804436,-0.1443829678
SRX4506278,-8.2271095499,0.0133498014,-0.0427877449
SRX4506274,0.0701790061,-0.0960098172,0.0374016235
SRX4506273,0.0648227098,0.0344052557,-0.0167159262
SRX4506271,-0.2999756468,0.053931952400000004,-0.0056507371
SRX4506276,0.1649739309,0.007672609,-0.0150349603
SRX4506283,-0.7743062925,-0.058250330700000005,0.2414957041
SRX4506279,-0.5640071417,-0.07344517,0.312228069
SRX4506285,-0.3223041042,-0.0992602518,0.2532792991
SRX4506281,-0.2916992466,-0.10101780910000001,0.27511726340000003
SRX4506275,-1.7738249151,-0.3957920374,-0.10617780060000001
SRX4506277,-1.2955749563,-0.27577079590000003,-0.0250313746
SRX4506272,-1.899787312,-0.25110428560000003,-0.0608092375
SRX2923393,0.1564129116,0.0250247749,-0.0224380105
SRX2923394,-0.1564129116,-0.0250247749,0.0224380105
SRX2923398,-10.794224933,1.8679883199,-0.468906221
SRX2923397,-8.9206735197,1.5804006634,-0.0916715386
SRX2923395,-18.3157691032,1.8614266895,-0.2160681768
SRX2923396,-18.0012804198,1.8476834508,-0.2129009011
SRX2923400,2.8563219878,-1.0221656631,-0.4912773408
SRX2923401,0.2902874935,-0.8882833342,-0.30740542790000003
SRX2923403,-12.978097055,0.1654575945,1.020280135
SRX2923402,-15.948190457900001,-0.2277102436,1.4573136751
SRX6853288,4.0306117332,0.6254508992000001,0.0542493318
SRX6853287,4.2797505499,0.576058803,-0.083368842
SRX6853286,5.0734706918,0.5519793921,-0.0879439972
SRX6853284,0.4219227884,-0.0368610038,0.060686625200000004
SRX6853285,-0.08890417020000001,0.0362398759,0.044784094100000005
SRX6853283,-0.3330186182,0.0006211279,-0.1054707193
SRX4319040,0.6019601581,-0.040462221900000005,0.0232019742
SRX4319041,-0.0884852285,0.0144092753,0.0711287676
SRX4319039,-0.5134749296000001,0.0260529466,-0.0943307417
SRX4314613,-0.591944095,-0.09026102770000001,0.1666304947
SRX4314614,2.8032352168,-0.38727011110000004,0.0830006675
SRX4314615,0.10392477630000001,0.0769516754,0.2254507311
SRX4314632,1.1653253183,0.48022267960000004,-0.19371563600000002
SRX4314631,2.532334316,0.3134669907,0.1177993148
SRX4314633,1.9004427284,0.2754544425,-0.2055138763
SRX4314622,7.3713565685999995,-0.0779878358,-0.1767005063
SRX4314623,6.4633861643,0.1496679748,-0.43186015910000003
SRX4314624,5.5596193125,0.11137094360000001,-0.4676001414
SRX4314611,0.2358442762,0.0433105507,-0.12550142520000002
SRX4314610,-0.33858321,-0.044488765900000005,0.0799738639
SRX4314612,0.1027389337,0.0011782152,0.045527561300000005
SRX4314630,4.4044839263,0.121329138,-0.23142946050000002
SRX4314628,3.9619585714000003,0.1330266132,-0.3968351692
SRX4314629,5.0890023396,0.0665290774,-0.2792848121
SRX4314619,3.795160225,-8.0829e-06,-0.22667461730000002
SRX4314621,4.0708779403,0.028833507,-0.1664487567
SRX4314620,4.4391727656,-0.0692294228,-0.2907469264
SRX7119390,-1.8318130183,0.0045067531,0.0510191227
SRX7119388,1.8318130183,-0.0045067531,-0.0510191227
SRX7119386,-10.109225378,-0.2779567811,-0.6864847982000001
SRX7119385,-11.7578740288,-0.8496941650000001,-0.8304202885
SRX7119387,-11.3280179255,-0.3388887713,-0.7896022234000001
SRX3746749,1.550786902,0.18847614240000002,0.5306651283
SRX3746748,0.7274404240000001,0.5603474611,0.4195842871
SRX3746751,-2.8586354613,0.17117251690000002,-1.0441033917
SRX3746750,-1.3611605458,0.4657715764,-0.0746967978
SRX3746752,-0.9362210731,-0.0043192864000000004,-0.1020873768
SRX3746753,-2.6237490908,-0.060594412400000006,-0.6907510858
SRX3746755,-0.771150157,0.2780270724,-0.1168937662
SRX3746754,0.771150157,-0.2780270724,0.1168937662
