,0
name,Rv1828/SigH
TF,Rv1828/sigH
Regulator,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1828"" target=""_blank"">Rv1828</a> or <a href=""https://mycobrowser.epfl.ch/genes/sigH"" target=""_blank"">sigH</a>"
Function,iModulon that maps to the union of the Rv1828 and Rv3223c regulons
Category,Redox
has_venn,True
scatter,2
has_meme,False
precision,0.1118721461
recall,0.7777777778
