,-0.058990203205776,-0.049158502671479996,-0.039326802137183994,-0.029495101602887992,-0.01966340106859199,-0.009831700534295988,1.3877787807814457e-17,0.009831700534296023,0.019663401068592018,0.029495101602888013,0.03932680213718402,0.04915850267148003,0.058990203205776026,0.06882190374007202,0.07865360427436804,0.08848530480866404,0.09831700534296003,0.10814870587725603,0.11798040641155202,0.12781210694584805
thresh,-0.054074352938628,0.054074352938628,4,,,,,,,,,,,,,,,,,
unreg,0,3,9,35,285,1007,1321,562,140,47,16,16,11,0,1,1,0,0,0,0
Rv1828,0,0,0,0,0,9,2,1,0,0,1,0,1,0,0,0,0,0,0,0
sigH,1,0,3,8,36,70,121,63,42,18,14,10,4,13,10,12,5,2,1,0
Rv1828 and sigH,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],"['pyrG' 'Rv2256a' 'Rv3387' 'ftsW' 'mazF2' 'Rv2267c' 'lppW' 'mazE2'
 'Rv3122' 'mtrB' 'Rv0997a']",[],['mtrA'],['Rv2074'],[],[],[],[]
Rv1828_genes,[],[],[],[],[],"['eccD5' 'Rv1828' 'Rv3040c' 'PPE56' 'mce1A' 'echA17' 'Rv3041c' 'ctaD'
 'Rv3902c']",['gcpE' 'mmpL11'],['Rv0897c'],[],[],['ftsQ'],[],['Rv2148c'],[],[],[],[],[],[],[]
sigH_genes,['Rv0888'],[],['Rv1772' 'Rv2293c' 'lprJ'],['Rv1774' 'fprB' 'Rv1996' 'udgB' 'fas' 'Rv0885' 'Rv1874' 'Rv1519'],"['Rv2248' 'Rv3675' 'Rv0080' 'Rv3463' 'Rv0082' 'ahpD' 'PPE29' 'trxA'
 'Rv3222c' 'ctpD' 'Rv3354' 'rpiB' 'hsp' 'Rv2466c' 'thiX' 'Rv1724c'
 'Rv0208c' 'Rv0081' 'fadE15' 'Rv0140' 'tatD' 'Rv1974' 'Rv3087' 'hspX'
 'msrB' 'echA12' 'Rv3027c' 'Rv2075c' 'Rv2077A' 'Rv1691' 'iniB' 'Rv0759c'
 'Rv2646' 'ethA' 'lpqS' 'mec']","['murB' 'Rv3466' 'Rv0964c' 'Rv1813c' 'Rv2454c' 'mazF8' 'Rv3289c' 'cyp124'
 'esxQ' 'Rv2005c' 'modC' 'umaA' 'Rv0141c' 'tgs4' 'Rv3083' 'pks8' 'Rv0571c'
 'adhD' 'cydB' 'nrp' 'Rv1674c' 'kstR2' 'pepR' 'PPE15' 'ahpC' 'Rv1286'
 'murI' 'trxC' 'PPE67' 'cysM' 'fdhD' 'Rv1045' 'Rv2455c' 'esxJ' 'cysK2'
 'Rv1473' 'alaS' 'Rv2663' 'Rv2664' 'thrB' 'trmD' 'cydD' 'rshA' 'mbtI'
 'cydC' 'Rv3205c' 'ethR' 'Rv2387' 'Rv0315' 'PPE35' 'pstB' 'Rv3603c' 'hemK'
 'Rv1176c' 'lppT' 'Rv1044' 'Rv0059' 'pth' 'lat' 'Rv2078' 'lipR' 'cydA'
 'infA' 'PE_PGRS32' 'rmlC' 'pknB' 'cysO' 'mobA' 'Rv3586' 'dinP']","['Rv1976c' 'cysT' 'prpD' 'pks9' 'bioA' 'Rv3165c' 'rpfE' 'Rv3049c' 'cyp136'
 'Rv2645' 'htpG' 'Rv0654' 'ephA' 'gatA' 'radA' 'esxR' 'Rv2510c' 'Rv2132'
 'ogt' 'Rv2787' 'Rv0330c' 'Rv2253' 'pntAb' 'Rv3031' 'accD3' 'icl1' 'asnB'
 'Rv2114' 'Rv1754c' 'mtc28' 'fadE20' 'Rv1258c' 'bpoC' 'Rv0358' 'Rv0100'
 'pntAa' 'Rv3137' 'clpB' 'Rv0026' 'rplJ' 'Rv1301' 'kdpE' 'Rv3833' 'Rv0316'
 'Rv2990c' 'Rv0817c' 'acg' 'Rv1733c' 'grcC2' 'Rv3439c' 'Rv2042c' 'Rv2004c'
 'Rv2113' 'PPE50' 'Rv2955c' 'Rv2729c' 'accD5' 'Rv0881' 'fadD13' 'fadE5'
 'Rv0991c' 'Rv0057' 'dprE1' 'Rv0083' 'Rv3030' 'Rv2989' 'Rv0311' 'lpqI'
 'dacB2' 'usfY' 'Rv3437' 'Rv1592c' 'Rv2963' 'Rv3796' 'ltp4' 'Rv3054c'
 'Rv2585c' 'birA' 'groEL1' 'Rv2041c' 'Rv3032' 'Rv0481c' 'cysW' 'Rv0142'
 'Rv0880' 'Rv3773c' 'Rv0859' 'PPE3' 'Rv1112' 'Rv0197' 'Rv0307c' 'vapC43'
 'gatC' 'subI' 'fadD9' 'Rv1670' 'cadI' 'Rv2003c' 'lpqA' 'Rv2037c' 'kdpA'
 'Rv2959c' 'Rv0095c' 'PPE69' 'Rv3172c' 'fgd2' 'Rv0452' 'Rv3201c' 'vapC15'
 'pncA' 'vapB43' 'Rv3714c' 'pks6' 'leuD' 'leuC' 'Rv0516c' 'lppX' 'Rv3162c'
 'Rv1320c' 'Rv1217c' 'Rv3218']","['Rv0106' 'pbpA' 'irtB' 'Rv2659c' 'cysA1' 'Rv0428c' 'Rv1218c' 'kasB'
 'Rv0376c' 'bfrB' 'Rv1804c' 'tgs1' 'prpC' 'otsB1' 'lipU' 'Rv2917' 'hycQ'
 'Rv3789' 'Rv3788' 'PPE57' 'fdxB' 'groES' 'Rv0196' 'Rv3202c' 'Rv1524'
 'mshB' 'Rv1738' 'hrp1' 'Rv1986' 'efpA' 'Rv2958c' 'irtA' 'Rv1584c'
 'Rv2739c' 'Rv2721c' 'Rv1954c' 'Rv0158' 'Rv0205' 'bioF2' 'Rv1671' 'whiB6'
 'Rv3263' 'Rv3066' 'def' 'Rv0794c' 'PE36' 'iunH' 'accA2' 'vapC27' 'Rv3131'
 'Rv0891c' 'Rv0480c' 'Rv0607' 'sigB' 'PPE51' 'fabD' 'hycP' 'apa' 'Rv0302'
 'sigE' 'Rv0845' 'TB31.7' 'Rv3182']","['mez' 'lprO' 'Rv1578c' 'dnaK' 'Rv0312' 'lipX' 'Rv3395c' 'Rv1057' 'rubB'
 'Rv0849' 'Rv1816' 'Rv0597c' 'Rv3127' 'Rv2944' 'Rv1273c' 'Rv0367c'
 'Rv2962c' 'alkB' 'Rv3353c' 'Rv2251' 'Rv3822' 'lipQ' 'pks1' 'hycE'
 'Rv1708' 'Rv2943A' 'mntH' 'Rv2252' 'Rv1815' 'Rv2016' 'Rv0303' 'vapB21'
 'Rv0488' 'cysA3' 'rubA' 'Rv3098c' 'lpqG' 'Rv3076' 'Rv3591c' 'Rv3712'
 'Rv2331A' 'cobQ2']","['iniR' 'Rv0784' 'rbsK' 'Rv1478' 'Rv1434' 'ripA' 'Rv2012' 'Rv3311'
 'Rv2943' 'pks16' 'oxcA' 'Rv1075c' 'Rv1279' 'fadD7' 'Rv1278' 'prpR' 'sigD'
 'Rv0063']","['Rv1566c' 'Rv0078' 'Rv3413c' 'Rv1277' 'Rv2735c' 'Rv3047c' 'lprI'
 'Rv2525c' 'Rv3123' 'Rv2560' 'Rv3268' 'Rv2119' 'Rv2254c' 'nrdF2']","['Rv1987' 'Rv1043c' 'helZ' 'dnaE1' 'Rv2331' 'Rv2719c' 'recX' 'pirG'
 'Rv1433' 'Rv2681']",['Rv1632c' 'Rv2049c' 'plcC' 'Rv2680'],"['plcA' 'pbpB' 'Rv3811' 'Rv0997' 'Rv1251c' 'Rv1435c' 'Rv2164c' 'Rv3717'
 'recA' 'sapM' 'Rv0111' 'ruvC' 'Rv2165c']","['lpqJ' 'xerC' 'Rv1157c' 'dnaQ' 'Rv1158c' 'Rv2166c' 'Rv3267' 'ruvA'
 'Rv3258c' 'ruvB']","['Rv1220c' 'dacB1' 'Rv2864c' 'Rv0883c' 'plcB' 'fbpC' 'Rv2927c' 'Rv0430'
 'Rv3005c' 'lprE' 'Rv0519c' 'ftsK']",['Rv0996' 'Rv3209' 'Rv3587c' 'Rv2033c' 'mctB'],['Rv1697' 'Rv2147c'],['ftsZ'],[]
Rv1828 and sigH_genes,[],[],[],[],[],['Rv3033' 'serB2'],['PPE55'],['gcvB'],[],[],[],[],[],[],['yfiH'],[],[],[],[],[]
