sample,Rv3370c
SRX3995807,0.0134483983
SRX3995806,0.45592439500000004
SRX3995809,0.39392694980000004
SRX3995808,0.8622628845
SRX4619048,0.4078023289
SRX4619047,0.8329855697
SRX4619049,0.4285451886
SRX4619050,0.40506985430000003
SRX3995804,0.1519087267
SRX3995805,-0.1519087267
SRX5089845,-1.1936900847
SRX5089844,-1.1250460815
SRX5089860,0.20234847320000002
SRX5089859,0.07760871400000001
SRX5089858,-0.2799571873
SRX5089854,1.490808562
SRX5089853,1.4690670617000001
SRX5089852,1.1314634506
SRX5089856,-1.0567288184
SRX5089855,-1.1335901956
SRX5089857,-1.1612713375000001
SRX5089868,0.7743346184000001
SRX5089866,1.1839962102000001
SRX5089867,0.9145475460000001
SRX5089870,-1.2610390719
SRX5089869,-1.4567602511
SRX5089871,-1.1538232586000001
SRX5089846,2.064596221
SRX5089848,1.9481385160000002
SRX5089847,2.3434224367
SRX5089849,-1.4758990721
SRX5089850,-1.1654472747
SRX5089851,-1.1902427379
SRX5089863,1.587419992
SRX5089861,1.4871016267
SRX5089862,1.4260835863
SRX5089865,-1.4984786384
SRX5089864,-1.8138026419000002
SRX5388955,-0.0988450703
SRX5388957,-0.0901956916
SRX5388954,0.09044002350000001
SRX5388956,0.0986007383
SRX5388960,1.1250106525999999
SRX5388961,1.465264617
SRX5388959,1.1695474318
SRX5388958,1.064737843
SRX5388964,0.32846988
SRX5388965,0.5118688096
SRX5388962,0.4917180901
SRX5388963,0.35594057900000003
SRX6889335,0.049523076400000005
SRX6889333,-0.049523076400000005
SRX6810002,-0.0886376482
SRX6810004,-0.22149351650000002
SRX6810003,0.3101311647
SRX6810006,1.0092251709
SRX6810005,0.5024678487
SRX6810007,1.1305144684
ERX1818322,-0.0811628442
ERX1818321,0.0811628442
SRX2617830,-1.6600223831
SRX2617831,-1.5273739119
SRX2617833,-0.2803190057
SRX2617832,0.0295673857
SRX2617828,0.1471427529
SRX2617827,0.1364430107
SRX2617829,-0.2835857636
SRX3456119,0.10226486380000001
SRX3456118,-0.1961524423
