,-0.32754004462473696,-0.2729500371872808,-0.2183600297498246,-0.16377002231236842,-0.10918001487491225,-0.05459000743745607,1.1102230246251565e-16,0.05459000743745629,0.10918001487491247,0.16377002231236865,0.21836002974982482,0.27295003718728106,0.3275400446247372,0.3821300520621933,0.43672005949964954,0.49131006693710577,0.5459000743745619,0.600490081812018,0.6550800892494743,0.7096700966869305
thresh,-0.354835048343465,0.354835048343465,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,74,3757,74,0,0,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv1119c'],[]
