,0
gene_id,Rv3430a
name,Rv3430a
operon,Op2151
gene_product,hypothetical protein
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3430a"">External Database</a>"
