,0
gene_id,Rv2952
name,Rv2952
operon,Op1848
gene_product,phthiotriol/phenolphthiotriol dimycocerosates methyltransferase
COG,"Secondary metabolites biosynthesis, transport, and catabolism"
regulator,"Rv0023,Rv0135c,Rv0678,Rv1049,lsr2"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2952"">External Database</a>"
