,0
gene_id,Rv2975a
name,Rv2975a
operon,Op1863
gene_product,50S ribosomal protein L28
COG,"Translation, ribosomal structure and biogenesis"
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2975a"">External Database</a>"
