sample,Rv2975a
SRX3995807,-0.4444357324
SRX3995806,0.1507623536
SRX3995809,-0.6711976885000001
SRX3995808,-0.15169442900000002
SRX4619048,-0.6368745359
SRX4619047,0.0931794163
SRX4619049,-0.8994135466000001
SRX4619050,-0.9737660987000001
SRX3995804,-0.37763216320000004
SRX3995805,0.37763216320000004
SRX5089845,-0.3386281424
SRX5089844,-0.2119755959
SRX5089860,-0.0370046793
SRX5089859,0.030217308000000002
SRX5089858,0.0067873713
SRX5089854,-1.1249985952000001
SRX5089853,-1.0220067862
SRX5089852,-1.1044847268
SRX5089856,0.5790583959
SRX5089855,0.45654020570000003
SRX5089857,0.6527961656
SRX5089868,-1.2223210914
SRX5089866,-1.1740410144
SRX5089867,-0.7978275836000001
SRX5089870,0.9148487715
SRX5089869,0.7885938752
SRX5089871,0.3012649573
SRX5089846,-1.2529700386
SRX5089848,-0.7740406357
SRX5089847,-1.1408375765
SRX5089849,0.4822085665
SRX5089850,0.3889180213
SRX5089851,0.4209156766
SRX5089863,-1.1556993059
SRX5089861,-1.1336040633
SRX5089862,-0.9409495435
SRX5089865,0.3323330903
SRX5089864,0.1147394136
SRX5388955,-0.16774399510000002
SRX5388957,0.046682713800000004
SRX5388954,-0.0537790633
SRX5388956,0.1748403446
SRX5388960,-2.3266595078
SRX5388961,-2.2663105529
SRX5388959,-2.2981551405
SRX5388958,-2.5015049924
SRX5388964,-1.1026831307
SRX5388965,-1.2569442355
SRX5388962,-1.3319076328000001
SRX5388963,-1.2831522679
SRX6889335,-0.1730374795
SRX6889333,0.1730374795
SRX6810002,0.1599979838
SRX6810004,-0.029310084900000002
SRX6810003,-0.13068789890000002
SRX6810006,-1.1985580275
SRX6810005,-0.8528230368
SRX6810007,-1.5372713944
ERX1818322,0.06146925
ERX1818321,-0.06146925
SRX2617830,0.6554347147
SRX2617831,0.5897167779
SRX2617833,-0.42937170750000003
SRX2617832,-0.3806857648
SRX2617828,-0.1946103043
SRX2617827,-0.1279659722
SRX2617829,0.32257627650000004
SRX3456119,0.1195596455
SRX3456118,-0.5480127213
SRX3456117,-0.2768698336
SRX3456101,-0.0751436743
SRX3456099,0.0925763555
SRX3456100,-0.0174326812
SRX3456107,0.2847750358
SRX3456105,0.4194235786
SRX4374122,-1.1460598199
SRX4374121,-1.044905513
SRX4374123,-0.9557787469000001
SRX4374124,0.0736502956
SRX4374125,0.0973517369
SRX4374126,-0.1710020325
SRX4374127,-0.0510207452
SRX4374128,0.39351672930000003
SRX4374129,0.0199197984
SRX4374130,0.2383502533
SRX4374132,0.4033241844
SRX4374131,0.5302380548
SRX4374133,-0.4633426503
SRX4374135,-1.0656731823
SRX4374134,-0.7583019231
SRX4374138,0.8003986943
SRX4374136,0.9092917507
SRX4374137,0.9912719541
SRX1091379,0.7813256235
SRX1091380,0.7171925922
SRX1091377,0.0050340677
SRX1091378,-0.0050340677
SRX4647145,0.2081667257
SRX4647146,0.39989208400000004
SRX4647147,0.3325078489
SRX4647144,0.0277816374
SRX4647143,0.078099876
SRX4647142,-0.1058815134
SRX4647155,0.9300001388
SRX4647152,0.9655661481000001
SRX4647153,0.9089978315
SRX4647154,0.8461297645
SRX4647148,1.0055983905
SRX4647149,1.0723698893
SRX4647151,1.1065984609
SRX4647150,1.086746987
SRX4647123,-0.0637839904
SRX4647124,0.051520736000000004
SRX4647125,0.0122632544
SRX3103185,-0.177913187
SRX3103189,-0.0310054456
SRX3103187,-0.8161046925000001
SRX3103184,0.2520437671
SRX3103188,0.12862014300000002
SRX3103186,-0.3806639101
SRX1372110,0.1824494015
SRX1372111,0.3680148968
SRX1372108,-0.0905736028
SRX1372109,0.0905736028
SRX4506085,-0.0316621798
SRX4506083,-0.1630000628
SRX4506089,-0.0495577085
SRX4506087,0.0792904293
SRX4506077,-0.031306248700000004
SRX4506079,0.0120984813
SRX4506075,0.028305221300000002
SRX4506081,-0.0090974539
SRX4506084,2.0562828704
SRX4506086,2.0856552525
SRX4506088,1.9921735975
SRX4506090,1.9058706862
SRX4506078,1.8296233874999999
SRX4506080,1.8908148781
SRX4506082,1.7935375793000001
SRX4506076,1.871482348
SRX5352221,-0.6787774737000001
SRX5352223,-0.6700788046
SRX5352222,-0.4492316569
SRX5352229,0.5998453214
SRX5352227,0.8339533871
SRX5352228,0.6181890737
SRX5352231,-2.3854741962
SRX5352232,-2.3688541521
SRX5352230,-2.7512542369
SRX5352225,-0.4017311407
SRX5352224,-0.5410334652000001
SRX5352226,-0.5584696853000001
SRX5352220,-0.1393040694
SRX5352219,0.1370401872
SRX5352218,0.0022638822
SRX4498228,-0.0101733189
SRX4498224,0.16602371400000002
SRX4498230,0.0114643399
SRX4498226,-0.1833197415
SRX4498218,-0.0658510112
SRX4498216,0.0688328878
SRX4498220,-0.2714808533
SRX4498222,0.2684989766
SRX4498225,0.5627617067
SRX4498227,0.420246644
SRX4498231,0.2088935725
SRX4498229,0.4941479205
SRX4498217,0.30481411070000003
SRX4498221,0.4049060206
SRX4498219,0.4702701964
SRX4498223,0.5106958951
SRX5079928,-0.0845888001
SRX5079930,-0.2611067575
SRX5079929,-0.3321851173
SRX5079923,0.028009221600000002
SRX5079924,-0.0455732358
SRX5079922,-0.058106097700000005
SRX5079920,-0.0164134204
SRX5079921,-0.0227353791
SRX5079919,0.039148799500000005
SRX5079926,0.0307760378
SRX5079925,-0.1360915257
SRX5079927,0.0574713399
SRX894005,-0.9217836435000001
SRX894004,-1.4567206637
SRX894006,-1.7835684143
SRX893999,0.1426237394
SRX894000,0.3136934323
SRX893998,-0.4563171717
SRX4647489,-0.0657620554
SRX4647490,0.0657620554
SRX4647492,-0.1661930346
SRX4647491,-0.5237198204
SRX4647496,0.1765174709
SRX4647495,0.0632877587
SRX4647499,-0.12917792590000002
SRX4647500,-0.12226098
SRX4647493,-0.3603591295
SRX4647494,-0.2025892169
SRX4647497,-0.12309113790000001
SRX4647498,-0.0524596899
SRX4505482,-0.2778157597
SRX4505486,-0.212275248
SRX4505484,-0.3601875898
SRX4505473,-0.34315938090000003
SRX4505476,0.1789779614
SRX4505480,-0.08472495520000001
SRX4505478,-0.2077745422
SRX4505474,0.1135215359
SRX4505483,0.0898147007
SRX4505485,0.0035594734
SRX4505487,0.1648302082
SRX4505488,0.044318426
SRX4505481,0.12826661550000001
SRX4505477,0.152142768
SRX4505475,0.1203123769
SRX4505479,0.1507983609
SRX4605773,0.1959114149
SRX4605774,0.0976150454
SRX4605772,-0.1076319206
SRX4605771,0.1076319206
SRX5178871,0.31524271940000004
SRX5178872,-0.417774236
SRX5178868,0.5612421175
SRX5178870,-0.3472788597
SRX5178869,-0.2139632578
ERX1404045,0.069132737
ERX1404046,-0.069132737
ERX1404043,-0.0123056005
ERX1404044,0.186265899
ERX237502,-2.9784432338
ERX237505,-2.9293753659
ERX237506,-3.6927209453
ERX237500,-4.5928595669
ERX237497,-4.8640520065
ERX237499,-3.7928778209000003
ERX237507,0.040226874600000004
ERX237496,0.1108743725
ERX237504,-0.1511012471
ERX3772318,0.6394520446
ERX3772320,0.6767719524
ERX3772319,0.5095170309
ERX3772321,0.0507753286
ERX3772322,-0.2508578309
ERX3772323,0.2000825024
SRX4314262,-0.0044691125000000005
SRX4314263,0.048597761600000004
SRX4314261,-0.0441286491
SRX4314265,-0.628778048
SRX4314266,-0.41293655370000004
SRX4314264,-0.5525804145000001
SRX4314268,0.010185156800000001
SRX4314267,-0.3489290431
SRX4314271,-0.1853966133
SRX4314272,-0.1178759281
SRX4314275,-0.0916879735
SRX4314274,-0.24443266760000001
SRX4314273,-0.3171276273
SRX4314278,-0.0807447983
SRX4314276,0.0557747981
SRX4314281,0.0543866827
SRX4314279,-0.0070593616
SRX4314280,0.0677019383
SRX4314284,0.1340719052
SRX4314283,-0.2411783804
SRX4314282,-0.1980770949
SRX4314293,-0.2984528554
SRX4314292,-0.4308583978
SRX4314291,-0.9303366752000001
SRX4314297,-0.8218467354000001
SRX4314298,-0.5654549434
SRX4314299,-0.9784229353
SRX4314302,-1.0710953975
SRX4314301,-1.0677046301
SRX4314300,-0.8118173324
SRX4314305,-1.0966653039
SRX4314304,-0.735572231
SRX4314303,-0.7500582699
SRX4314309,-0.9798347599
SRX4314306,-1.2921923803
SRX4314308,-1.2491141877
SRX4314307,-0.8695864931
SRX4314311,-1.1932763973
SRX4314317,-0.7661720731
SRX4314316,-0.6979482923
SRX4314318,-0.7641016252
SRX4314319,-0.7737985344
SRX4314331,0.0523501501
SRX4314330,0.2408621957
SRX4314332,0.2046699337
SRX4314335,-0.0394688232
SRX4314334,-0.0448929569
SRX4314333,-0.10769930920000001
SRX4314338,-0.0423242886
SRX4314336,0.017899724500000002
SRX4314337,0.1108365805
SRX4314339,0.056610758100000005
SRX4314340,0.3185257184
SRX4314341,-0.0120358472
SRX3686762,2.1152604205
SRX3686763,2.0374883829
SRX3686761,2.3421535395
SRX3686765,0.09337821930000001
SRX3686769,0.31242675940000003
SRX3686766,0.5058074265
SRX3686768,0.6130784625
SRX3686764,0.3178664412
SRX3686767,0.318994907
SRX3686788,0.0368965948
SRX3686791,-0.2737610737
SRX3686792,0.2262485564
SRX3686793,-0.4916789684
SRX3686790,0.3758389851
SRX3686789,0.12645590580000002
SRX3686829,0.8903382066000001
SRX3686830,0.7717962117
SRX3686828,0.8966435932
SRX3686819,2.8197156681
SRX3686818,2.7717072315999998
SRX3686817,2.8569953903
SRX3686822,2.0823970499
SRX3686820,2.0289178935
SRX3686821,2.0290599763
SRX3686743,2.5152088942
SRX3686744,2.5305601748
SRX3686745,2.3993030891
SRX3686772,2.087164566
SRX3686770,2.5677462631
SRX3686771,2.1925035003
SRX3686794,0.6146992723
SRX3686796,0.6022656108000001
SRX3686751,2.6010935687
SRX3686749,2.589461696
SRX3686750,2.6358489421
SRX3686778,1.8138425512
SRX3686777,2.1793332841
SRX3686776,2.2794828748000002
SRX3686800,1.0651356139
SRX3686801,0.7451117333
SRX3686755,2.3173602816
SRX3686757,2.4531016826
SRX3686756,2.538244188
SRX3686784,2.0324070229
SRX3686783,2.3576388505
SRX3686782,2.5769691181
SRX3686809,0.3691262819
SRX3686807,0.5955605984
SRX3686808,0.6507213129
SRX3686787,0.8179727954
SRX3686786,1.231109126
SRX3686785,1.2687280473
SRX3686799,-0.2140398603
SRX3686797,-0.0742309818
SRX3686798,-0.0194637949
SRX3686746,1.9511837379
SRX3686748,2.0273056138
SRX3686747,2.072310331
SRX3686773,1.8377603267
SRX3686774,1.6261967241000002
SRX3686775,1.1601955532
SRX3686754,1.9912945454000002
SRX3686753,1.8199601509
SRX3686752,1.9419571986
SRX3686780,0.9423186601
SRX3686779,0.9396951145
SRX3686781,0.7538348615
SRX3686806,-0.4328284495
SRX3686805,-0.2714327774
SRX3686758,1.6904587801000002
SRX3686760,1.7521658043000001
SRX3686759,1.4724688711
SRX3686810,-0.49613385120000003
SRX3686811,-0.3325820685
SRX3686812,-0.2730510013
SRX3686813,2.2272145259
