,gene_id,database,kegg_id
5769,Rv1613,KEGG_pathway,map00260
5770,Rv1613,KEGG_pathway,map00400
5771,Rv1613,KEGG_pathway,map01100
5772,Rv1613,KEGG_pathway,map01110
5773,Rv1613,KEGG_pathway,map01130
5774,Rv1613,KEGG_pathway,map01230
5789,Rv1617,KEGG_pathway,map00010
5790,Rv1617,KEGG_pathway,map00230
5791,Rv1617,KEGG_pathway,map00620
5792,Rv1617,KEGG_pathway,map01100
5793,Rv1617,KEGG_pathway,map01110
5794,Rv1617,KEGG_pathway,map01120
5795,Rv1617,KEGG_pathway,map01130
5796,Rv1617,KEGG_pathway,map01200
5797,Rv1617,KEGG_pathway,map01230
5798,Rv1617,KEGG_pathway,map04922
5799,Rv1617,KEGG_pathway,map04930
5800,Rv1617,KEGG_pathway,map05165
5801,Rv1617,KEGG_pathway,map05203
5802,Rv1617,KEGG_pathway,map05230
5804,Rv1618,KEGG_pathway,map01040
5806,Rv1620c,KEGG_pathway,map02010
5808,Rv1621c,KEGG_pathway,map02010
5812,Rv1622c,KEGG_pathway,map00190
5813,Rv1622c,KEGG_pathway,map01100
5814,Rv1622c,KEGG_pathway,map02020
5818,Rv1623c,KEGG_pathway,map00190
5819,Rv1623c,KEGG_pathway,map01100
5820,Rv1623c,KEGG_pathway,map02020
5825,Rv1625c,KEGG_pathway,map00230
5826,Rv1625c,KEGG_pathway,map02025
5827,Rv1625c,KEGG_pathway,map04113
5828,Rv1625c,KEGG_pathway,map04213
5836,Rv1629,KEGG_pathway,map00230
5837,Rv1629,KEGG_pathway,map00240
5838,Rv1629,KEGG_pathway,map01100
5839,Rv1629,KEGG_pathway,map03030
5840,Rv1629,KEGG_pathway,map03410
5841,Rv1629,KEGG_pathway,map03420
5842,Rv1629,KEGG_pathway,map03440
5844,Rv1630,KEGG_pathway,map03010
5847,Rv1631,KEGG_pathway,map00770
5848,Rv1631,KEGG_pathway,map01100
5850,Rv1633,KEGG_pathway,map03420
5852,Rv1638,KEGG_pathway,map03420
5854,Rv1640c,KEGG_pathway,map00970
5856,Rv1642,KEGG_pathway,map03010
5858,Rv1643,KEGG_pathway,map03010
5863,Rv1647,KEGG_pathway,map00230
5864,Rv1647,KEGG_pathway,map02025
5865,Rv1647,KEGG_pathway,map04113
5866,Rv1647,KEGG_pathway,map04213
5868,Rv1649,KEGG_pathway,map00970
5870,Rv1650,KEGG_pathway,map00970
5877,Rv1652,KEGG_pathway,map00220
5878,Rv1652,KEGG_pathway,map01100
5879,Rv1652,KEGG_pathway,map01110
5880,Rv1652,KEGG_pathway,map01130
5881,Rv1652,KEGG_pathway,map01210
5882,Rv1652,KEGG_pathway,map01230
5889,Rv1653,KEGG_pathway,map00220
5890,Rv1653,KEGG_pathway,map01100
5891,Rv1653,KEGG_pathway,map01110
5892,Rv1653,KEGG_pathway,map01130
5893,Rv1653,KEGG_pathway,map01210
5894,Rv1653,KEGG_pathway,map01230
5901,Rv1654,KEGG_pathway,map00220
5902,Rv1654,KEGG_pathway,map01100
5903,Rv1654,KEGG_pathway,map01110
5904,Rv1654,KEGG_pathway,map01130
5905,Rv1654,KEGG_pathway,map01210
5906,Rv1654,KEGG_pathway,map01230
5915,Rv1655,KEGG_pathway,map00220
5916,Rv1655,KEGG_pathway,map00300
5917,Rv1655,KEGG_pathway,map01100
5918,Rv1655,KEGG_pathway,map01110
5919,Rv1655,KEGG_pathway,map01120
5920,Rv1655,KEGG_pathway,map01130
5921,Rv1655,KEGG_pathway,map01210
5922,Rv1655,KEGG_pathway,map01230
5928,Rv1656,KEGG_pathway,map00220
5929,Rv1656,KEGG_pathway,map01100
5930,Rv1656,KEGG_pathway,map01110
5931,Rv1656,KEGG_pathway,map01130
5932,Rv1656,KEGG_pathway,map01230
5940,Rv1658,KEGG_pathway,map00220
5941,Rv1658,KEGG_pathway,map00250
5942,Rv1658,KEGG_pathway,map01100
5943,Rv1658,KEGG_pathway,map01110
5944,Rv1658,KEGG_pathway,map01130
5945,Rv1658,KEGG_pathway,map01230
5946,Rv1658,KEGG_pathway,map05418
5953,Rv1659,KEGG_pathway,map00220
5954,Rv1659,KEGG_pathway,map00250
5955,Rv1659,KEGG_pathway,map01100
5956,Rv1659,KEGG_pathway,map01110
5957,Rv1659,KEGG_pathway,map01130
5958,Rv1659,KEGG_pathway,map01230
5960,Rv1688,KEGG_pathway,map03410
5962,Rv1689,KEGG_pathway,map00970
5965,Rv1695,KEGG_pathway,map00760
5966,Rv1695,KEGG_pathway,map01100
5969,Rv1699,KEGG_pathway,map00240
5970,Rv1699,KEGG_pathway,map01100
5972,Rv1700,KEGG_pathway,map00230
5978,Rv1703c,KEGG_pathway,map00140
5979,Rv1703c,KEGG_pathway,map00350
5980,Rv1703c,KEGG_pathway,map00965
5981,Rv1703c,KEGG_pathway,map01100
5982,Rv1703c,KEGG_pathway,map04728
5985,Rv1712,KEGG_pathway,map00240
5986,Rv1712,KEGG_pathway,map01100
5992,Rv1715,KEGG_pathway,map00360
5993,Rv1715,KEGG_pathway,map00362
5994,Rv1715,KEGG_pathway,map00650
5995,Rv1715,KEGG_pathway,map01100
5996,Rv1715,KEGG_pathway,map01120
6004,Rv1731,KEGG_pathway,map00250
6005,Rv1731,KEGG_pathway,map00310
6006,Rv1731,KEGG_pathway,map00350
6007,Rv1731,KEGG_pathway,map00650
6008,Rv1731,KEGG_pathway,map00760
6009,Rv1731,KEGG_pathway,map01100
6010,Rv1731,KEGG_pathway,map01120
6019,Rv1734c,KEGG_pathway,map00010
6020,Rv1734c,KEGG_pathway,map00020
6021,Rv1734c,KEGG_pathway,map00620
6022,Rv1734c,KEGG_pathway,map01100
6023,Rv1734c,KEGG_pathway,map01110
6024,Rv1734c,KEGG_pathway,map01120
6025,Rv1734c,KEGG_pathway,map01130
6026,Rv1734c,KEGG_pathway,map01200
6030,Rv1736c,KEGG_pathway,map00910
6031,Rv1736c,KEGG_pathway,map01120
6032,Rv1736c,KEGG_pathway,map02020
6034,Rv1737c,KEGG_pathway,map00910
6039,Rv1745c,KEGG_pathway,map00900
6040,Rv1745c,KEGG_pathway,map01100
6041,Rv1745c,KEGG_pathway,map01110
6042,Rv1745c,KEGG_pathway,map01130
6045,Rv1760,KEGG_pathway,map00561
6046,Rv1760,KEGG_pathway,map01100
6049,Rv1771,KEGG_pathway,map00053
6050,Rv1771,KEGG_pathway,map01100
6053,Rv1781c,KEGG_pathway,map00500
6054,Rv1781c,KEGG_pathway,map01100
6056,Rv1812c,KEGG_pathway,map00190
6058,Rv1819c,KEGG_pathway,map02010
6068,Rv1820,KEGG_pathway,map00290
6069,Rv1820,KEGG_pathway,map00650
6070,Rv1820,KEGG_pathway,map00660
6071,Rv1820,KEGG_pathway,map00770
6072,Rv1820,KEGG_pathway,map01100
6073,Rv1820,KEGG_pathway,map01110
6074,Rv1820,KEGG_pathway,map01130
6075,Rv1820,KEGG_pathway,map01210
6076,Rv1820,KEGG_pathway,map01230
6080,Rv1821,KEGG_pathway,map02024
6081,Rv1821,KEGG_pathway,map03060
6082,Rv1821,KEGG_pathway,map03070
6085,Rv1822,KEGG_pathway,map00564
6086,Rv1822,KEGG_pathway,map01100
6093,Rv1826,KEGG_pathway,map00260
6094,Rv1826,KEGG_pathway,map00630
6095,Rv1826,KEGG_pathway,map01100
6096,Rv1826,KEGG_pathway,map01110
6097,Rv1826,KEGG_pathway,map01130
6098,Rv1826,KEGG_pathway,map01200
6105,Rv1832,KEGG_pathway,map00260
6106,Rv1832,KEGG_pathway,map00630
6107,Rv1832,KEGG_pathway,map01100
6108,Rv1832,KEGG_pathway,map01110
6109,Rv1832,KEGG_pathway,map01130
6110,Rv1832,KEGG_pathway,map01200
6115,Rv1833c,KEGG_pathway,map00361
6116,Rv1833c,KEGG_pathway,map00625
6117,Rv1833c,KEGG_pathway,map01100
6118,Rv1833c,KEGG_pathway,map01120
6125,Rv1837c,KEGG_pathway,map00620
6126,Rv1837c,KEGG_pathway,map00630
6127,Rv1837c,KEGG_pathway,map01100
6128,Rv1837c,KEGG_pathway,map01110
6129,Rv1837c,KEGG_pathway,map01120
6130,Rv1837c,KEGG_pathway,map01200
6135,Rv1843c,KEGG_pathway,map00230
6136,Rv1843c,KEGG_pathway,map00983
6137,Rv1843c,KEGG_pathway,map01100
6138,Rv1843c,KEGG_pathway,map01110
6146,Rv1844c,KEGG_pathway,map00030
6147,Rv1844c,KEGG_pathway,map00480
6148,Rv1844c,KEGG_pathway,map01100
6149,Rv1844c,KEGG_pathway,map01110
6150,Rv1844c,KEGG_pathway,map01120
6151,Rv1844c,KEGG_pathway,map01130
6152,Rv1844c,KEGG_pathway,map01200
6158,Rv1848,KEGG_pathway,map00220
6159,Rv1848,KEGG_pathway,map00230
6160,Rv1848,KEGG_pathway,map00791
6161,Rv1848,KEGG_pathway,map01100
6162,Rv1848,KEGG_pathway,map01120
6169,Rv1849,KEGG_pathway,map00220
6170,Rv1849,KEGG_pathway,map00230
6171,Rv1849,KEGG_pathway,map00791
6172,Rv1849,KEGG_pathway,map01100
6173,Rv1849,KEGG_pathway,map01120
6174,Rv1849,KEGG_pathway,map05120
6181,Rv1850,KEGG_pathway,map00220
6182,Rv1850,KEGG_pathway,map00230
6183,Rv1850,KEGG_pathway,map00791
6184,Rv1850,KEGG_pathway,map01100
6185,Rv1850,KEGG_pathway,map01120
6186,Rv1850,KEGG_pathway,map05120
6188,Rv1854c,KEGG_pathway,map00190
6190,Rv1857,KEGG_pathway,map02010
6192,Rv1858,KEGG_pathway,map02010
6194,Rv1859,KEGG_pathway,map02010
6208,Rv1862,KEGG_pathway,map00010
6209,Rv1862,KEGG_pathway,map00071
6210,Rv1862,KEGG_pathway,map00350
6211,Rv1862,KEGG_pathway,map00625
6212,Rv1862,KEGG_pathway,map00626
6213,Rv1862,KEGG_pathway,map00830
6214,Rv1862,KEGG_pathway,map00980
6215,Rv1862,KEGG_pathway,map00982
6216,Rv1862,KEGG_pathway,map01100
6217,Rv1862,KEGG_pathway,map01110
6218,Rv1862,KEGG_pathway,map01120
6219,Rv1862,KEGG_pathway,map01130
6220,Rv1862,KEGG_pathway,map01220
6240,Rv1867,KEGG_pathway,map00071
6241,Rv1867,KEGG_pathway,map00072
6242,Rv1867,KEGG_pathway,map00280
6243,Rv1867,KEGG_pathway,map00310
6244,Rv1867,KEGG_pathway,map00362
6245,Rv1867,KEGG_pathway,map00380
6246,Rv1867,KEGG_pathway,map00620
6247,Rv1867,KEGG_pathway,map00630
6248,Rv1867,KEGG_pathway,map00640
6249,Rv1867,KEGG_pathway,map00650
6250,Rv1867,KEGG_pathway,map00720
6251,Rv1867,KEGG_pathway,map00900
6252,Rv1867,KEGG_pathway,map01100
6253,Rv1867,KEGG_pathway,map01110
6254,Rv1867,KEGG_pathway,map01120
6255,Rv1867,KEGG_pathway,map01130
6256,Rv1867,KEGG_pathway,map01200
6257,Rv1867,KEGG_pathway,map01212
6258,Rv1867,KEGG_pathway,map02020
6263,Rv1869c,KEGG_pathway,map00071
6264,Rv1869c,KEGG_pathway,map00360
6265,Rv1869c,KEGG_pathway,map01120
6266,Rv1869c,KEGG_pathway,map01220
6269,Rv1872c,KEGG_pathway,map00620
6270,Rv1872c,KEGG_pathway,map01100
6272,Rv1876,KEGG_pathway,map00860
6284,Rv1878,KEGG_pathway,map00220
6285,Rv1878,KEGG_pathway,map00250
6286,Rv1878,KEGG_pathway,map00630
6287,Rv1878,KEGG_pathway,map00910
6288,Rv1878,KEGG_pathway,map01100
6289,Rv1878,KEGG_pathway,map01120
6290,Rv1878,KEGG_pathway,map01230
6291,Rv1878,KEGG_pathway,map02020
6292,Rv1878,KEGG_pathway,map04217
6293,Rv1878,KEGG_pathway,map04724
6294,Rv1878,KEGG_pathway,map04727
6300,Rv1885c,KEGG_pathway,map00400
6301,Rv1885c,KEGG_pathway,map01100
6302,Rv1885c,KEGG_pathway,map01110
6303,Rv1885c,KEGG_pathway,map01130
6304,Rv1885c,KEGG_pathway,map01230
6307,Rv1886c,KEGG_pathway,map00561
6308,Rv1886c,KEGG_pathway,map01100
6310,Rv1901,KEGG_pathway,map00760
6318,Rv1905c,KEGG_pathway,map00260
6319,Rv1905c,KEGG_pathway,map00311
6320,Rv1905c,KEGG_pathway,map00330
6321,Rv1905c,KEGG_pathway,map00472
6322,Rv1905c,KEGG_pathway,map01100
6323,Rv1905c,KEGG_pathway,map01130
6324,Rv1905c,KEGG_pathway,map04146
6331,Rv1908c,KEGG_pathway,map00360
6332,Rv1908c,KEGG_pathway,map00380
6333,Rv1908c,KEGG_pathway,map00940
6334,Rv1908c,KEGG_pathway,map00983
6335,Rv1908c,KEGG_pathway,map01100
6336,Rv1908c,KEGG_pathway,map01110
6342,Rv1915,KEGG_pathway,map00630
6343,Rv1915,KEGG_pathway,map01100
6344,Rv1915,KEGG_pathway,map01110
6345,Rv1915,KEGG_pathway,map01120
6346,Rv1915,KEGG_pathway,map01200
6352,Rv1916,KEGG_pathway,map00630
6353,Rv1916,KEGG_pathway,map01100
6354,Rv1916,KEGG_pathway,map01110
6355,Rv1916,KEGG_pathway,map01120
6356,Rv1916,KEGG_pathway,map01200
6358,Rv1928c,KEGG_pathway,map00040
6377,Rv1935c,KEGG_pathway,map00071
6378,Rv1935c,KEGG_pathway,map00280
6379,Rv1935c,KEGG_pathway,map00281
6380,Rv1935c,KEGG_pathway,map00310
6381,Rv1935c,KEGG_pathway,map00360
6382,Rv1935c,KEGG_pathway,map00362
6383,Rv1935c,KEGG_pathway,map00380
6384,Rv1935c,KEGG_pathway,map00410
6385,Rv1935c,KEGG_pathway,map00627
6386,Rv1935c,KEGG_pathway,map00640
6387,Rv1935c,KEGG_pathway,map00650
6388,Rv1935c,KEGG_pathway,map00903
6389,Rv1935c,KEGG_pathway,map00930
6390,Rv1935c,KEGG_pathway,map01100
6391,Rv1935c,KEGG_pathway,map01110
6392,Rv1935c,KEGG_pathway,map01120
6393,Rv1935c,KEGG_pathway,map01130
6394,Rv1935c,KEGG_pathway,map01212
6401,Rv1937,KEGG_pathway,map00362
6402,Rv1937,KEGG_pathway,map00364
6403,Rv1937,KEGG_pathway,map00622
6404,Rv1937,KEGG_pathway,map01100
6405,Rv1937,KEGG_pathway,map01120
6406,Rv1937,KEGG_pathway,map01220
6411,Rv1940,KEGG_pathway,map00740
6412,Rv1940,KEGG_pathway,map00790
6413,Rv1940,KEGG_pathway,map01100
6414,Rv1940,KEGG_pathway,map01110
6416,Rv1964,KEGG_pathway,map02010
6418,Rv1965,KEGG_pathway,map02010
6420,Rv1966,KEGG_pathway,map02010
6422,Rv1967,KEGG_pathway,map02010
6424,Rv1968,KEGG_pathway,map02010
6426,Rv1969,KEGG_pathway,map02010
6428,Rv1970,KEGG_pathway,map02010
6430,Rv1971,KEGG_pathway,map02010
6434,Rv1981c,KEGG_pathway,map00230
6435,Rv1981c,KEGG_pathway,map00240
6436,Rv1981c,KEGG_pathway,map01100
6439,Rv2002,KEGG_pathway,map00140
6440,Rv2002,KEGG_pathway,map01100
6443,Rv2006,KEGG_pathway,map00500
6444,Rv2006,KEGG_pathway,map01100
6446,Rv2027c,KEGG_pathway,map02020
6458,Rv2029c,KEGG_pathway,map00010
6459,Rv2029c,KEGG_pathway,map00030
6460,Rv2029c,KEGG_pathway,map00051
6461,Rv2029c,KEGG_pathway,map00052
6462,Rv2029c,KEGG_pathway,map00680
6463,Rv2029c,KEGG_pathway,map01100
6464,Rv2029c,KEGG_pathway,map01110
6465,Rv2029c,KEGG_pathway,map01120
6466,Rv2029c,KEGG_pathway,map01130
6467,Rv2029c,KEGG_pathway,map01200
6468,Rv2029c,KEGG_pathway,map01230
6470,Rv2038c,KEGG_pathway,map02010
6473,Rv2043c,KEGG_pathway,map00760
6474,Rv2043c,KEGG_pathway,map01100
6482,Rv2054,KEGG_pathway,map00361
6483,Rv2054,KEGG_pathway,map00364
6484,Rv2054,KEGG_pathway,map00623
6485,Rv2054,KEGG_pathway,map01100
6486,Rv2054,KEGG_pathway,map01110
6487,Rv2054,KEGG_pathway,map01120
6488,Rv2054,KEGG_pathway,map01130
6490,Rv2055c,KEGG_pathway,map03010
6492,Rv2056c,KEGG_pathway,map03010
6494,Rv2057c,KEGG_pathway,map03010
6496,Rv2058c,KEGG_pathway,map03010
6499,Rv2062c,KEGG_pathway,map00860
6500,Rv2062c,KEGG_pathway,map01100
6503,Rv2064,KEGG_pathway,map00860
6504,Rv2064,KEGG_pathway,map01100
6507,Rv2065,KEGG_pathway,map00860
6508,Rv2065,KEGG_pathway,map01100
6511,Rv2066,KEGG_pathway,map00860
6512,Rv2066,KEGG_pathway,map01100
6516,Rv2068c,KEGG_pathway,map00311
6517,Rv2068c,KEGG_pathway,map01130
6518,Rv2068c,KEGG_pathway,map01501
6521,Rv2070c,KEGG_pathway,map00860
6522,Rv2070c,KEGG_pathway,map01100
6525,Rv2071c,KEGG_pathway,map00860
6526,Rv2071c,KEGG_pathway,map01100
6529,Rv2072c,KEGG_pathway,map00860
6530,Rv2072c,KEGG_pathway,map01100
6533,Rv2093c,KEGG_pathway,map03060
6534,Rv2093c,KEGG_pathway,map03070
6537,Rv2094c,KEGG_pathway,map03060
6538,Rv2094c,KEGG_pathway,map03070
6540,Rv2109c,KEGG_pathway,map03050
6542,Rv2110c,KEGG_pathway,map03050
6544,Rv2115c,KEGG_pathway,map03050
6549,Rv2121c,KEGG_pathway,map00340
6550,Rv2121c,KEGG_pathway,map01100
6551,Rv2121c,KEGG_pathway,map01110
6552,Rv2121c,KEGG_pathway,map01230
6557,Rv2122c,KEGG_pathway,map00340
6558,Rv2122c,KEGG_pathway,map01100
6559,Rv2122c,KEGG_pathway,map01110
6560,Rv2122c,KEGG_pathway,map01230
6567,Rv2124c,KEGG_pathway,map00270
6568,Rv2124c,KEGG_pathway,map00450
6569,Rv2124c,KEGG_pathway,map00670
6570,Rv2124c,KEGG_pathway,map01100
6571,Rv2124c,KEGG_pathway,map01110
6572,Rv2124c,KEGG_pathway,map01230
6577,Rv2131c,KEGG_pathway,map00920
6578,Rv2131c,KEGG_pathway,map01100
6579,Rv2131c,KEGG_pathway,map01120
6580,Rv2131c,KEGG_pathway,map01130
6582,Rv2136c,KEGG_pathway,map00550
6585,Rv2139,KEGG_pathway,map00240
6586,Rv2139,KEGG_pathway,map01100
6588,Rv2150c,KEGG_pathway,map04112
6590,Rv2151c,KEGG_pathway,map04112
6594,Rv2152c,KEGG_pathway,map00471
6595,Rv2152c,KEGG_pathway,map00550
6596,Rv2152c,KEGG_pathway,map01100
6601,Rv2153c,KEGG_pathway,map00550
6602,Rv2153c,KEGG_pathway,map01100
6603,Rv2153c,KEGG_pathway,map01502
6604,Rv2153c,KEGG_pathway,map04112
6606,Rv2154c,KEGG_pathway,map04112
6610,Rv2155c,KEGG_pathway,map00471
6611,Rv2155c,KEGG_pathway,map00550
6612,Rv2155c,KEGG_pathway,map01100
6616,Rv2156c,KEGG_pathway,map00550
6617,Rv2156c,KEGG_pathway,map01100
6618,Rv2156c,KEGG_pathway,map01502
6623,Rv2157c,KEGG_pathway,map00300
6624,Rv2157c,KEGG_pathway,map00550
6625,Rv2157c,KEGG_pathway,map01100
6626,Rv2157c,KEGG_pathway,map01502
6629,Rv2158c,KEGG_pathway,map00300
6630,Rv2158c,KEGG_pathway,map00550
6633,Rv2163c,KEGG_pathway,map00550
6634,Rv2163c,KEGG_pathway,map01501
6639,Rv2173,KEGG_pathway,map00900
6640,Rv2173,KEGG_pathway,map01100
6641,Rv2173,KEGG_pathway,map01110
6642,Rv2173,KEGG_pathway,map01130
6649,Rv2178c,KEGG_pathway,map00400
6650,Rv2178c,KEGG_pathway,map01100
6651,Rv2178c,KEGG_pathway,map01110
6652,Rv2178c,KEGG_pathway,map01130
6653,Rv2178c,KEGG_pathway,map01230
6654,Rv2178c,KEGG_pathway,map02024
6659,Rv2182c,KEGG_pathway,map00561
6660,Rv2182c,KEGG_pathway,map00564
6661,Rv2182c,KEGG_pathway,map01100
6662,Rv2182c,KEGG_pathway,map01110
6673,Rv2187,KEGG_pathway,map00061
6674,Rv2187,KEGG_pathway,map00071
6675,Rv2187,KEGG_pathway,map01100
6676,Rv2187,KEGG_pathway,map01212
6677,Rv2187,KEGG_pathway,map02024
6678,Rv2187,KEGG_pathway,map03320
6679,Rv2187,KEGG_pathway,map04146
6680,Rv2187,KEGG_pathway,map04216
6681,Rv2187,KEGG_pathway,map04714
6682,Rv2187,KEGG_pathway,map04920
6689,Rv2191,KEGG_pathway,map00230
6690,Rv2191,KEGG_pathway,map00240
6691,Rv2191,KEGG_pathway,map01100
6692,Rv2191,KEGG_pathway,map03030
6693,Rv2191,KEGG_pathway,map03430
6694,Rv2191,KEGG_pathway,map03440
6700,Rv2192c,KEGG_pathway,map00400
6701,Rv2192c,KEGG_pathway,map01100
6702,Rv2192c,KEGG_pathway,map01110
6703,Rv2192c,KEGG_pathway,map01130
6704,Rv2192c,KEGG_pathway,map01230
6707,Rv2193,KEGG_pathway,map00190
6708,Rv2193,KEGG_pathway,map01100
6711,Rv2194,KEGG_pathway,map00190
6712,Rv2194,KEGG_pathway,map01100
6715,Rv2195,KEGG_pathway,map00190
6716,Rv2195,KEGG_pathway,map01100
6719,Rv2196,KEGG_pathway,map00190
6720,Rv2196,KEGG_pathway,map01100
6723,Rv2200c,KEGG_pathway,map00190
6724,Rv2200c,KEGG_pathway,map01100
6728,Rv2201,KEGG_pathway,map00250
6729,Rv2201,KEGG_pathway,map01100
6730,Rv2201,KEGG_pathway,map01110
6733,Rv2202c,KEGG_pathway,map00230
6734,Rv2202c,KEGG_pathway,map01100
6741,Rv2205c,KEGG_pathway,map00260
6742,Rv2205c,KEGG_pathway,map00561
6743,Rv2205c,KEGG_pathway,map00630
6744,Rv2205c,KEGG_pathway,map01100
6745,Rv2205c,KEGG_pathway,map01120
6746,Rv2205c,KEGG_pathway,map01130
6749,Rv2207,KEGG_pathway,map00860
6750,Rv2207,KEGG_pathway,map01100
6753,Rv2208,KEGG_pathway,map00860
6754,Rv2208,KEGG_pathway,map01100
6764,Rv2210c,KEGG_pathway,map00270
6765,Rv2210c,KEGG_pathway,map00280
6766,Rv2210c,KEGG_pathway,map00290
6767,Rv2210c,KEGG_pathway,map00770
6768,Rv2210c,KEGG_pathway,map01100
6769,Rv2210c,KEGG_pathway,map01110
6770,Rv2210c,KEGG_pathway,map01130
6771,Rv2210c,KEGG_pathway,map01210
6772,Rv2210c,KEGG_pathway,map01230
6780,Rv2211c,KEGG_pathway,map00260
6781,Rv2211c,KEGG_pathway,map00630
6782,Rv2211c,KEGG_pathway,map00670
6783,Rv2211c,KEGG_pathway,map01100
6784,Rv2211c,KEGG_pathway,map01110
6785,Rv2211c,KEGG_pathway,map01130
6786,Rv2211c,KEGG_pathway,map01200
6791,Rv2212,KEGG_pathway,map00230
6792,Rv2212,KEGG_pathway,map02025
6793,Rv2212,KEGG_pathway,map04113
6794,Rv2212,KEGG_pathway,map04213
6797,Rv2213,KEGG_pathway,map00480
6798,Rv2213,KEGG_pathway,map01100
6806,Rv2215,KEGG_pathway,map00020
6807,Rv2215,KEGG_pathway,map00310
6808,Rv2215,KEGG_pathway,map01100
6809,Rv2215,KEGG_pathway,map01110
6810,Rv2215,KEGG_pathway,map01120
6811,Rv2215,KEGG_pathway,map01130
6812,Rv2215,KEGG_pathway,map01200
6815,Rv2217,KEGG_pathway,map00785
6816,Rv2217,KEGG_pathway,map01100
6819,Rv2218,KEGG_pathway,map00785
6820,Rv2218,KEGG_pathway,map01100
6832,Rv2220,KEGG_pathway,map00220
6833,Rv2220,KEGG_pathway,map00250
6834,Rv2220,KEGG_pathway,map00630
6835,Rv2220,KEGG_pathway,map00910
6836,Rv2220,KEGG_pathway,map01100
6837,Rv2220,KEGG_pathway,map01120
6838,Rv2220,KEGG_pathway,map01230
6839,Rv2220,KEGG_pathway,map02020
6840,Rv2220,KEGG_pathway,map04217
6841,Rv2220,KEGG_pathway,map04724
6842,Rv2220,KEGG_pathway,map04727
6854,Rv2222c,KEGG_pathway,map00220
6855,Rv2222c,KEGG_pathway,map00250
6856,Rv2222c,KEGG_pathway,map00630
6857,Rv2222c,KEGG_pathway,map00910
6858,Rv2222c,KEGG_pathway,map01100
6859,Rv2222c,KEGG_pathway,map01120
6860,Rv2222c,KEGG_pathway,map01230
6861,Rv2222c,KEGG_pathway,map02020
6862,Rv2222c,KEGG_pathway,map04217
6863,Rv2222c,KEGG_pathway,map04724
6864,Rv2222c,KEGG_pathway,map04727
6867,Rv2224d,KEGG_pathway,map00561
6868,Rv2224d,KEGG_pathway,map01100
6872,Rv2225,KEGG_pathway,map00770
6873,Rv2225,KEGG_pathway,map01100
6874,Rv2225,KEGG_pathway,map01110
6878,Rv2228c,KEGG_pathway,map00860
6879,Rv2228c,KEGG_pathway,map01100
6880,Rv2228c,KEGG_pathway,map03030
6891,Rv2231c,KEGG_pathway,map00340
6892,Rv2231c,KEGG_pathway,map00350
6893,Rv2231c,KEGG_pathway,map00360
6894,Rv2231c,KEGG_pathway,map00400
6895,Rv2231c,KEGG_pathway,map00401
6896,Rv2231c,KEGG_pathway,map00960
6897,Rv2231c,KEGG_pathway,map01100
6898,Rv2231c,KEGG_pathway,map01110
6899,Rv2231c,KEGG_pathway,map01130
6900,Rv2231c,KEGG_pathway,map01230
6903,Rv2236c,KEGG_pathway,map00860
6904,Rv2236c,KEGG_pathway,map01100
6906,Rv2238c,KEGG_pathway,map04214
6915,Rv2241,KEGG_pathway,map00010
6916,Rv2241,KEGG_pathway,map00020
6917,Rv2241,KEGG_pathway,map00620
6918,Rv2241,KEGG_pathway,map01100
6919,Rv2241,KEGG_pathway,map01110
6920,Rv2241,KEGG_pathway,map01120
6921,Rv2241,KEGG_pathway,map01130
6922,Rv2241,KEGG_pathway,map01200
6928,Rv2243,KEGG_pathway,map00061
6929,Rv2243,KEGG_pathway,map00333
6930,Rv2243,KEGG_pathway,map01100
6931,Rv2243,KEGG_pathway,map01130
6932,Rv2243,KEGG_pathway,map01212
6944,Rv2247,KEGG_pathway,map00061
6945,Rv2247,KEGG_pathway,map00280
6946,Rv2247,KEGG_pathway,map00620
6947,Rv2247,KEGG_pathway,map00630
6948,Rv2247,KEGG_pathway,map00640
6949,Rv2247,KEGG_pathway,map01100
6950,Rv2247,KEGG_pathway,map01110
6951,Rv2247,KEGG_pathway,map01120
6952,Rv2247,KEGG_pathway,map01130
6953,Rv2247,KEGG_pathway,map01200
6954,Rv2247,KEGG_pathway,map01212
6957,Rv2249c,KEGG_pathway,map00564
6958,Rv2249c,KEGG_pathway,map01110
6962,Rv2251,KEGG_pathway,map00565
6963,Rv2251,KEGG_pathway,map01100
6964,Rv2251,KEGG_pathway,map04146
6969,Rv2252,KEGG_pathway,map00561
6970,Rv2252,KEGG_pathway,map00564
6971,Rv2252,KEGG_pathway,map01100
6972,Rv2252,KEGG_pathway,map01110
6975,Rv2289,KEGG_pathway,map00564
6976,Rv2289,KEGG_pathway,map01110
6982,Rv2291,KEGG_pathway,map00270
6983,Rv2291,KEGG_pathway,map00920
6984,Rv2291,KEGG_pathway,map01100
6985,Rv2291,KEGG_pathway,map01120
6986,Rv2291,KEGG_pathway,map04122
6990,Rv2292c,KEGG_pathway,map00270
6991,Rv2292c,KEGG_pathway,map01100
6992,Rv2292c,KEGG_pathway,map01230
6996,Rv2293c,KEGG_pathway,map00270
6997,Rv2293c,KEGG_pathway,map01100
6998,Rv2293c,KEGG_pathway,map01230
7004,Rv2294,KEGG_pathway,map00270
7005,Rv2294,KEGG_pathway,map00450
7006,Rv2294,KEGG_pathway,map01100
7007,Rv2294,KEGG_pathway,map01110
7008,Rv2294,KEGG_pathway,map01230
