,A,Rv3066,Rv3249c,mbcA
SRX4314335,-3.2718742223,-2.8455537163,-1.1588510348,0.3995801103
SRX4314334,-3.9275757089,-2.1945762157,-1.1277092906,0.42842337890000004
SRX4314333,-3.1645491549,-2.0101224403,-1.1667040282,0.43962471210000004
SRX4314338,-3.3384859511,-2.3824405653,-1.2553342243,0.1528102918
SRX4314336,-3.4124289244,-2.1561030171,-1.3307583119,0.3011427306
SRX4314337,-3.3654836048,-2.118522387,-1.3704271682,0.2145739292
SRX4314339,-3.473661898,-2.5821817052,-1.840363653,-0.4206298458
SRX4314340,-3.0205455537,-2.056588208,-1.6943628659,-0.23237027400000002
SRX4314341,-3.0611509589,-2.3409149487,-1.7898827024,-0.48925540030000003
SRX3686762,-4.3475299966,-1.1079822025,0.2930719754,0.9820125752000001
SRX3686763,-4.0763457486,-1.0444151883,0.1556732717,0.9686105458000001
SRX3686761,-4.2511131858,-1.0001413385,0.4448527836,1.0951573163
SRX3686765,0.41174407430000004,0.4940951288,-0.2008907494,0.11630566960000001
SRX3686769,0.22761135770000002,0.3770677672,-0.1970046916,0.2033206987
SRX3686766,0.8104297131,0.2389946977,-0.1754187367,0.35220389550000003
SRX3686768,0.9948557461,0.3312375542,-0.25985542040000004,0.4082287079
SRX3686764,0.15970866320000002,0.3401209838,-0.1807144664,0.21962841560000002
SRX3686767,0.3683102771,0.3856611092,-0.0638684813,0.1973279832
SRX3686788,-0.6535426798,-0.3308728098,0.0876482573,0.2717317618
SRX3686791,-0.5149963126,0.0840660483,0.028312081200000002,-0.1639582494
SRX3686792,0.5313662036,-0.1722251787,0.1994793743,-0.3231130498
SRX3686793,0.7797407638,0.6489273214,-0.0444631273,-0.0407086034
SRX3686790,-0.0852705599,-0.23911529780000002,-0.0173444991,0.0070861711
SRX3686789,-0.0572974152,0.0092199167,-0.2536320865,0.2489619697
SRX3686829,-2.7225900364,-0.8496660563,0.0934371796,0.8929210868
SRX3686830,-2.6887051311,-0.9106602934,0.212304126,0.7512471299
SRX3686828,-2.6703855269,-0.6874421097,0.0484267212,0.7942853946
SRX3686819,-5.0272118663,-1.5870916187000002,0.41540069620000003,-0.2653909702
SRX3686818,-4.9121284664000004,-1.8748258552000001,0.4282009138,-0.24234365060000002
SRX3686817,-5.2486197444,-1.8924476607,0.6291228109,-0.23747139700000003
SRX3686822,-2.1593897141,-1.2815923465,1.2556463387,1.2517992381
SRX3686820,-2.0476958075,-0.9254090877000001,1.115717243,1.0334599684
SRX3686821,-1.9260684112000002,-1.0559479833,1.4809096725,1.3008868135
SRX3686743,-4.1678500338,-1.2714256036,0.5061623159,1.3012813522
SRX3686744,-4.0203200292,-1.096718637,0.6023158753,1.2746966786
SRX3686745,-3.9955954333,-1.105541975,0.4763686386,1.3591153291
SRX3686772,-4.4266509611,-1.3026362974,0.7680864305,1.492600946
SRX3686770,-3.7917263935000003,-1.5270692385,0.8292944199000001,1.6681065612000001
SRX3686771,-3.799217424,-1.0084196181,0.8269507469,1.4677296480000002
SRX3686794,-3.0463055301,-1.5320104393,-0.4877026243,0.6556278351
SRX3686796,-2.1423024613,-0.3001223656,-0.2505959922,0.5422056937
SRX3686751,-4.2251942763,-1.3997543691,0.6398971793,1.286833207
SRX3686749,-3.7767399892,-1.3611825734,0.5682153528,1.2878876266
SRX3686750,-4.0127926795,-1.4330157828,0.5480492611000001,1.2611387946
SRX3686778,-4.6178922051,-1.1400514739,0.2912386214,1.0748694439
SRX3686777,-4.5577589063,-1.0955206017,0.5791299633,1.2012892502999999
SRX3686776,-4.4092672736,-1.0726390798,0.6703386135,1.4547104993
SRX3686800,-2.387860389,-0.4364586247,-0.2242017993,0.5361362366
SRX3686801,-2.2945750688,-0.3865055719,-0.2405904113,0.44518642610000003
SRX3686755,-3.3119095874,-1.1211519642,0.2330764056,1.4645377852
SRX3686757,-3.9649047790000003,-1.2925038447000001,0.39554939640000003,1.0742474596
SRX3686756,-3.9467663969,-1.3096730796,0.4162907684,1.241698058
SRX3686784,-4.721578355,-0.9202591084,0.36182912030000003,1.30004293
SRX3686783,-4.388841015,-1.0456740893,0.6523352578,1.5833834828
SRX3686782,-4.3080740034,-1.2895515803,0.7725267899,1.6003549972000002
SRX3686809,-1.8957969215000001,-0.1214478214,-0.27058385220000003,0.3748760537
SRX3686807,-2.3012966073,-0.1840421924,-0.0245359638,0.6689150460000001
SRX3686808,-2.3717286671,-0.2933682023,-0.21799955140000002,0.6166030246
SRX3686787,-1.8370368469,-0.4549012136,-0.1750046851,2.1831393463
SRX3686786,-2.4386831175,-0.4805473357,0.0084221007,2.1826877532
SRX3686785,-2.4423303742,-0.5860442838000001,-0.0698767673,2.3139963362
SRX3686799,-0.8962767313000001,-0.1074870494,-0.5548866252,0.9925498077
SRX3686797,-1.199817991,-0.28163019640000003,-0.3347584598,0.8944572653
SRX3686798,-0.8708109603,-0.0894595014,-0.3721726547,0.9600376911
