,A,pyrR
SRX4498316,0.3947844471,-0.7258363572000001
SRX4498312,0.1245943863,0.0012361652
SRX4498308,0.1000874014,-0.012139848
SRX4498314,-0.0890495812,-0.0061288620000000005
SRX4498310,-0.1356322066,0.0170325448
SRX4498319,1.5912861151,1.2080057056
SRX4498317,1.7996210595000002,1.2376785239
SRX4498311,0.0126411952,0.2974576912
SRX4498315,0.0250771576,-0.0344840503
SRX4498309,-0.43750322900000005,0.1658027785
SRX4498313,0.115089904,0.3103566599
SRX4615568,0.999572722,0.6389314817
SRX4615570,-0.999572722,-0.6389314817
SRX727246,-5.3539265204,-0.3175589783
SRX727243,-5.8050022349,0.4043372576
SRX727247,-4.5728324675,0.9392253538
SRX727244,-4.4934946275,1.4164852916
SRX727245,-3.8203217689,1.1687974825
SRX727248,-3.2070786706,0.6813828539
SRX727249,0.1620528146,-0.0456079166
SRX727251,-0.0307937157,0.0688410453
SRX727250,-0.13125909900000002,-0.0232331287
SRX4498332,1.1023752999,-0.41740723350000003
SRX4498334,0.3453624342,-0.2727174471
SRX4498335,0.2766685332,-0.3290877853
SRX4498337,0.12326025010000001,-0.2070157505
SRX4498324,-0.1511574399,0.0373788933
SRX4498326,0.09462362490000001,-0.012597472
SRX4498328,0.297912461,0.1125632963
SRX4498330,-0.241378646,-0.1373447176
SRX4498336,1.1867554349,-0.7131004344
SRX4498333,0.660441735,-0.44993732940000003
SRX4498338,0.6402160039,-0.5972951602000001
SRX4498329,1.951113725,0.09273349680000001
SRX4498325,2.2351325131,0.14760166060000002
SRX4498327,2.2415014514,0.0415163296
SRX4498331,1.7476006186,0.1728171621
