,A,pyrR
SRX4506080,-2.2452468372,1.3681448369
SRX4506082,-2.4040020453,1.3578312093
SRX4506076,-2.1891175511,1.3663426777
SRX5352221,2.5697474418,0.3848074745
SRX5352223,2.6775693419,0.2136507722
SRX5352222,1.9626880832,0.2832233026
SRX5352229,-0.0251108021,0.7984793366
SRX5352227,-0.1263122056,0.9423702071000001
SRX5352228,-0.4872503133,0.8987015139000001
SRX5352231,5.2323247223,1.4852247213
SRX5352232,4.2468221121,1.2973827527
SRX5352230,4.6354667603,1.4561261048
SRX5352225,1.8936590555000001,-0.67310056
SRX5352224,2.2797358183,-0.7609631085
SRX5352226,1.8839336908000002,-0.768802838
SRX5352220,0.21760352330000002,-0.0353426396
SRX5352219,-0.1999092097,0.0673978149
SRX5352218,-0.0176943136,-0.0320551753
SRX4498228,0.1756342536,-0.12292948070000001
SRX4498224,-0.3153140779,0.2290716085
SRX4498230,0.0180598347,0.1613167109
SRX4498226,-0.3744968503,0.106760216
SRX4498218,-0.0335097842,-0.0945426558
SRX4498216,0.0961407065,-0.11332636880000001
SRX4498220,-0.11718461840000001,0.0874804225
SRX4498222,0.0545536961,0.1203886021
SRX4498225,-0.18783748020000002,0.5250781076000001
SRX4498227,-0.388879674,0.3663501169
SRX4498231,0.07341998050000001,0.1630720201
SRX4498229,-0.3217534824,0.36385862750000003
SRX4498217,-0.7628492134,0.32606063150000003
SRX4498221,-0.5474780137,0.389513098
SRX4498219,-0.5712195893,0.3226828171
SRX4498223,-0.6118180369,0.4250976073
SRX5079928,0.09192930740000001,-0.2546387942
SRX5079930,0.24597353670000002,-0.4831069537
SRX5079929,0.3678821586,-0.4877915544
SRX5079923,0.0951760504,-0.11332036720000001
SRX5079924,0.0753234829,-0.1743765407
SRX5079922,0.1250569429,-0.2191635523
SRX5079920,0.0515349471,0.0370142643
SRX5079921,-0.1119156414,-0.046847464400000004
SRX5079919,0.060380694400000004,0.0098332001
SRX5079926,-0.0939969688,-0.10236331530000001
SRX5079925,0.19044179090000002,-0.2882606484
SRX5079927,0.25104544100000004,-0.16849160300000002
SRX894005,-1.1312786532,-0.016918658200000002
SRX894004,-1.1847213702000001,-0.1913508177
SRX894006,-1.8633932952,0.2558661196
SRX893999,-0.1806506357,0.2278262372
SRX894000,0.2291017972,-0.1186823295
SRX893998,-0.0484511615,-0.1091439077
SRX4647489,-0.0427995948,-0.1026333095
SRX4647490,0.0427995948,0.1026333095
SRX4647492,0.1169679091,0.11834819020000001
SRX4647491,0.3015244543,-0.0466618077
SRX4647496,-0.0063581207,0.06863151420000001
SRX4647495,0.12623528180000002,-0.048054896300000004
SRX4647499,0.11725611420000001,-0.0061094871
SRX4647500,0.1940254501,-0.0710728174
SRX4647493,0.7047657824,-0.2598564946
SRX4647494,0.6734098688,-0.3915100232
SRX4647497,0.13576553,-0.1387560137
SRX4647498,0.2653452541,0.1142143967
SRX4505482,0.057153351500000005,-0.33902107330000003
SRX4505486,0.5222936099000001,-0.39812526
SRX4505484,0.19769109170000002,-0.2638583923
SRX4505473,0.7247778377,-0.5332166514000001
SRX4505476,0.10275652610000001,0.12243132300000001
SRX4505480,0.1816401765,-0.0491052747
SRX4505478,-0.1395931543,-0.13251283120000001
SRX4505474,-0.1448035482,0.059186782900000005
SRX4505483,1.6587054786,-0.051133970300000005
SRX4505485,1.4429057003999999,-0.0953641732
SRX4505487,1.7431075758999999,-0.14937508300000002
SRX4505488,1.6401923823,-0.1776403422
SRX4505481,1.8976424215,0.1781070888
SRX4505477,1.7169421708,0.15658965200000002
SRX4505475,2.092054584,0.3190643588
SRX4505479,1.9255415633,0.0662260132
SRX4605773,-0.0323120428,0.11248082320000001
SRX4605774,-0.1826513378,0.051301783600000005
SRX4605772,0.09396754410000001,-0.1993783691
SRX4605771,-0.09396754410000001,0.1993783691
SRX5178871,-0.2357489469,-0.1027412514
SRX5178872,-0.24180921970000002,-0.044779385000000005
SRX5178868,-0.38238386350000003,-0.0112213117
SRX5178870,0.2534640584,0.1115227433
SRX5178869,0.1289198051,-0.1003014316
ERX1404045,-0.4294086413,0.0475941716
ERX1404046,0.4294086413,-0.0475941716
ERX1404043,0.1131103312,0.189238166
ERX1404044,0.7048878014000001,-0.3526399521
ERX237502,-4.2711816811,-1.7852490096
ERX237505,-2.4142121323,-1.1721742091
ERX237506,-3.7805644456,-1.9470268961000001
ERX237500,-2.8912903703,-4.8032157665
ERX237497,-2.9521479853,-4.4776697883
ERX237499,-1.9331679997000002,-4.0885793154
ERX237507,-0.0846476443,-0.1938840447
ERX237496,0.1349970562,0.1867945318
ERX237504,-0.0503494119,0.007089513
ERX3772318,-0.6399693815,0.2194164731
