,-0.13779344813084174,-0.11659445611071224,-0.09539546409058275,-0.07419647207045325,-0.05299748005032376,-0.031798488030194264,-0.010599496010064768,0.01059949601006474,0.03179848803019422,0.0529974800503237,0.07419647207045321,0.09539546409058272,0.1165944561107122,0.13779344813084168,0.15899244015097122,0.1801914321711007,0.20139042419123018,0.22258941621135966,0.24378840823148915,0.2649874002516187
thresh,-0.0635969760603885,0.0635969760603885,2,,,,,,,,,,,,,,,,,
unreg,2,4,3,4,16,63,1911,1771,53,14,8,5,6,1,5,2,0,0,0,0
pyrR,0,0,0,0,0,0,16,17,1,0,0,0,0,1,2,1,0,0,0,0
unreg_genes,['PE22' 'PPE39'],['Rv3829c' 'PPE36' 'Rv3143' 'moaC3'],['Rv3831' 'spoU' 'bpoA'],['Rv3322c' 'vapC17' 'Rv0826' 'moaX'],[],[],[],[],[],[],"['Rv2658c' 'Rv2478c' 'Rv2159c' 'wag22' 'vapB47' 'Rv0071' 'Rv2818c'
 'Rv2659c']",['vapC47' 'Rv2819c' 'Rv1761c' 'Rv1575' 'Rv2017'],['Rv1762c' 'Rv1574' 'Rv1581c' 'Rv1573' 'Rv1579c' 'Rv1580c'],['Rv1760'],['Rv2077c' 'Rv0072' 'Rv1576c' 'Rv1578c' 'Rv0073'],['Rv1585c' 'Rv1577c'],[],[],[],[]
pyrR_genes,[],[],[],[],[],[],"['lsr2' 'Rv0196' 'sigE' 'rpsO' 'Rv3714c' 'Rv3612c' 'rplB' 'dnaE2' 'rpsR1'
 'phoR' 'esxB' 'umaA' 'Rv0197' 'Rv3202c' 'mce3D' 'Rv1587c']","['espA' 'espD' 'mce3R' 'phoP' 'dnaA' 'dnaN' 'hupB' 'esxA' 'mihF' 'mce3A'
 'mce3B' 'fadD5' 'Rv3613c' 'espC' 'mce3C' 'Rv3660c' 'PPE17']",['lipX'],[],[],[],[],['Rv1582c'],['Rv1584c' 'Rv1583c'],['Rv1586c'],[],[],[],[]
