sample,Rv2042c
SRX3995807,0.1434210189
SRX3995806,0.20842994480000002
SRX3995809,0.4506724937
SRX3995808,0.4646987939
SRX4619048,0.5591724974
SRX4619047,0.569659962
SRX4619049,0.4445969529
SRX4619050,0.5847338976
SRX3995804,0.1734225718
SRX3995805,-0.1734225718
SRX5089845,-0.0526003761
SRX5089844,0.10590402400000001
SRX5089860,0.053690193000000004
SRX5089859,-0.0696931933
SRX5089858,0.0160030003
SRX5089854,1.6976962074
SRX5089853,1.7312725507
SRX5089852,1.6815208345000001
SRX5089856,0.4021748854
SRX5089855,0.2748264731
SRX5089857,0.3581492432
SRX5089868,1.8609351982
SRX5089866,1.9465154934000002
SRX5089867,1.7778123864
SRX5089870,0.38370057090000004
SRX5089869,0.4898543225
SRX5089871,0.4411187533
SRX5089846,1.6399219689
SRX5089848,1.4993879444
SRX5089847,1.5785853697
SRX5089849,0.0096702725
SRX5089850,0.057663523800000005
SRX5089851,0.0888421626
SRX5089863,1.8165266757
SRX5089861,1.8805415481
SRX5089862,1.8668969094
SRX5089865,0.0821499438
SRX5089864,0.0075141653
SRX5388955,-0.09368421860000001
SRX5388957,0.0532911832
SRX5388954,-0.022218872100000002
SRX5388956,0.06261190750000001
SRX5388960,1.7969996113
SRX5388961,2.0160388688
SRX5388959,1.6384650571
SRX5388958,1.8340196355
SRX5388964,1.4842523473
SRX5388965,1.6603200930000002
SRX5388962,1.5352896440000001
SRX5388963,1.5972652029
SRX6889335,0.3956819835
SRX6889333,-0.3956819835
SRX6810002,0.2109844827
SRX6810004,-0.009538553600000001
SRX6810003,-0.2014459291
SRX6810006,0.547616454
SRX6810005,1.0227681
SRX6810007,0.6852397589
ERX1818322,-0.0270007084
ERX1818321,0.0270007084
SRX2617830,0.0692396072
SRX2617831,0.2167749035
SRX2617833,0.7855524292
SRX2617832,0.7433307275000001
SRX2617828,0.1486043625
SRX2617827,-0.1517391494
SRX2617829,0.003134787
SRX3456119,-0.8352613347000001
SRX3456118,-0.2990991483
SRX3456117,-0.7375049186
SRX3456101,0.1622432892
SRX3456099,-0.1197514933
SRX3456100,-0.0424917958
SRX3456107,1.2179082584
SRX3456105,1.7036406539
SRX4374122,0.1618065955
SRX4374121,0.4139069025
SRX4374123,0.1714626405
SRX4374124,0.222826245
SRX4374125,-0.17272578800000002
SRX4374126,-0.0501004569
SRX4374127,0.4818866257
SRX4374128,0.4407584242
SRX4374129,0.0432437965
SRX4374130,0.0816103391
SRX4374132,-0.3193147571
SRX4374131,-0.19029652660000002
SRX4374133,0.19702255700000001
SRX4374135,0.2092802652
SRX4374134,0.3305431291
SRX4374138,-0.6017274777
SRX4374136,-0.29228449230000003
SRX4374137,-0.6041240325
SRX1091379,-0.6344093811
SRX1091380,-0.6790307999999999
SRX1091377,-0.055996022000000006
SRX1091378,0.055996022000000006
SRX4647145,0.0008982927
SRX4647146,-0.1266452253
SRX4647147,-0.1766088585
SRX4647144,-0.0308681046
SRX4647143,0.0017077412
SRX4647142,0.0291603634
SRX4647155,0.3137939527
SRX4647152,0.26789219999999997
SRX4647153,0.2961288097
SRX4647154,0.2108578151
SRX4647148,-0.11825681980000001
SRX4647149,-0.1050755809
SRX4647151,-0.09014644770000001
SRX4647150,-0.0571003223
SRX4647123,-0.008181611
SRX4647124,0.1078030531
SRX4647125,-0.0996214421
SRX3103185,-0.36729163
SRX3103189,-0.16247247850000002
SRX3103187,-0.4855600373
SRX3103184,0.065542748
SRX3103188,-0.08213198640000001
SRX3103186,0.0165892384
SRX1372110,-0.3887748413
SRX1372111,-0.27585628630000003
SRX1372108,-0.1129598267
SRX1372109,0.1129598267
SRX4506085,-0.0078022361
SRX4506083,0.0705368115
SRX4506089,0.0006073459
SRX4506087,-0.0966557375
SRX4506077,-0.038095548
SRX4506079,-0.009759688800000001
SRX4506075,0.0181175679
SRX4506081,0.029737669
SRX4506084,-0.1287023749
SRX4506086,-0.0984461895
SRX4506088,-0.045667748200000004
SRX4506090,0.0443126489
SRX4506078,0.009228408300000001
SRX4506080,0.1381821271
SRX4506082,-0.1530623463
SRX4506076,-0.0385467953
SRX5352221,-0.6289788065
SRX5352223,-0.6131007580000001
SRX5352222,-0.1958484554
SRX5352229,0.8271888911
SRX5352227,0.8102332621
SRX5352228,0.8008614227
SRX5352231,0.2585236351
SRX5352232,0.2762767087
SRX5352230,0.22182048740000002
SRX5352225,-0.7331481702
SRX5352224,-0.5224226499
SRX5352226,-1.0148222436
SRX5352220,0.1652366901
SRX5352219,0.0467250353
SRX5352218,-0.2119617254
SRX4498228,-0.0650177929
SRX4498224,-0.1307646609
SRX4498230,0.0725358274
SRX4498226,0.0580429017
SRX4498218,0.0907140691
SRX4498216,0.0540965003
SRX4498220,-0.0073282652000000005
SRX4498222,-0.1374823041
SRX4498225,-0.6913914082
SRX4498227,-0.5728811683
SRX4498231,-0.6904161884000001
SRX4498229,-0.6636520147
SRX4498217,-0.6321382266000001
SRX4498221,-0.8541491073
SRX4498219,-0.5304286457
SRX4498223,-0.6108336539
SRX5079928,-0.2012609468
SRX5079930,-0.2601606174
SRX5079929,-0.23130031610000001
SRX5079923,-0.2353647915
SRX5079924,-0.2585190711
SRX5079922,-0.31469920690000003
SRX5079920,0.1038761005
SRX5079921,-0.045860212000000004
SRX5079919,-0.0580158885
SRX5079926,-0.19210067120000002
SRX5079925,-0.26293324020000003
SRX5079927,-0.2691201974
SRX894005,-0.7399833113000001
SRX894004,-0.9053404631
SRX894006,-0.4484593096
SRX893999,-0.1554774318
SRX894000,-0.1066423251
SRX893998,0.2621197568
SRX4647489,0.0520779793
SRX4647490,-0.0520779793
SRX4647492,0.2099404373
SRX4647491,0.32155403190000004
SRX4647496,0.1143758374
SRX4647495,0.24267008380000002
SRX4647499,0.3472788019
SRX4647500,0.2016086964
SRX4647493,0.2722044073
SRX4647494,0.3281751034
SRX4647497,0.3515997518
SRX4647498,0.1862536488
SRX4505482,-0.0487702749
SRX4505486,0.0479331168
SRX4505484,0.06496565380000001
SRX4505473,-0.1237510106
SRX4505476,-0.1756499959
SRX4505480,0.046679815
SRX4505478,0.25509160740000003
SRX4505474,-0.1261214266
SRX4505483,0.7106468218
SRX4505485,0.7532449471
SRX4505487,0.8972276377
SRX4505488,0.7636390173000001
SRX4505481,1.045609046
SRX4505477,0.8914404289000001
SRX4505475,0.9360602139
SRX4505479,0.8714383632
SRX4605773,0.2159338787
SRX4605774,0.0535887174
SRX4605772,-0.0371283781
SRX4605771,0.0371283781
SRX5178871,0.0041761588
SRX5178872,0.1115185555
SRX5178868,-0.0669304782
SRX5178870,0.0585578936
SRX5178869,0.0083725847
ERX1404045,-0.050235402400000004
ERX1404046,0.050235402400000004
ERX1404043,-0.2532781024
ERX1404044,-0.09392529150000001
ERX237502,-1.7685763321999999
ERX237505,-0.9557308670000001
ERX237506,-1.7392719734000002
ERX237500,-1.2203525641
ERX237497,-1.3384643429
ERX237499,-0.3937142208
ERX237507,0.5460092014
ERX237496,-0.1926850635
ERX237504,-0.3533241379
