,-0.1278873406395906,-0.08525822709306038,-0.04262911354653018,2.7755575615628914e-17,0.042629113546530234,0.08525822709306044,0.12788734063959065,0.17051645418612085,0.21314556773265106,0.25577468127918124,0.29840379482571144,0.34103290837224165,0.38366202191877186,0.42629113546530206,0.46892024901183227,0.5115493625583625,0.5541784761048927,0.5968075896514229,0.6394367031979531,0.6820658167444833
thresh,-0.1065727838663255,0.1065727838663255,1,,,,,,,,,,,,,,,,,
unreg,2,4,128,3630,135,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
unreg_genes,['Rv1116' 'Rv1954c'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv0378'],[],[],[]
