sample,Rv1301
SRX3995807,-0.1087685038
SRX3995806,0.1696110478
SRX3995809,-0.24052822170000002
SRX3995808,0.4846349482
SRX4619048,-0.1202844306
SRX4619047,0.4022263331
SRX4619049,0.36012335370000004
SRX4619050,-0.1532233289
SRX3995804,-0.1649373336
SRX3995805,0.1649373336
SRX5089845,0.39805875830000004
SRX5089844,0.34006187400000004
SRX5089860,-0.1313168627
SRX5089859,0.0258394017
SRX5089858,0.10547746100000001
SRX5089854,-0.08498586400000001
SRX5089853,0.0117301822
SRX5089852,-0.042206958600000004
SRX5089856,0.3197340286
SRX5089855,0.16296445040000002
SRX5089857,0.1622512888
SRX5089868,0.2917427972
SRX5089866,0.0684195969
SRX5089867,0.21831612320000002
SRX5089870,0.2096571106
SRX5089869,0.24327285810000002
SRX5089871,-0.1005982817
SRX5089846,-0.4889786739
SRX5089848,-0.4372401085
SRX5089847,-0.5658411954
SRX5089849,0.2013035834
SRX5089850,0.3289750805
SRX5089851,0.1307545102
SRX5089863,-0.1121860843
SRX5089861,-0.0076990095
SRX5089862,-0.0194755391
SRX5089865,0.1448169057
SRX5089864,0.2922994761
SRX5388955,0.048183992200000005
SRX5388957,0.0021926790000000003
SRX5388954,0.0434635115
SRX5388956,-0.0938401827
SRX5388960,0.3966759467
SRX5388961,0.2449273919
SRX5388959,0.40455471
SRX5388958,0.3056168903
SRX5388964,0.1366011043
SRX5388965,0.1519150513
SRX5388962,0.049813486000000004
SRX5388963,0.036980667700000004
SRX6889335,0.3485663994
SRX6889333,-0.3485663994
SRX6810002,0.09143694050000001
SRX6810004,-0.0150950513
SRX6810003,-0.0763418892
SRX6810006,0.6436320947
SRX6810005,0.7311591688
SRX6810007,0.6045351712
ERX1818322,0.0221941405
ERX1818321,-0.0221941405
SRX2617830,0.044347973900000004
SRX2617831,-0.0598420853
SRX2617833,-0.22575281260000002
SRX2617832,-0.273274782
SRX2617828,-0.0606849792
SRX2617827,-0.0574160635
SRX2617829,0.1181010428
SRX3456119,-0.0222563897
SRX3456118,0.2029555968
SRX3456117,0.3774423078
SRX3456101,0.0748554963
SRX3456099,-0.07615996530000001
SRX3456100,0.0013044689000000001
SRX3456107,2.1768984274
SRX3456105,2.1151831951
SRX4374122,0.21460197760000002
SRX4374121,0.085852777
SRX4374123,0.008092720900000001
SRX4374124,0.21839441910000001
SRX4374125,-0.1308746349
SRX4374126,-0.0875197842
SRX4374127,0.5012945602000001
SRX4374128,0.41698936950000004
SRX4374129,0.0182683469
SRX4374130,0.3787226024
SRX4374132,-0.1387007784
SRX4374131,-0.048800875
SRX4374133,0.4563376049
SRX4374135,-0.0226502084
SRX4374134,0.2420785063
SRX4374138,0.1661137432
SRX4374136,0.4769196411
SRX4374137,0.1535818754
SRX1091379,0.46177605250000003
SRX1091380,0.4401617781
SRX1091377,-0.030534990100000003
SRX1091378,0.030534990100000003
SRX4647145,0.0230978831
SRX4647146,-0.11414740200000001
SRX4647147,-0.07175652860000001
SRX4647144,-0.0307162498
SRX4647143,-0.0060546246
SRX4647142,0.0367708744
SRX4647155,0.0237255603
SRX4647152,0.0138999793
SRX4647153,0.051549782
SRX4647154,-0.058809847400000004
SRX4647148,-0.0731473361
SRX4647149,-0.0666197698
SRX4647151,-0.044806111100000004
SRX4647150,0.0348225709
SRX4647123,-0.1350988229
SRX4647124,0.09167993960000001
SRX4647125,0.043418883400000004
SRX3103185,-0.0762142762
SRX3103189,-0.4442395266
SRX3103187,0.1411632273
SRX3103184,-0.1342077779
SRX3103188,-0.0293173532
SRX3103186,0.16352513100000002
SRX1372110,-0.41309063490000003
