sample,Rv0377
SRX3995807,-0.044434041
SRX3995806,0.5461342443
SRX3995809,0.6131217436
SRX3995808,1.0460382486
SRX4619048,0.35992255230000003
SRX4619047,0.9193540588
SRX4619049,0.5095800783000001
SRX4619050,0.656763632
SRX3995804,0.2230050292
SRX3995805,-0.2230050292
SRX5089845,0.5678531557000001
SRX5089844,0.3112700507
SRX5089860,0.0103195183
SRX5089859,-0.0009279843000000001
SRX5089858,-0.0093915341
SRX5089854,1.4997843041
SRX5089853,1.3060429466999999
SRX5089852,1.2812778117999999
SRX5089856,0.4767989494
SRX5089855,0.3885444145
SRX5089857,0.6091852745
SRX5089868,1.1104574276
SRX5089866,1.1355620857
SRX5089867,1.0827357401
SRX5089870,0.2104898422
SRX5089869,0.2751875252
SRX5089871,0.269380047
SRX5089846,0.8338207922
SRX5089848,0.9336402441
SRX5089847,0.8990101579
SRX5089849,0.1981580167
SRX5089850,0.47833394220000003
SRX5089851,0.5565608805
SRX5089863,1.0251486722
SRX5089861,0.8918153464
SRX5089862,0.9924951358
SRX5089865,0.3151605958
SRX5089864,0.1382394057
SRX5388955,-0.0714422625
SRX5388957,-0.084808649
SRX5388954,0.1273421835
SRX5388956,0.0289087279
SRX5388960,0.8801383284000001
SRX5388961,1.0079170615
SRX5388959,0.9093578956
SRX5388958,0.8098624555
SRX5388964,0.5457718987
SRX5388965,0.7927403085
SRX5388962,0.6557430846
SRX5388963,0.5758643921000001
SRX6889335,0.37185850810000004
SRX6889333,-0.37185850810000004
SRX6810002,-0.0197037624
SRX6810004,0.1002165832
SRX6810003,-0.08051282080000001
SRX6810006,0.5422244995000001
SRX6810005,0.3309172181
SRX6810007,0.4917673007
ERX1818322,-0.0659238098
ERX1818321,0.0659238098
SRX2617830,-0.1353404236
SRX2617831,-0.0507745764
SRX2617833,-0.0981648677
SRX2617832,0.10419612360000001
SRX2617828,0.13800966350000002
SRX2617827,0.1480100189
SRX2617829,-0.28601968240000003
SRX3456119,0.2033038108
SRX3456118,-0.5317570063
SRX3456117,-0.5839572165
SRX3456101,0.1649256224
SRX3456099,-0.052270793100000004
SRX3456100,-0.11265482930000001
SRX3456107,2.1078623257
SRX3456105,2.4110914003
SRX4374122,0.3491402637
SRX4374121,0.27796748190000004
SRX4374123,0.1881266398
SRX4374124,-0.0342746624
SRX4374125,0.0654528633
SRX4374126,-0.031178201000000003
SRX4374127,-0.015141678300000001
SRX4374128,0.0929890604
SRX4374129,-0.46657531
SRX4374130,-0.43802832220000004
SRX4374132,-0.7720547689
SRX4374131,-0.6449847227000001
SRX4374133,0.0586095105
SRX4374135,-0.2497330664
SRX4374134,0.0022830564
SRX4374138,-1.182422997
SRX4374136,-0.6209812178
SRX4374137,-0.7842024367
SRX1091379,-0.050467283
SRX1091380,0.08560065950000001
SRX1091377,-0.0091249159
SRX1091378,0.0091249159
SRX4647145,-0.1503093849
SRX4647146,-0.2123011397
SRX4647147,-0.1413637674
SRX4647144,-0.0822897996
SRX4647143,0.0969498609
SRX4647142,-0.0146600613
SRX4647155,-1.1553292499
SRX4647152,-0.9633483266
SRX4647153,-1.1078863544
SRX4647154,-1.4519579963
SRX4647148,-1.1495205311
SRX4647149,-1.1045013482
SRX4647151,-1.0508556535
SRX4647150,-1.0668789048
SRX4647123,0.1025779909
SRX4647124,0.1917597093
SRX4647125,-0.2943377002
SRX3103185,-0.33247309540000003
SRX3103189,-0.2499537668
SRX3103187,-0.3249078342
SRX3103184,-0.2834231996
SRX3103188,0.24602305030000002
SRX3103186,0.037400149300000005
SRX1372110,-0.5593376073
SRX1372111,-0.5848971301
SRX1372108,0.048007538100000004
SRX1372109,-0.048007538100000004
SRX4506085,0.0500795595
SRX4506083,-0.0054961243
SRX4506089,0.0401573174
SRX4506087,0.0428201171
SRX4506077,0.0506110958
SRX4506079,-0.0602713635
SRX4506075,-0.0179000131
SRX4506081,0.0275602808
SRX4506084,-0.7173495275
SRX4506086,-0.9829897022
SRX4506088,-0.7091976642000001
SRX4506090,-0.8601777471000001
SRX4506078,-0.8658650608
SRX4506080,-1.1795800118
SRX4506082,-0.7349990682
SRX4506076,-0.7609306428
SRX5352221,1.0703229489
SRX5352223,0.8266464225
SRX5352222,0.7468029810000001
SRX5352229,-0.37353012680000003
SRX5352227,-0.37333501950000003
SRX5352228,-0.4140463654
SRX5352231,0.7606623649
SRX5352232,1.1765360993
SRX5352230,0.8045710174
SRX5352225,0.49277918140000004
SRX5352224,0.5286535188
SRX5352226,0.2038279064
SRX5352220,0.0413596147
SRX5352219,-0.021813917500000002
SRX5352218,-0.0195456972
SRX4498228,-0.029101437100000002
SRX4498224,-0.2200405483
SRX4498230,-0.0675969034
SRX4498226,-0.0031020549000000002
SRX4498218,0.0093348988
SRX4498216,-0.1003929268
SRX4498220,0.0183661148
SRX4498222,0.0726919132
SRX4498225,-0.2436919387
SRX4498227,-0.68420208
SRX4498231,-0.4782818823
SRX4498229,-0.2492376212
SRX4498217,-0.2472042489
SRX4498221,-0.43495501000000003
SRX4498219,-0.1377512286
SRX4498223,-0.3414115962
SRX5079928,-0.2305648267
SRX5079930,-0.3992797554
SRX5079929,-0.3179413189
SRX5079923,-0.2258371664
SRX5079924,-0.3913030554
SRX5079922,-0.3800424308
SRX5079920,0.0375620465
SRX5079921,0.07075856650000001
SRX5079919,-0.10832061300000001
SRX5079926,-0.059766575100000004
SRX5079925,-0.1385565074
SRX5079927,-0.1664933644
SRX894005,-0.060257429800000005
SRX894004,0.278193161
SRX894006,-0.4791898359
SRX893999,0.0041602463
SRX894000,0.2003366234
SRX893998,-0.2044968697
SRX4647489,0.0265583016
SRX4647490,-0.0265583016
SRX4647492,-0.058116118700000004
