,-0.048387507499459664,0.0,0.048387507499459664,0.09677501499891933,0.145162522498379,0.19355002999783866,0.24193753749729832,0.29032504499675804,0.3387125524962177,0.3871000599956773,0.43548756749513695,0.4838750749945967,0.5322625824940563,0.580650089993516,0.6290375974929757,0.6774251049924354,0.725812612491895,0.7742001199913546,0.8225876274908143,0.870975134990274
thresh,-0.0725812612491895,0.0725812612491895,1,,,,,,,,,,,,,,,,,
unreg,79,3719,99,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['Rv1051c' 'Rv2654c' 'Rv2451' 'Rv0601c' 'Rv2661c' 'Rv1228a' 'Rv1805c'],[],['Rv2706c'],[],[],[],[],[],[],['Rv2660c'],[],[],[],[],[],[],[]
