,A,whiB1
R2,,0.1537714390879118
xmin,,-2.3929568056
xmid,,
xmax,,2.0989623427
ystart,,-12.107636867729138
yend,,8.48840260505707
SRX3995807,-5.9907169864,0.6496356158000001
SRX3995806,-5.6315937317,0.038013698400000004
SRX3995809,-5.0545534222,0.38767668250000004
SRX3995808,-6.7626570138,-0.3636911265
SRX4619048,-6.1474339743,0.367846783
SRX4619047,-7.0347838789,-0.2340986209
SRX4619049,-6.2880389547,0.1111340153
SRX4619050,-4.8645510108,0.2437005724
SRX3995804,-2.2136736353,0.14841447300000002
SRX3995805,2.2136736353,-0.14841447300000002
SRX5089845,1.7620092482,0.8369404317
SRX5089844,1.0718521836,0.5845261723
SRX5089860,0.0037040135,0.020084456900000002
SRX5089859,-0.6881998973,-0.057718181
SRX5089858,0.6844958838,0.0376337241
SRX5089854,-17.6546189496,-0.3857842168
SRX5089853,-17.9733254224,-0.4350082295
SRX5089852,-18.1514789756,-0.17198197710000002
SRX5089856,4.350935722,0.5673839563
SRX5089855,4.8520524773,0.6663553046
SRX5089857,4.340926992,0.5225656351
SRX5089868,-16.6519338328,-0.6854268719000001
SRX5089866,-19.9223680405,-1.041395804
SRX5089867,-17.7467188897,-0.9766333257
SRX5089870,3.117782929,0.3685411434
SRX5089869,3.1471838813,0.23747311880000002
SRX5089871,1.5052521262,0.42278246880000003
SRX5089846,-19.9779332605,0.3010385922
SRX5089848,-17.2702467732,0.3594859168
SRX5089847,-19.8719954275,-0.1127051312
SRX5089849,9.0092302527,0.9477821617000001
SRX5089850,7.002480041,0.7628892841
SRX5089851,6.8578562621,0.9940121623
SRX5089863,-19.8793697898,-0.3932435567
SRX5089861,-20.3664143098,-0.4364979658
SRX5089862,-19.6196330891,-0.2738373918
SRX5089865,6.7152435346,0.39981518050000003
SRX5089864,6.6608858698999995,0.5426062006
SRX5388955,1.1442590505,-0.08488246790000001
SRX5388957,0.0617043523,0.0479561625
SRX5388954,-0.5022451582,-0.0211836974
SRX5388956,-0.7037182445,0.058110002800000005
SRX5388960,-30.705733777,-1.7048449938
SRX5388961,-31.7215503132,-1.8431175762
SRX5388959,-30.6032894228,-1.739308549
SRX5388958,-29.7137947485,-1.6725052684000001
SRX5388964,-8.967215864,0.0298019323
SRX5388965,-11.0118349309,-0.0873973146
SRX5388962,-9.6257385905,-0.0346167615
SRX5388963,-9.3430953478,-0.021052316800000002
SRX6889335,-1.8418521229,-0.0667977101
SRX6889333,1.8418521229,0.0667977101
SRX6810002,-0.0465355207,-0.2756813195
SRX6810004,0.0357826631,-0.1698832455
SRX6810003,0.0107528576,0.4455645649
SRX6810006,-5.9581265486,-0.2515462958
SRX6810005,-4.3533342158,-0.8200861825
SRX6810007,-6.4712540458,-0.056432487600000004
ERX1818322,-0.8025406111000001,-0.1973791228
ERX1818321,0.8025406111000001,0.1973791228
SRX2617830,-2.3461613392,0.0460242391
SRX2617831,-2.691203393,-0.0032106745
SRX2617833,-6.793566026,-0.029957041
SRX2617832,-7.4300056953,-0.1575099253
SRX2617828,0.0190209418,-0.06897749140000001
SRX2617827,-0.269795944,-0.0314348741
SRX2617829,0.2507750022,0.1004123655
SRX3456119,-0.7116807336000001,-0.0780760669
SRX3456118,-0.8431412182,0.12292311310000001
SRX3456117,-1.3855049492,0.0768730644
SRX3456101,-0.5598614508,0.024581346100000002
SRX3456099,-0.3916512554,-0.052101945000000004
SRX3456100,0.9515127063000001,0.027520598900000002
SRX3456107,6.7022749015,0.7437146910000001
SRX3456105,6.8622189878,0.8795790792
SRX4374122,-6.4153019571,-0.4921904439
SRX4374121,-5.4347439389,-0.3200901191
SRX4374123,-3.6517828845,-0.40425830770000004
SRX4374124,0.188870535,0.039238637800000004
SRX4374125,-0.1824811714,0.1271964446
SRX4374126,-0.0063893636000000005,-0.16643508240000002
SRX4374127,1.1538470516000001,0.1848101493
SRX4374128,-1.3190363032999999,0.4807018737
SRX4374129,3.1635111153,0.32835328410000003
SRX4374130,2.2957341563,0.6495798333
SRX4374132,4.013652509,0.5294314474
SRX4374131,2.8905025048,1.1661165124
SRX4374133,-2.4794857081,0.5576494746
SRX4374135,0.0388293888,0.0956610298
SRX4374134,-2.3850419353,0.4096066915
SRX4374138,8.9408345909,0.45390731840000004
SRX4374136,7.0104090636,0.5316645115
SRX4374137,7.8166337936,0.6345735889
SRX1091379,-0.083923287,1.0641573595
SRX1091380,0.11091258500000001,1.0954362527
SRX1091377,0.0294811504,-0.0038330316
SRX1091378,-0.0294811504,0.0038330316
SRX4647145,0.1827296598,-0.0326882718
SRX4647146,0.3710318544,0.0526899503
SRX4647147,0.2337579085,-0.0335381568
SRX4647144,0.1628843237,-0.0133297069
SRX4647143,0.0273011279,0.031520137000000004
SRX4647142,-0.1901854517,-0.018190430100000002
SRX4647155,3.4049902637000002,0.2949369523
SRX4647152,3.099108493,0.0495244787
SRX4647153,3.1413950379,0.1354324889
SRX4647154,4.8224859941,0.5179746780000001
SRX4647148,7.0052920058,0.2893259293
SRX4647149,6.8374385021,0.3283301534
SRX4647151,6.5059529177,0.2945976528
SRX4647150,6.8306044142,0.2893917445
SRX4647123,-0.2245340422,-0.0649083823
SRX4647124,-0.08695150160000001,0.1245348325
SRX4647125,0.3114855438,-0.0596264502
SRX3103185,-0.5364119696,0.6433171116
SRX3103189,-1.7913875958,0.6132595643000001
SRX3103187,5.0600026558,-0.0122828151
SRX3103184,-0.8843149452,0.2698903359
SRX3103188,-1.4245362351,-0.16813242790000002
SRX3103186,2.3088511803,-0.10175790800000001
SRX1372110,-0.13653513650000002,0.2161382157
SRX1372111,-1.1537353617,-0.2130364221
SRX1372108,0.8991916148,-0.161567707
SRX1372109,-0.8991916148,0.161567707
SRX4506085,-0.2174245891,-0.0555031431
SRX4506083,-0.1911694891,-0.0321676153
SRX4506089,-0.0401994722,-0.1195200248
SRX4506087,-0.2903463109,-0.1652173189
SRX4506077,-0.7384063362000001,0.0928619229
SRX4506079,0.2231780219,-0.0601512707
SRX4506075,0.2985862631,0.0517534367
SRX4506081,0.2166420511,-0.0844640889
SRX4506084,7.4913502096,0.1387332896
SRX4506086,7.3187027972,0.2284010266
SRX4506088,8.0445473079,0.0866733675
SRX4506090,8.3782291528,-0.0889900648
SRX4506078,8.3025516197,0.24910075780000002
SRX4506080,8.278734096600001,0.3293602318
SRX4506082,8.687077594,0.2168679584
SRX4506076,7.7502721316,0.38659392000000004
SRX5352221,0.3096759988,0.0282404037
SRX5352223,0.2726632066,0.0166691323
SRX5352222,-2.1483496171,0.10798844860000001
SRX5352229,0.5726646447,0.0717280071
SRX5352227,0.7694022859,0.2717060478
SRX5352228,0.2581786101,0.1130448817
SRX5352231,10.7047259245,1.0128079873
SRX5352232,9.8548815914,0.8628139079
SRX5352230,12.2590051701,0.9902062912
SRX5352225,0.3244296989,-1.0076735528
SRX5352224,1.7555189482,-0.9780891355
SRX5352226,1.3541225821,-0.9180425784
SRX5352220,-0.4299722132,0.0790727112
SRX5352219,0.14243556670000002,-0.031238655900000002
SRX5352218,0.2875366465,-0.0478340554
SRX4498228,-1.5240238729,0.0996989554
SRX4498224,-1.3326914801,0.24030159180000002
SRX4498230,-1.2464787759,0.0460401567
SRX4498226,-1.0939711326000001,0.09613895160000001
SRX4498218,0.5213437263,0.015620603200000001
SRX4498216,-0.12697050840000002,-0.17067732100000002
SRX4498220,-0.2043657384,0.0413392124
SRX4498222,-0.19000747950000002,0.11371750530000001
SRX4498225,3.4537865087,0.1738743738
SRX4498227,3.5961784777,0.041044062900000004
SRX4498231,4.0657862156,0.0843868116
SRX4498229,3.9561395126,0.2165434256
SRX4498217,3.4958361913,0.0729115781
SRX4498221,2.7413771946,0.08667536
SRX4498219,2.8699678054,0.0957443033
SRX4498223,2.5326435634999998,0.06402151610000001
SRX5079928,4.8023956708,0.37755432310000003
SRX5079930,5.5935295509,0.4409476539
SRX5079929,4.8058783492,0.5236393195
SRX5079923,2.5074155717,0.6651234921
SRX5079924,4.2443550599,0.6400702326000001
SRX5079922,2.3639760032,0.6313365851
SRX5079920,-0.3276586019,-0.038973156200000005
SRX5079921,1.5172521063,-0.0358569451
SRX5079919,-1.1895935044,0.0748301014
SRX5079926,2.5996413804,0.4998525794
SRX5079925,3.1218854102,0.6400181388
SRX5079927,3.33815785,0.5372771128
SRX894005,-10.8200232935,-1.7961186109
SRX894004,-11.1479529047,-1.7890200504
SRX894006,-11.312450059,-1.7943408858
SRX893999,-1.2956041936,0.1280596537
SRX894000,-0.0716556768,-0.2268189817
SRX893998,1.3672598703,0.09875932800000001
SRX4647489,0.0893888137,-0.0113579748
SRX4647490,-0.0893888137,0.0113579748
SRX4647492,-0.6128005607,-0.0445112095
SRX4647491,-0.3569687002,-0.029085425300000002
SRX4647496,0.378226098,0.0139681374
