,-0.06138362547273364,-0.049106900378186914,-0.03683017528364019,-0.02455345018909346,-0.012276725094546734,-6.938893903907228e-18,0.01227672509454672,0.024553450189093454,0.036830175283640174,0.04910690037818689,0.06138362547273363,0.07366035056728036,0.08593707566182708,0.0982138007563738,0.11049052585092055,0.12276725094546727,0.135043976040014,0.1473207011345607,0.15959742622910744,0.1718741513236542
thresh,-0.067521988020007,0.067521988020007,2,,,,,,,,,,,,,,,,,
unreg,1,2,28,209,1049,1623,717,153,31,22,13,9,3,1,0,0,0,0,0,0
whiB1,0,0,0,0,1,10,2,5,6,1,1,0,3,6,3,0,5,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['Rv3921c' 'rplN' 'rplJ' 'rplQ' 'Rv3920c' 'rpsD' 'rpoA' 'rpsM' 'rpoB'],['rpsK' 'rplL' 'rpoC'],['rpsJ'],[],[],[],[],[],[]
whiB1_genes,[],[],[],[],['Rv0634c'],"['Rv0998' 'ppsD' 'drrC' 'Rv0996' 'Rv3463' 'cyp121' 'rsbW' 'papA5' 'phoP'
 'panB']",['hemB' 'Rv0514'],['drrB' 'Rv0513' 'usfY' 'PE12' 'drrA'],['ppsE' 'greA' 'hadC' 'hadB' 'pepR' 'rpmG2'],['hadA'],['rpmJ'],[],['rplO' 'rplF' 'rplX'],['rpsE' 'rplR' 'rplE' 'rpsN1' 'rplC' 'rpmD'],['rpsH' 'rplD' 'rpsQ'],[],['rpmC' 'rplP' 'rplW' 'rplB' 'rpsC'],['rplV' 'rpsS'],[],[]
