sample,Rv2850c
SRX3995807,0.2747619656
SRX3995806,0.7390832291
SRX3995809,0.3624055424
SRX3995808,1.1444872492
SRX4619048,0.3616100639
SRX4619047,1.0892999368
SRX4619049,0.9809949101000001
SRX4619050,0.5609007926
SRX3995804,0.0932340046
SRX3995805,-0.0932340046
SRX5089845,-0.2921452513
SRX5089844,-0.12099047240000001
SRX5089860,-0.0274299364
SRX5089859,0.043560521000000005
SRX5089858,-0.0161305846
SRX5089854,0.5345512862
SRX5089853,0.6097157251
SRX5089852,0.5578049516
SRX5089856,0.3641050301
SRX5089855,0.2642091911
SRX5089857,0.2633743552
SRX5089868,1.0382529803
SRX5089866,0.9715514008
SRX5089867,1.0078782739
SRX5089870,0.3234869516
SRX5089869,0.0586874137
SRX5089871,0.1710441
SRX5089846,0.7109270265000001
SRX5089848,0.3635093363
SRX5089847,0.6817181004
SRX5089849,0.0021089138000000003
SRX5089850,0.3422524444
SRX5089851,0.019728761
SRX5089863,1.1637930658
SRX5089861,0.9705433709000001
SRX5089862,1.0639522043
SRX5089865,0.305200647
SRX5089864,-0.0105578974
SRX5388955,0.029737289200000003
SRX5388957,-0.0992366939
SRX5388954,0.0358583226
SRX5388956,0.033641082100000004
SRX5388960,1.6380370565
SRX5388961,1.5511533699
SRX5388959,1.6700319266
SRX5388958,1.7649258000999999
SRX5388964,0.5203220845000001
SRX5388965,0.5906489456
SRX5388962,0.3746231846
SRX5388963,0.41864232770000004
SRX6889335,0.0722607264
SRX6889333,-0.0722607264
SRX6810002,-0.1028329033
SRX6810004,-0.12649263560000001
SRX6810003,0.22932553890000001
SRX6810006,0.8361108793
SRX6810005,0.5218427326
SRX6810007,0.8863125293
ERX1818322,0.002457285
ERX1818321,-0.002457285
SRX2617830,-0.6991265039
SRX2617831,-0.5153855486
SRX2617833,-0.6275932272
SRX2617832,-0.3310534083
SRX2617828,0.0730192038
SRX2617827,0.1994524397
SRX2617829,-0.2724716435
SRX3456119,-0.034451476700000004
SRX3456118,-0.3095304998
SRX3456117,-0.1125537202
SRX3456101,-0.0081776603
SRX3456099,-0.0139017149
SRX3456100,0.022079375300000002
SRX3456107,2.2802623619
SRX3456105,2.2515516936
SRX4374122,0.4843386952
SRX4374121,0.5368330703
SRX4374123,0.3268054809
SRX4374124,0.0468879201
SRX4374125,-0.0875408154
SRX4374126,0.0406528953
SRX4374127,0.403664044
SRX4374128,0.7138806461
SRX4374129,0.056744109300000005
SRX4374130,0.17247731160000002
SRX4374132,-0.127377558
SRX4374131,0.2561580136
SRX4374133,0.5536371513
SRX4374135,0.1044964518
SRX4374134,0.6511638485
SRX4374138,-0.50696812
SRX4374136,-0.3442366055
SRX4374137,-0.40369021720000003
SRX1091379,-0.038569127
SRX1091380,-0.0029978591000000003
SRX1091377,0.0099823458
SRX1091378,-0.0099823458
SRX4647145,0.010545751
SRX4647146,-0.1393155631
SRX4647147,-0.0349032113
SRX4647144,-0.0249604772
SRX4647143,-0.0034108374
SRX4647142,0.028371314600000003
SRX4647155,0.1005486449
SRX4647152,0.3356036162
SRX4647153,0.2886432396
SRX4647154,-0.1551458964
SRX4647148,0.00022000670000000002
SRX4647149,0.0010553393
SRX4647151,0.0089018847
SRX4647150,0.0835559181
SRX4647123,-0.0572832078
SRX4647124,-0.0378396518
SRX4647125,0.0951228596
SRX3103185,0.15009187000000002
SRX3103189,-0.3621387286
SRX3103187,0.20168431480000001
SRX3103184,-0.0907114848
SRX3103188,-0.0611559403
SRX3103186,0.151867425
SRX1372110,-0.0102253073
SRX1372111,0.10061151110000001
SRX1372108,-0.10838303810000001
SRX1372109,0.10838303810000001
SRX4506085,0.02323499
SRX4506083,0.0744102439
SRX4506089,0.1169144455
SRX4506087,0.1230785164
SRX4506077,-0.0485757202
SRX4506079,0.1385749383
SRX4506075,-0.1969514909
SRX4506081,0.1069522729
SRX4506084,-0.1833853682
SRX4506086,-0.0794644999
SRX4506088,-0.0677178469
SRX4506090,0.046307413000000006
SRX4506078,0.12293949300000001
SRX4506080,0.0166442334
SRX4506082,0.008598062
SRX4506076,-0.0092766709
SRX5352221,0.6399251325
SRX5352223,0.6653763778
SRX5352222,0.48346517240000003
SRX5352229,0.31920360600000003
SRX5352227,0.2017953072
SRX5352228,0.2729210025
