,A,fasR
SRX4314335,-3.7799914337000002,-1.1328401845
SRX4314334,-4.7264353348,-0.9552940388000001
SRX4314333,-4.3080603773,-1.2744261284
SRX4314338,-4.5211496878,-1.0887067257
SRX4314336,-5.0652578005,-1.154181091
SRX4314337,-5.3365076766,-1.2157033291000001
SRX4314339,-4.7501145942,-1.2751796002
SRX4314340,-5.5971289686,-1.1293490306
SRX4314341,-4.6550948241,-1.1970843112
SRX3686762,1.9022093829000002,0.4673477998
SRX3686763,1.5793536744,0.552814934
SRX3686761,0.9896728219,0.6159743005
SRX3686765,0.2939907956,0.1428293178
SRX3686769,-0.2497893182,0.2354357627
SRX3686766,-0.2668892751,0.1966886581
SRX3686768,-0.2886160747,0.292253806
SRX3686764,0.0329342616,0.18485924280000002
SRX3686767,-0.0323607761,0.2419002594
SRX3686788,0.3965800984,0.015778097300000002
SRX3686791,0.030999872300000002,0.019854347600000002
SRX3686792,0.34286079210000003,0.0157399264
SRX3686793,-0.4350482257,0.1334403879
SRX3686790,-0.5502157685,-0.0812244857
SRX3686789,0.2148232313,-0.1035882734
SRX3686829,2.8895031611,0.4132665935
SRX3686830,3.4329110401,0.5214853072
SRX3686828,3.3737541535,0.4305615291
SRX3686819,-2.7286504083,0.6059487744000001
SRX3686818,-2.8577793041,0.6369745944
SRX3686817,-2.7987296055,0.621646515
SRX3686822,-2.4354378906,-0.0349738141
SRX3686820,-1.6831675114,0.09069399700000001
SRX3686821,-1.8811056129,0.016010307300000002
SRX3686743,-0.17666174070000001,0.8187529642
SRX3686744,-0.7295277967,0.7022165357
SRX3686745,-0.5066728944000001,0.7337669231
SRX3686772,-0.5334706399,0.33405615510000003
SRX3686770,-2.4739809223,0.6025719098
SRX3686771,-2.1468216423,0.48153450200000003
SRX3686794,1.2600674117000001,0.40834151890000003
SRX3686796,0.39911108630000003,0.517355714
SRX3686751,-0.0384699405,0.66217605
SRX3686749,0.5654464241,0.5460084499
SRX3686750,-0.3823655629,0.6867536098
SRX3686778,0.6490179134,0.42476689910000004
SRX3686777,-0.3088842564,0.40065063980000004
SRX3686776,-2.0518577304,0.5237174489
SRX3686800,0.9410428311000001,0.46128735810000004
SRX3686801,0.8849147801,0.4939206913
SRX3686755,1.3853201265,0.6338789489000001
SRX3686757,0.8238841847,0.5031454266000001
SRX3686756,0.0906675229,0.5831323651
SRX3686784,0.0030080890000000002,0.3979970056
SRX3686783,-0.8933133634,0.34124841040000004
SRX3686782,-1.7177077299999999,0.512415721
SRX3686809,0.9095331567,0.4369048683
SRX3686807,1.3122608689,0.4473809791
SRX3686808,0.5866200302,0.42839687120000003
SRX3686787,0.6134862045,-0.1497317503
SRX3686786,0.38837554290000004,-0.1681020839
SRX3686785,0.722731377,-0.29572633470000004
SRX3686799,1.0026774027,0.1330405928
SRX3686797,1.4264122478,0.2140053896
SRX3686798,1.1903211046,0.2947646819
SRX3686746,-0.640940897,0.6057918249
SRX3686748,-0.4555123425,0.5875201941
SRX3686747,-0.8826311948000001,0.5903749741000001
SRX3686773,-0.6089547988,0.195488028
SRX3686774,-1.0227562046,0.1513959216
SRX3686775,0.3204835113,0.1592758542
SRX3686754,-0.4456857416,0.32713040190000003
SRX3686753,-0.439592421,0.3992673847
SRX3686752,-0.14441016110000002,0.30624199480000003
SRX3686780,1.1037033164,0.1056849368
SRX3686779,0.0714635232,0.1416944228
SRX3686781,0.7949418929000001,0.1710882987
SRX3686806,1.4785769361,-0.0005901014
SRX3686805,2.0088867188,0.0046292276
SRX3686758,0.3971054015,-0.0385344532
SRX3686760,0.5047373928000001,0.0410690457
SRX3686759,0.5783266467,-0.0420704804
SRX3686810,2.2580796089,-0.2042518047
SRX3686811,0.8905913409,-0.1627471678
SRX3686812,1.1598285638,-0.2270782054
SRX3686813,0.6503792203000001,0.2600490791
SRX3686815,1.2368519634,0.0963057955
SRX3686816,1.0167213313,0.0268401243
SRX3686823,1.7802196077999999,0.3381221642
SRX3686824,2.1765938364,0.372498398
SRX3686825,0.5207773072,-0.1441233415
SRX3686827,1.7052620144000001,-0.20171231320000002
SRX3686826,2.0222313995,-0.11522790020000001
SRX7054191,-0.0143818112,-0.0104575419
SRX7054189,-0.4166846461,-0.052751733
SRX7054190,0.43106645730000004,0.0632092749
SRX7054193,0.3078875566,0.7210760953
SRX7054192,-1.7693382218,0.9713016378
SRX7054194,-1.623232592,1.1030137698
SRX4506284,-0.1634637538,0.0862542661
SRX4506280,-0.7121368999000001,0.0061767456
SRX4506282,0.36419481810000004,0.0364186096
SRX4506278,-0.2452086359,0.0528362702
SRX4506274,-0.27659322010000004,-0.0916821058
SRX4506273,0.4588677323,0.0376803115
SRX4506271,-0.19059583230000002,0.0331385793
SRX4506276,0.0083213201,0.020863215
SRX4506283,-2.3349270701,-0.1592818793
SRX4506279,-2.4034910076,-0.1401739821
SRX4506285,-2.3049147126,-0.1212285453
SRX4506281,-2.2363928171,-0.17804700410000002
SRX4506275,-0.6288789880000001,-0.2174720144
SRX4506277,-0.2942583267,-0.2824774863
SRX4506272,-0.1411882437,-0.036725558000000005
SRX2923393,0.0186767431,-0.032071894000000004
SRX2923394,-0.0186767431,0.032071894000000004
SRX2923398,-7.1883816178,-0.8723293211
SRX2923397,-5.994426722,-0.899801595
SRX2923395,0.6195267506000001,0.4522253752
SRX2923396,0.3694528626,0.3518884635
SRX2923400,-1.6110744874,-1.8777331167
SRX2923401,-0.6278343965000001,-2.3089828299
SRX2923403,-7.3695196818,-1.2590195388
SRX2923402,-7.063341709,-1.3989450482
SRX6853288,-0.051389493200000004,-0.2210493442
SRX6853287,0.12300721220000001,-0.14890861160000002
SRX6853286,-0.0079148307,-0.1333996155
SRX6853284,0.0068998911000000005,-0.0849128623
SRX6853285,-0.2959121202,-0.0177090091
SRX6853283,0.2890122291,0.10262187140000001
SRX4319040,-0.1871217538,0.1279668234
SRX4319041,-0.12048978040000001,0.0171201541
SRX4319039,0.30761153420000004,-0.1450869774
SRX4314613,-0.6748667692,-0.46146348410000004
SRX4314614,-1.8201136234000002,-0.697910239
SRX4314615,-0.6840207813,-0.594345856
SRX4314632,1.1488599513,-0.18953307060000002
SRX4314631,1.1253835047,-0.0039178647
SRX4314633,1.0524238923,-0.28620958950000003
SRX4314622,0.4541162931,-0.4376761468
SRX4314623,0.6695860325,-0.6262973836
SRX4314624,0.1490743108,-0.6286442016
SRX4314611,-0.3746347747,-0.0908054479
SRX4314610,0.2311317434,0.0408096014
SRX4314612,0.1435030313,0.0499958465
SRX4314630,0.7489869180000001,-0.051637880600000005
SRX4314628,1.1616301216,-0.2137912887
SRX4314629,0.678041388,0.0592801489
SRX4314619,-0.4448947636,-0.2724464434
SRX4314621,-0.976773733,-0.0861654184
SRX4314620,-0.6464902236,-0.17040904910000002
SRX7119390,-0.1937287292,-0.0562522219
SRX7119388,0.1937287292,0.0562522219
SRX7119386,-3.0350971595,-0.4664765216
SRX7119385,-3.6577792301,-0.3980607372
SRX7119387,-3.1972404642,-0.4571901376
SRX3746749,-3.5361393834,0.9390256134
SRX3746748,-3.2082344076,1.0447357397
SRX3746751,2.6359278438000002,0.0769919318
SRX3746750,1.0049267334,0.32769033750000004
SRX3746752,-0.7014654299,-0.0279772146
SRX3746753,0.4001181111,-0.4270280396
SRX3746755,0.4194039992,-0.0370825077
SRX3746754,-0.4194039992,0.0370825077
SRX2345943,-0.3352390049,0.036148979000000005
SRX2345942,0.3352390049,-0.036148979000000005
SRX2345941,-1.1326644215,-0.12694986930000002
SRX2345940,-2.341831141,-0.015800821
SRX3992217,-0.11379076760000001,-0.16428647400000002
SRX3992216,-0.5944517659,0.021313516
SRX3992214,5.1651943401,0.4037648495
SRX3992215,3.219277529,0.2597226863
SRX3992221,4.3706091329,0.20717819040000002
SRX3992220,5.6752572504,0.2759727014
SRX3992219,12.7492982124,-0.5583204514
SRX3992218,11.9265149386,-0.6955847479
SRX3992201,12.2315705965,-0.6742432548
SRX3992200,13.0050176608,-0.5609214847
SRX3992198,-0.09461493280000001,-0.16188570160000001
SRX3992199,-0.5498824709,-0.047959350500000004
SRX3992202,0.47321064370000004,-0.027751905
SRX3992203,-0.075395643,-0.1291593432
SRX3992204,2.6298914535,0.5680338874
SRX3992205,1.8208327276,0.5791090317
SRX3992206,2.6506496288,0.5390242578000001
SRX3992207,1.5786011367000001,0.5055747505
SRX3992209,14.1701603294,-0.3952557749
SRX3992208,13.5148896003,-0.4532461493
SRX3992212,13.9345580932,-0.3757935714
SRX3992213,13.670726223,-0.3748161948
SRX3992210,-0.24777193890000002,0.0393357426
SRX3992211,0.24777193890000002,-0.0393357426
SRX357084,-0.1023888461,-0.0335680869
SRX357083,0.1023888461,0.0335680869
SRX4647134,-0.38871179640000003,-0.18282715260000001
SRX4647137,1.0452113391,-0.050975106900000004
SRX4647136,-0.4819803616,-0.0785834695
SRX4647135,-0.4432179679,-0.1484130925
SRX4647139,0.15933544360000002,-0.07261074070000001
SRX4647141,-0.00695184,0.015103106500000001
SRX4647140,-0.3790087411,0.0398182505
SRX4647138,0.2266251376,0.017689383700000002
SRX4647128,0.0623297477,0.15968330120000002
SRX4647127,-0.1514146364,0.1564573393
SRX4647129,-0.1835271082,0.1712494504
SRX4647126,-0.14985098230000002,0.188748313
SRX4647133,-2.6140077567,-0.0585990506
SRX4647132,-2.8678096249,-0.1551538086
SRX4647131,-2.741272312,-0.2322505497
SRX4647130,-3.2697866687,0.0362852024
SRX6923924,-1.3632307447,0.3669412488
SRX6923925,-1.1415834585,-0.1684571994
SRX6923923,-2.3550769056,-0.495081362
SRX6923922,-2.8904731361,-0.6633864942000001
SRX6923939,0.19955652610000002,-0.052691236200000005
SRX6923938,-0.19955652610000002,0.052691236200000005
SRX6923936,-1.8582287212000002,-0.1401471401
SRX6923937,-1.6667292535,-0.0590566452
SRX5509428,0.1193150853,-0.043532592
SRX5509427,-0.1193150853,0.043532592
SRX1882560,2.7152868978,0.6584382446
SRX1882558,2.6171084413,0.653615803
SRX1882559,2.5153936271,0.7534128983
SRX1882561,6.4447056114,0.9604232426
SRX1882563,6.4455919211,0.9740861605000001
SRX1882562,6.4611538465,1.0138429105
SRX1882565,9.0692589006,1.0301797435
SRX1882566,8.9499716783,1.0293545778
SRX1882564,9.2568245365,1.0128389538
SRX1882568,10.5737605822,1.110218876
SRX1882567,10.3769510396,1.2210316349
SRX1882569,10.398263753,1.0520815587
SRX1882555,0.0732537593,-0.0083615549
SRX1882557,-0.1310017168,0.0208806086
SRX1882556,0.0577479575,-0.012519053700000001
SRX5088615,6.591114307,-0.4455453251
SRX5088616,4.0895509813,-0.2836886312
SRX6845150,-3.6269269598,-0.14319594430000002
SRX6845149,-2.9375876955,-0.037071118
SRX6845151,3.9079905258,-0.3068045897
SRX6845152,-1.0169800121,-0.0181668006
SRX6845145,-4.5547851612,-0.36539276860000003
SRX6845146,-4.3543134846000005,-0.3040793576
SRX6845142,1.9643084969000002,-0.4451005558
SRX6845141,3.0303036624,-0.45770811780000004
SRX6845144,0.3432737299,-0.0269512365
SRX6845143,-0.3432737299,0.0269512365
SRX5605051,-0.0056633502,0.1666448781
SRX5605045,0.0056633502,-0.1666448781
SRX5605060,0.3201243326,0.42479477330000004
SRX5605059,0.3253901247,0.443589394
SRX2382017,0.0023089269,0.0561143788
SRX2382024,-0.0023089269,-0.0561143788
SRX2382027,1.6560401281,-0.5667422434
SRX2382029,2.3397520236,-0.6282557809
SRX2382217,1.781898554,-0.4508513322
SRX2382023,2.0830206415,-0.4075964385
SRX2382218,0.6512115843,-0.2903993946
SRX2382219,-0.3326289,-0.0170163538
SRX2382213,1.9165059781,-0.7241099687
SRX2382019,1.7035503343,-0.5962877546
SRX2382214,-1.2281553985,0.032993011100000004
SRX2382215,-0.7806384758,-0.0104508202
SRX2382020,-0.1425534329,-0.009393303
SRX2382216,-1.1069815658,-0.2414138858
SRX2382022,-2.0656256764,-0.0762620156
SRX2382033,-2.232633727,0.0219803402
SRX2382220,3.3731116025,-1.112547433
SRX2382222,3.3567600575,-1.0234461644
SRX2382030,2.1640921683,-1.0152638179
SRX4506350,-0.0210168399,0.1453527037
SRX4506352,0.0867879029,0.083441624
SRX4506354,0.7158547694,0.0571948293
SRX4506348,0.27970029560000004,0.0357961434
SRX4506346,0.0307945484,-0.0038017435
SRX4506344,-0.3104948439,-0.031994399800000003
SRX4506351,-1.3769805567,0.10975761170000001
SRX4506353,-1.0821362107,0.1791866055
SRX4506355,-0.7547574005000001,0.1457692642
SRX4506349,1.0177080716,0.2073568628
SRX4506345,0.6333571422000001,0.32539228340000004
SRX4506347,0.2527878859,0.26603490080000003
SRX4514122,3.4709225104,-0.4941236955
SRX4514124,-5.3676418756,0.3886518517
SRX4514126,-5.2391791659,0.2961410732
SRX4514120,3.3719861214,-0.3920984393
SRX4514112,3.9743242471,-0.44846758900000006
SRX4514116,-3.9229153481,0.41879084310000003
SRX4514118,-4.0948521693,0.5056289849
SRX4514114,4.0434432703,-0.47595223900000005
SRX4514121,3.4370272129,-0.4958164418
SRX4514125,-5.4722086148999995,0.1923648789
SRX4514127,-5.3471240691,0.29242609540000003
SRX4514123,3.3065764784000002,-0.5604041073
SRX4514115,3.9744946821,-0.48958553720000003
SRX4514117,-4.070149337,0.47650140090000004
SRX4514113,3.7841532992999998,-0.41687615170000003
SRX4514119,-4.0291896098,0.4359329376
SRX958308,0.10028841270000001,0.1311554168
SRX958306,-1.3766044788,0.0899352293
SRX958307,-1.8875307626,0.209229031
SRX958313,-0.5549693008000001,0.0149922245
SRX958312,1.6397748585,0.1596985853
SRX958314,-1.0848055576,-0.1746908097
SRX958320,5.5169842576,0.4103833321
SRX958318,6.3109480366,0.3919302167
SRX958319,5.6976777657,0.3265033593
SRX958323,6.1596633541,0.3629470966
SRX958322,7.7091499261,0.27008610040000003
SRX958321,8.0338039356,0.22938871500000002
SRX958310,-1.4225415666,0.3568275959
SRX958309,-2.0183836056,0.4348612626
SRX958311,-2.1252039932,0.19949832050000002
SRX958317,-0.171832704,0.7170137721000001
SRX958315,-1.1286200708,0.8115085739
SRX958316,-0.9831966581,0.7809544689
SRX958324,-4.892964073,0.7089918409
SRX958325,-4.8088301763,0.684372575
SRX4498322,-0.1874010103,-0.0137351291
SRX4498318,-0.033990903600000004,0.0631042774
SRX4498320,-0.6887620873,-0.0776180932
SRX4498316,-1.0122005948,-0.021927714600000002
SRX4498312,-0.16981958560000002,-0.0103115084
