,-0.088933864334796,-0.069170783371508,-0.04940770240822001,-0.029644621444932018,-0.009881540481644024,0.009881540481643969,0.029644621444931962,0.049407702408219956,0.06917078337150795,0.08893386433479594,0.10869694529808394,0.12846002626137193,0.14822310722465992,0.16798618818794792,0.1877492691512359,0.2075123501145239,0.2272754310778119,0.2470385120410999,0.2668015930043879,0.2865646739676759
thresh,-0.09881540481644,0.09881540481644,2,,,,,,,,,,,,,,,,,
unreg,1,2,13,155,1914,1658,129,16,5,1,2,2,2,0,0,0,1,0,0,0
fasR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['modA' 'fadE20'],['echA7' 'Rv1856c'],['Rv0859' 'fadB'],[],[],[],['fadE5'],[],[],[]
fasR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv0976c' 'fadE12'],['accA2' 'fadE13' 'accD2'],[],[],[]
