,0
gene_id,Rv2395B
name,aprB
operon,Op1514
gene_product,acid and phagosome regulated protein AprB
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2395B"">External Database</a>"
