sample,Rv3503c
SRX3995807,0.6706993569
SRX3995806,1.1605954145
SRX3995809,0.6284854658
SRX3995808,0.8422098366
SRX4619048,0.6874655513
SRX4619047,0.7533581081
SRX4619049,0.657383891
SRX4619050,0.5992941397
SRX3995804,0.2376079067
SRX3995805,-0.2376079067
SRX5089845,-1.1264041408
SRX5089844,-0.8195343907
SRX5089860,-0.09657618550000001
SRX5089859,0.2508435215
SRX5089858,-0.154267336
SRX5089854,-0.8821503084000001
SRX5089853,-0.7637543888
SRX5089852,-0.7887207433000001
SRX5089856,-1.2697889533
SRX5089855,-1.1491715455
SRX5089857,-1.0968533409
SRX5089868,0.0435397805
SRX5089866,-0.2961906721
SRX5089867,-0.1116233523
SRX5089870,-0.9428709633000001
SRX5089869,-0.8010700787
SRX5089871,-0.3850872269
SRX5089846,-0.8437090665
SRX5089848,-0.6480036448000001
SRX5089847,-0.8799930317
SRX5089849,-1.5218212358
SRX5089850,-1.838487226
SRX5089851,-1.3631072446
SRX5089863,-0.8681403672
SRX5089861,-0.3895312369
SRX5089862,-0.1380997227
SRX5089865,-1.1616385387000001
SRX5089864,-0.9715597458
SRX5388955,0.0036032511
SRX5388957,0.008228347
SRX5388954,-0.0870775416
SRX5388956,0.07524594350000001
SRX5388960,1.2895466449
SRX5388961,1.3709900985
SRX5388959,1.1574467632
SRX5388958,1.2592687599999999
SRX5388964,0.3293465793
SRX5388965,0.37908208050000003
SRX5388962,0.4558557915
SRX5388963,0.4281324964
SRX6889335,0.1328687519
SRX6889333,-0.1328687519
SRX6810002,0.2576037261
SRX6810004,-0.0641046438
SRX6810003,-0.1934990822
SRX6810006,0.541540529
SRX6810005,0.988217878
SRX6810007,0.4999194288
ERX1818322,0.0291955014
ERX1818321,-0.0291955014
SRX2617830,-0.0312852729
SRX2617831,-0.1488572954
SRX2617833,0.8474588942
SRX2617832,0.3533916078
SRX2617828,0.0468806404
SRX2617827,-0.1658826289
SRX2617829,0.11900198840000001
SRX3456119,0.0055948739
SRX3456118,-0.1754776288
SRX3456117,-0.23937934870000002
SRX3456101,-0.0119211583
SRX3456099,-0.0294952526
SRX3456100,0.041416411
SRX3456107,-0.6331106395
SRX3456105,-0.9542211542000001
SRX4374122,0.1588467958
SRX4374121,-0.5330208579
SRX4374123,-0.1327121493
SRX4374124,0.016304502000000002
SRX4374125,0.1495974933
SRX4374126,-0.1659019952
SRX4374127,-0.4454120529
SRX4374128,0.3458991302
SRX4374129,-0.7217045007
SRX4374130,-0.22144074
SRX4374132,-0.2793960088
SRX4374131,-0.0539272514
SRX4374133,-0.232173591
SRX4374135,-0.0337420858
SRX4374134,0.31020006180000004
SRX4374138,-0.8509264614000001
SRX4374136,-0.3433256695
SRX4374137,-0.1516930805
SRX1091379,-0.5554863381
SRX1091380,-0.7002588786
SRX1091377,0.0910387463
SRX1091378,-0.0910387463
SRX4647145,-0.0489661365
SRX4647146,0.14775239610000002
SRX4647147,0.0622702575
SRX4647144,-0.0901608541
SRX4647143,-0.0735799523
SRX4647142,0.1637408063
SRX4647155,-0.2522982449
SRX4647152,-0.15637733040000001
SRX4647153,-0.1262734101
SRX4647154,-0.0271480944
SRX4647148,-0.3675536773
SRX4647149,0.1125430008
SRX4647151,-0.18631455200000002
SRX4647150,-0.0363757667
SRX4647123,-0.057972806800000005
SRX4647124,-0.0044295075
SRX4647125,0.062402314300000004
SRX3103185,-0.1922181124
SRX3103189,0.1052462572
SRX3103187,-0.45263294530000003
SRX3103184,-0.16948460780000002
SRX3103188,0.4051528057
SRX3103186,-0.23566819790000001
