,-0.09647392079394655,-0.08361073135475368,-0.0707475419155608,-0.05788435247636793,-0.04502116303717506,-0.032157973597982184,-0.01929478415878931,-0.006431594719596437,0.006431594719596437,0.01929478415878931,0.032157973597982184,0.04502116303717506,0.05788435247636793,0.0707475419155608,0.08361073135475368,0.09647392079394655,0.10933711023313943,0.1222002996723323,0.13506348911152516,0.14792667855071806
thresh,-0.10290551551354299,0.10290551551354299,2,,,,,,,,,,,,,,,,,
unreg,0,3,1,1,13,96,492,1407,1372,402,74,12,4,2,0,4,4,5,0,0
mce1R,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,1,1,3,2,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['nuoL' 'nuoJ' 'nuoB' 'nuoG'],['nuoH' 'nuoC' 'nuoE' 'nuoD' 'nuoF'],[],[]
mce1R_genes,[],[],[],[],[],[],[],[],['Rv0178' 'Rv0177' 'Rv0176' 'Rv1733c'],[],['fadD5' 'mce1R'],[],['mce1F'],[],[],['yrbE1A'],['mce1D'],['mce1C' 'lprK' 'yrbE1B'],['mce1A' 'mce1B'],[]
