,A,mce1R
R2,,0.08207605619383329
xmin,,-3.9767276956
xmid,,
xmax,,4.6189089539
ystart,,-7.386475354274808
yend,,6.192452700270126
SRX3995807,0.4800887004,-0.7502414061
SRX3995806,-0.9836131351,-0.709691935
SRX3995809,0.6949619983,-0.5800192578000001
SRX3995808,-0.8113172457000001,-0.4606771197
SRX4619048,0.41709191370000004,-0.8430788096
SRX4619047,-1.1332532404,-0.7970269185000001
SRX4619049,-0.2701683981,-0.6284350865
SRX4619050,0.8211537276,-0.9323469863
SRX3995804,-0.4143818709,-0.4297663352
SRX3995805,0.4143818709,0.4297663352
SRX5089845,6.6241819514,-0.8330818354
SRX5089844,6.5234544245,-0.8273150149
SRX5089860,0.0831000529,0.0117743438
SRX5089859,-0.5425476918000001,-0.0037239380000000004
SRX5089858,0.459447639,-0.0080504058
SRX5089854,-0.122501934,-2.5599863095
SRX5089853,-0.060731947800000005,-2.7467981357999998
SRX5089852,0.0387349389,-2.6426543482
SRX5089856,7.4709603272,-0.9969150017
SRX5089855,7.8684308406,-1.3991533602000001
SRX5089857,7.5127882537,-1.0765613439
SRX5089868,-4.107048111,-2.1124721523
SRX5089866,-4.8067972511,-2.2314760849
SRX5089867,-4.9831745784,-2.4669328556
SRX5089870,1.0035620932,-1.3779005062
SRX5089869,1.319848065,-1.3258789299
SRX5089871,0.7374227141,-1.2704994816
SRX5089846,-0.6550101890000001,-2.7736545638
SRX5089848,0.3536238316,-2.1023204367
SRX5089847,-0.5995729179,-2.6184851759
SRX5089849,9.3592871718,-0.6375678326
SRX5089850,9.9652775464,-0.6124411274
SRX5089851,10.0023229838,-0.5964976505
SRX5089863,-1.2675671356,-1.9908159556
SRX5089861,-2.9210238131,-2.4672815337
SRX5089862,-2.7591763019,-2.2854890365
SRX5089865,7.1664466111,-0.4982842156
SRX5089864,7.0445002548,-0.6043992923
SRX5388955,0.32372688110000003,-0.046551279300000005
SRX5388957,0.126758625,0.0361280291
SRX5388954,-0.2027092286,0.0244621088
SRX5388956,-0.2477762775,-0.0140388586
SRX5388960,-9.8083711849,-2.6767452105
SRX5388961,-11.5544356643,-2.8230493788
SRX5388959,-9.7333224592,-2.4975807042
SRX5388958,-8.914946369,-2.5732663515
SRX5388964,-7.4287442728,-1.8651861665
SRX5388965,-7.8851143561,-1.8577611108
SRX5388962,-7.4714432195,-1.8150424815
SRX5388963,-7.4769063344,-1.7991358244
SRX6889335,-2.9079045021,-0.6689350924
SRX6889333,2.9079045021,0.6689350924
SRX6810002,0.3153868844,0.044443406500000004
SRX6810004,1.2023411851,0.0802216607
SRX6810003,-1.5177280694,-0.1246650671
SRX6810006,-6.7146035779,1.6199971652
SRX6810005,-5.8292177345,1.7425245571999999
SRX6810007,-6.5712500309,1.2184351286
ERX1818322,-0.5460772942000001,0.2896843744
ERX1818321,0.5460772942000001,-0.2896843744
SRX2617830,-1.5367715733,-0.25396599880000004
SRX2617831,-1.7423082936,-0.1879688679
SRX2617833,-5.8960090041,-1.0377000719
SRX2617832,-6.022205485,-0.787482038
SRX2617828,0.032286624,0.0810753599
SRX2617827,-0.2276275821,0.0341427075
SRX2617829,0.19534095810000002,-0.1152180674
SRX3456119,1.5960130036,-0.4095478799
SRX3456118,1.0270693312,-1.8341353643
SRX3456117,2.3299098899,-1.8341353643
SRX3456101,0.6758020766,-0.1166276819
SRX3456099,-0.3235679249,0.44600119250000003
SRX3456100,-0.3522341517,-0.32937351060000003
SRX3456107,16.497505619400002,1.8687412501
SRX3456105,16.4835089102,-0.0741775662
SRX4374122,2.6598311734999998,0.5435251291000001
SRX4374121,3.2496028618,0.7819951771
SRX4374123,2.6909427796000003,0.7845787035
SRX4374124,-0.3458121046,0.0881174012
SRX4374125,-0.3729891642,-0.3399185659
SRX4374126,0.7188012688000001,0.2518011647
SRX4374127,0.18144978220000002,-1.8248854805999999
SRX4374128,-0.4748952435,-1.3061383361
SRX4374129,-0.2726651122,-1.3092297844
SRX4374130,-6.0021447092,-3.2932380277
SRX4374132,-5.5666419668,-3.4603228372
SRX4374131,-5.7867469019,-3.4331958832
SRX4374133,-5.538929834,-2.8732270375
SRX4374135,-5.0200638109,-3.7847978587
SRX4374134,-5.2271757522,-3.1865073203
SRX4374138,-9.8265466456,-3.7853798233
SRX4374136,-8.3142714414,-3.3189758162
SRX4374137,-9.3614113727,-3.5915302881
SRX1091379,-7.4125069348,0.5112940904000001
SRX1091380,-7.5849078286000005,0.5719368271
SRX1091377,0.0028822488000000003,-0.0160162261
SRX1091378,-0.0028822488000000003,0.0160162261
SRX4647145,-0.150924155,0.10563345460000001
SRX4647146,0.0090740021,0.1417053302
SRX4647147,-0.2151511491,0.1170041503
SRX4647144,0.0066714445,0.009653146900000001
SRX4647143,-0.109141466,-0.0187792386
SRX4647142,0.10247002150000001,0.0091260917
SRX4647155,-9.6238233544,0.0080233879
SRX4647152,-9.8072750713,0.0692952907
SRX4647153,-9.5446071146,0.1080527709
SRX4647154,-9.6459922205,0.12188880220000001
SRX4647148,-6.1274316136,0.0390914284
SRX4647149,-6.0234191515,0.07793185650000001
SRX4647151,-5.983632099,-0.028814563100000003
SRX4647150,-6.0701719936,-0.0202655371
SRX4647123,0.2500604373,-0.0086264665
