,0
gene_id,Rv0430
name,Rv0430
operon,Op288
gene_product,hypothetical protein
COG,Function unknown
regulator,"Rv0302,senX3,regX3,Rv1719,sigH,lsr2"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0430"">External Database</a>"
