sample,Rv3080c
SRX3995807,0.8259233797000001
SRX3995806,1.382702679
SRX3995809,1.0547609893
SRX3995808,1.7278061513
SRX4619048,0.9633817142000001
SRX4619047,1.7255151382
SRX4619049,1.2810831383
SRX4619050,1.0625234895
SRX3995804,0.44339810900000004
SRX3995805,-0.44339810900000004
SRX5089845,-0.7037089237
SRX5089844,-0.5725048278
SRX5089860,0.0580273595
SRX5089859,0.0008984762
SRX5089858,-0.058925835700000005
SRX5089854,1.4774322324
SRX5089853,1.4591540353
SRX5089852,1.4169590398
SRX5089856,-0.48541571370000003
SRX5089855,-0.4375359378
SRX5089857,-0.4185014674
SRX5089868,1.7050708562999999
SRX5089866,1.7950198207999999
SRX5089867,1.6911830098
SRX5089870,-0.1763278557
SRX5089869,-0.0148077244
SRX5089871,0.1579799817
SRX5089846,1.1506977502
SRX5089848,0.9695049542
SRX5089847,1.0530431937
SRX5089849,-0.7873746636000001
SRX5089850,-0.6282024846
SRX5089851,-0.6018674282
SRX5089863,1.6094537108
SRX5089861,1.5932435558
SRX5089862,1.6334133013
SRX5089865,-0.6569370484
SRX5089864,-0.6504625466
SRX5388955,-0.2014169701
SRX5388957,-0.0926231845
SRX5388954,0.14853126290000002
SRX5388956,0.1455088917
SRX5388960,2.094336844
SRX5388961,2.3075937524
SRX5388959,2.1536975361
SRX5388958,2.0734628121
SRX5388964,0.2637746677
SRX5388965,0.4704537083
SRX5388962,0.43832494710000003
SRX5388963,0.32936209790000004
SRX6889335,0.4123796156
SRX6889333,-0.4123796156
SRX6810002,0.050067326200000005
SRX6810004,0.1928424477
SRX6810003,-0.2429097738
SRX6810006,0.6521113993000001
SRX6810005,0.5839136937
SRX6810007,0.4268893818
ERX1818322,-0.053460204500000004
ERX1818321,0.053460204500000004
SRX2617830,-0.6339709056
SRX2617831,-0.6248228056
SRX2617833,-0.5952043915
SRX2617832,-0.4449518635
SRX2617828,-0.030630694700000002
SRX2617827,0.0479768183
SRX2617829,-0.0173461236
SRX3456119,-0.27787200770000003
SRX3456118,-0.0172329508
SRX3456117,-0.5847741614
SRX3456101,0.1474400687
SRX3456099,0.0140601626
SRX3456100,-0.16150023130000002
SRX3456107,0.5152946957
SRX3456105,0.5361967909
SRX4374122,0.7187586266
SRX4374121,0.49457351110000003
SRX4374123,0.2255948791
SRX4374124,0.1238577104
SRX4374125,0.0822637373
SRX4374126,-0.20612144770000002
