,-0.1190129142684077,-0.09917742855700641,-0.07934194284560513,-0.05950645713420384,-0.039670971422802556,-0.01983548571140127,1.3877787807814457e-17,0.0198354857114013,0.039670971422802584,0.05950645713420387,0.07934194284560515,0.09917742855700644,0.11901291426840772,0.13884839997980897,0.15868388569121028,0.1785193714026116,0.19835485711401285,0.2181903428254141,0.23802582853681542,0.25786131424821673
thresh,-0.0694241999899045,0.0694241999899045,1,,,,,,,,,,,,,,,,,
unreg,1,5,7,10,39,580,2691,478,54,21,12,2,0,2,1,2,0,1,0,0
unreg_genes,['mce1R'],['frdA' 'lipQ' 'fadD11' 'fadD5' 'Rv0459'],['mkl' 'Rv0104' 'Rv0458' 'Rv0250c' 'frdB' 'yrbE1B' 'yrbE1A'],[],[],[],[],[],[],[],"['Rv1778c' 'Rv0079' 'rpfA' 'RV1984a' 'Rv1194c' 'Rv2640c' 'ldtB' 'Rv1192'
 'Rv2729c' 'Rv0146' 'Rv1592c' 'Rv1779c']",['Rv3484' 'pckA'],[],['fadB2' 'rpfE'],['Rv1057'],['ahpD' 'ahpC'],[],['icl1'],[],[]
