,0
gene_id,Rv2231B
name,vapB16
operon,Op1402
gene_product,antitoxin VapB16
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2231B"">External Database</a>"
