,0
gene_id,Rv1224
name,tatB
operon,Op802
gene_product,Sec-independent protein translocase protein TatB
COG,"Intracellular trafficking, secretion, and vesicular transport"
regulator,"Rv0047c,Rv0081,Rv0691c,csoR,whiA,Rv1719,Rv2250c,Rv2989,devR,lsr2"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1224"">External Database</a>"
