,0
gene_id,Rv1290A
name,Rv1290A
operon,Op848
gene_product,hypothetical protein
COG,No COG annotation
regulator,"whiB5,Rv0081,Rv1353c,bkaR"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1290A"">External Database</a>"
