,A,marR
SRX5178869,-0.1433179738,-0.3205714025
ERX1404045,0.37924120380000004,0.0025771364
ERX1404046,-0.37924120380000004,-0.0025771364
ERX1404043,1.9789467666,0.5981411486
ERX1404044,0.8301331221,0.2246947266
ERX237502,1.6461965394,-1.1848217563
ERX237505,0.2610616957,-0.7061235182000001
ERX237506,0.8605364001,-1.0429776255
ERX237500,2.495790233,-1.6671855912
ERX237497,1.8662367704,-2.1869268353
ERX237499,2.5790652039,-1.5402492416
ERX237507,-0.23605610330000001,0.048749060600000005
ERX237496,0.22354592580000002,-0.015319590800000001
ERX237504,0.0125101775,-0.0334294698
ERX3772318,0.046155163000000006,0.17267671210000002
ERX3772320,0.1830181163,0.1319105623
ERX3772319,0.4268562513,0.0832219455
ERX3772321,-0.7821967918,0.07564445680000001
ERX3772322,-0.0703309049,-0.1714444255
ERX3772323,0.8525276968000001,0.0957999687
SRX4314262,-0.6447638331000001,0.0403252417
SRX4314263,-0.1607441517,0.0678576998
SRX4314261,0.8055079849000001,-0.10818294140000001
SRX4314265,-2.6365723710999998,-0.48496644400000005
SRX4314266,-0.9451337984,-0.3133955573
SRX4314264,-2.7980288218,-0.2702927484
SRX4314268,-3.83519963,0.1914179754
SRX4314267,-3.1594099641,0.1488074665
SRX4314271,-4.3508632662,0.0042866259
SRX4314272,-5.0718370258,-0.0483426233
SRX4314275,-3.9270948733,0.21716889720000002
SRX4314274,-4.1518720065,0.2633099753
SRX4314273,-4.6623768932,-0.0961628159
SRX4314278,-3.4360954452,0.39166975260000003
SRX4314276,-5.4312238348,0.4524031083
SRX4314281,-4.7419772172,0.4451811116
SRX4314279,-3.8350532385,0.1691686642
SRX4314280,-4.5973963429,0.2345400498
SRX4314284,-3.3275129571,0.6878824793
SRX4314283,-1.1363119475,0.5828423382
SRX4314282,-4.9211391617,0.35401430300000003
SRX4314293,-2.8339868162,0.4325693895
SRX4314292,-4.5344609337,0.5224697549
SRX4314291,-3.5200046030000003,0.3523183858
SRX4314297,-3.5456167414,0.4722150745
SRX4314298,-4.33638489,0.3752499898
SRX4314299,-5.2477117742,0.3426327346
SRX4314302,-4.5461837045,0.2770817903
SRX4314301,-4.4524111595,0.1780445005
SRX4314300,-4.4104507227,0.36904955100000003
SRX4314305,-4.3003647876,0.4673984272
SRX4314304,-4.0843568978,0.5315139066
SRX4314303,-2.4158728248,0.5332752422
SRX4314309,-4.3488149564,0.5271779837
SRX4314306,-3.4410067971,0.5115023411
SRX4314308,-3.031979732,0.5289315950000001
SRX4314307,-3.59752904,0.5583042335
SRX4314311,-4.863853865,0.4832749565
SRX4314317,-0.3958776733,0.33345762630000003
SRX4314316,-1.3555805351,0.4597796813
SRX4314318,-2.2924464061,0.0867516755
SRX4314319,-2.7227100049,0.0621153157
SRX4314331,-4.4425093655,-0.5838917773
SRX4314330,-3.7097134497,-0.3413421514
SRX4314332,-3.9718806866,-0.5797297306
SRX4314335,-4.7182042547,-0.7512036967
SRX4314334,-4.2226922572,-0.7113356618000001
SRX4314333,-3.8808805775,-0.6844105901
SRX4314338,-4.1798321055,-0.6224469015
SRX4314336,-4.5440974445,-0.8078715156
SRX4314337,-4.5050588417,-0.6833526824
SRX4314339,-5.5184966413000005,-0.6660917670000001
SRX4314340,-5.6600037957,-0.6967742637000001
SRX4314341,-5.197210958,-0.8103898604
SRX3686762,4.8649656434,-0.3465201254
SRX3686763,4.7486418563,-0.2167805169
SRX3686761,3.9534705698,-0.2412608882
SRX3686765,1.1572741748,-0.0323378716
SRX3686769,1.7041039323,0.07233241800000001
SRX3686766,2.0913882657,0.0996825072
SRX3686768,2.3324290238,0.09349048480000001
SRX3686764,1.7007966631,0.0374168894
SRX3686767,1.7552165597,0.08520731320000001
SRX3686788,0.6500771514,0.039306202000000005
SRX3686791,-0.4949909605,0.0407557156
SRX3686792,-1.3748755842,0.027927644
SRX3686793,1.5359253089,0.1123291344
SRX3686790,0.18516146120000002,-0.1890737889
SRX3686789,-0.5012973767,-0.0312449072
SRX3686829,6.5789364222,0.011504876800000001
SRX3686830,7.2683319523,0.0535896136
SRX3686828,6.6523262142,-0.09937245950000001
SRX3686819,6.6366870779,0.1014799167
SRX3686818,6.8799144473,0.20837045310000002
SRX3686817,6.832303907,0.1937842009
SRX3686822,14.737414878100001,0.9300169460000001
SRX3686820,15.0974093893,0.9342416423000001
SRX3686821,15.0396750308,0.8697674699
SRX3686743,3.6169342558,-0.17049123500000002
SRX3686744,3.2435664332,-0.1853330544
SRX3686745,3.9654907074,-0.2175942818
SRX3686772,1.5317044289,-0.5997332145000001
SRX3686770,0.9854909465,-0.3727358428
SRX3686771,0.6429319651000001,-0.5355816815000001
SRX3686794,-0.020810489,-0.2942198079
SRX3686796,1.5998802341,-0.1691399889
SRX3686751,5.3411921156,-0.1376986325
SRX3686749,7.3377720924,0.1069343658
SRX3686750,5.4829846076,0.014176345600000001
SRX3686778,2.7747795315,-0.5568750823
SRX3686777,2.3831207905,-0.5676086806
SRX3686776,1.9072671124,-0.647265211
SRX3686800,2.4614485618,-0.11435793050000001
SRX3686801,2.032424658,-0.1030925437
SRX3686755,11.825505308,0.5467493735
SRX3686757,9.0293727832,0.4041912029
SRX3686756,9.3644882442,0.3646145901
SRX3686784,2.5831742572,-0.7497918194000001
SRX3686783,2.2591282677,-0.6709809821
SRX3686782,1.8251276579,-0.5773495529
SRX3686809,3.7818005983000003,-0.19048329460000002
SRX3686807,3.9678902815,-0.1387037068
SRX3686808,3.2429668231,-0.2093664868
SRX3686787,13.2268774084,-0.2628649665
SRX3686786,12.2860150122,-0.3498935461
SRX3686785,12.1499996966,-0.2650022488
SRX3686799,1.9682668858,-0.07545669470000001
SRX3686797,2.0501669323,-0.2220802637
SRX3686798,1.9588464315,-0.1771791271
SRX3686746,3.7125653994,-0.19672764580000002
SRX3686748,4.3236870227,-0.3345698029
SRX3686747,3.813709156,-0.2988427446
SRX3686773,3.4699615259,-0.6625466808
SRX3686774,2.2451578496,-0.7479080394000001
SRX3686775,2.5679652462,-0.6955462822
SRX3686754,7.4265857964,-0.1998003599
SRX3686753,6.3298517701,-0.2520583007
SRX3686752,7.4988556084999995,-0.17888150120000001
SRX3686780,7.6852027719,-0.4166790362
SRX3686779,7.4722268896,-0.5718437197
SRX3686781,7.8777664141,-0.1790049722
SRX3686806,6.4276020498,0.2001572423
SRX3686805,5.9942970434,0.027515440000000002
SRX3686758,19.2728943146,0.3303057655
SRX3686760,19.068812375,0.3365455946
SRX3686759,20.7284255421,0.3514128624
SRX3686810,11.3953545551,0.0568775226
SRX3686811,11.6775172587,0.2841985051
SRX3686812,11.442102765,0.3184169745
SRX3686813,3.3981544488,-0.5951427692
SRX3686815,15.1670509291,0.4130514671
SRX3686816,14.3627062499,0.43160463
SRX3686823,4.8223148391,-0.4741438371
SRX3686824,5.3731639517,-0.4434970896
SRX3686825,14.8472198261,0.0955336638
SRX3686827,15.650618323,0.1059023047
SRX3686826,15.5389583378,0.1787996457
SRX7054191,-0.3838769354,0.19045805600000001
SRX7054189,0.2641012971,0.0054741952
SRX7054190,0.1197756382,-0.19593225120000002
SRX7054193,-4.1650301583000005,-0.5126261232
SRX7054192,-6.9316050311,-0.4846910433
SRX7054194,-6.6208892653,-0.4044728614
SRX4506284,0.9494561812000001,0.5362731110000001
SRX4506280,0.8645622012,0.36105096870000003
SRX4506282,0.4810108484,0.37530915870000003
SRX4506278,0.9265062446000001,0.3577841015
SRX4506274,-0.16448658900000002,-0.1067041521
SRX4506273,0.2969315879,0.0150584323
SRX4506271,0.017091972900000002,-0.0080981985
SRX4506276,-0.1495369719,0.0997439183
SRX4506283,-0.519331161,-0.2665498522
SRX4506279,-0.3065689795,-0.2502683013
SRX4506285,-0.6335810276,-0.2590179487
SRX4506281,-0.5415204343,-0.29268988160000003
SRX4506275,0.5049944193,0.4060257322
SRX4506277,0.7208277935,0.2810653126
SRX4506272,0.2869463499,0.3587567565
SRX2923393,-0.5413938314,-0.1171589408
SRX2923394,0.5413938314,0.1171589408
SRX2923398,7.9906348386,-0.5809077223
SRX2923397,-0.6346981752,-0.5669427713
SRX2923395,7.7025404537,-0.2011589868
SRX2923396,7.5678525056,-0.2114041743
SRX2923400,0.718450322,-0.27227070670000003
SRX2923401,1.3074920911999999,-1.63925e-05
SRX2923403,-4.1792951044,-0.8868810367000001
SRX2923402,-4.1995866572,-1.3159618434
SRX6853288,1.2289684592,-0.08725154140000001
SRX6853287,2.6678541949,0.084204004
SRX6853286,2.327527959,0.0289216253
SRX6853284,0.5191272555,0.07819764800000001
SRX6853285,-0.8371699376,-0.06565828630000001
SRX6853283,0.31804268210000003,-0.0125393616
SRX4319040,0.1371062755,0.10440462900000001
SRX4319041,-0.1582742214,-0.0769718256
SRX4319039,0.021167945900000002,-0.027432803300000003
SRX4314613,19.1278598903,0.7183673884
SRX4314614,16.184873508,0.6905474691
SRX4314615,18.2197537297,0.6949087451
SRX4314632,6.2880310436,0.536293962
SRX4314631,6.163749494,0.6663772995
SRX4314633,7.1349910999,0.6980816457
SRX4314622,13.5482096817,1.0076896277
SRX4314623,12.9316988995,0.8040806303
SRX4314624,13.9413947572,0.8802871350000001
SRX4314611,-0.0336006005,0.0252882234
SRX4314610,0.11381662860000001,0.0317675788
SRX4314612,-0.0802160281,-0.057055802200000005
SRX4314630,1.1327566685,-0.3052663063
SRX4314628,1.3059472324999999,-0.2556735529
SRX4314629,1.4246637757,-0.12381849410000001
SRX4314619,1.2488195123,-0.5141972944000001
SRX4314621,0.3735621803,-0.42214474150000003
SRX4314620,1.2671353858,-0.4057133721
SRX7119390,-0.3200684271,-0.17216393970000002
SRX7119388,0.3200684271,0.17216393970000002
SRX7119386,18.654308952,0.5128304626
SRX7119385,19.5353543107,0.2477022275
SRX7119387,19.5442241544,0.09567004450000001
SRX3746749,4.1884138806,-0.0298852052
SRX3746748,4.0296106367,-0.3328760029
SRX3746751,1.7445996733,0.6723816366
SRX3746750,1.9846104245,0.0072671409
SRX3746752,0.17389198960000002,0.1254488905
SRX3746753,-0.2615060387,0.3103030598
SRX3746755,0.6951615752,-0.12116037700000001
SRX3746754,-0.6951615752,0.12116037700000001
SRX2345943,-0.8885365473,-0.0300826449
SRX2345942,0.8885365473,0.0300826449
SRX2345941,1.1567613158,-0.4049592823
SRX2345940,-1.0743189545,-0.7516544447
SRX3992217,0.9358642627,-0.0036640094000000003
SRX3992216,0.5056702355,0.0036514439
SRX3992214,1.1479286045000001,-0.2594352822
SRX3992215,0.6828647870000001,-0.14612549800000002
SRX3992221,-0.508006265,-0.1708410098
SRX3992220,1.0500588217,-0.1259068516
SRX3992219,15.8349904133,1.3566734953
SRX3992218,17.1497763964,1.4175555625
SRX3992201,16.9514489108,1.3618590484
SRX3992200,15.4216977337,1.3650731911
SRX3992198,1.0071293663,-0.0323718081
SRX3992199,0.6958556499,-0.0208272083
SRX3992202,-0.5298858076,-0.0362509076
SRX3992203,0.3071248932,0.0217533378
SRX3992204,1.0768114708,-0.3669409313
SRX3992205,0.8606251178000001,-0.3071207093
SRX3992206,1.3203548058,-0.2894733335
SRX3992207,0.5978378821,-0.2612697916
SRX3992209,13.7392960334,1.2751841495
SRX3992208,14.3138563537,1.3591735649
SRX3992212,13.7554924965,1.2986078968
SRX3992213,13.8684519185,1.3035549513
SRX3992210,-0.13627085390000002,0.013188757800000001
SRX3992211,0.13627085390000002,-0.013188757800000001
SRX357084,-0.1157665101,-0.0363558089
SRX357083,0.1157665101,0.0363558089
SRX4647134,-0.1287862158,0.8604739178
SRX4647137,-0.07276792280000001,0.2111977954
SRX4647136,-0.1549261085,0.7665571312
SRX4647135,-0.3122992289,0.7660146995
SRX4647139,-0.11191079550000001,-0.02881449
SRX4647141,0.0831826533,0.0830233553
SRX4647140,0.12346318040000001,-0.0540240337
SRX4647138,-0.0947350383,-0.0001848316
SRX4647128,-1.2093853747,0.1631977219
SRX4647127,-1.8190444589,-0.0536122319
SRX4647129,-1.7166881896000001,0.050128794000000004
SRX4647126,-1.3687396228,-0.0168801054
SRX4647133,-2.614809948,-0.46092068350000004
SRX4647132,-3.149837956,-0.5197482074
SRX4647131,-2.9622411809,-0.4226320691
SRX4647130,-2.9026921664,-0.48921677880000003
SRX6923924,-1.0606974667,-2.8698746769
SRX6923925,-0.5128179512000001,-2.2983296531
SRX6923923,-3.8464609703,-3.3758525304
SRX6923922,-4.7717857754,-2.6477028531
SRX6923939,0.3408147957,0.07461672080000001
SRX6923938,-0.3408147957,-0.07461672080000001
SRX6923936,-2.4296280104,0.1325716551
SRX6923937,-2.0640071625,0.1966385849
SRX5509428,-0.1982629113,0.1435016141
SRX5509427,0.1982629113,-0.1435016141
SRX1882560,-0.42601801970000003,0.7390690357
SRX1882558,-0.42544507600000003,0.7467745057
SRX1882559,-0.3421731418,0.7651768803
SRX1882561,2.5692936298999998,0.9031199747
SRX1882563,2.7234993703,0.8659109473000001
SRX1882562,2.6641163910000003,0.8878896297000001
SRX1882565,5.2740354408,0.7869820494
SRX1882566,5.3510018627000004,0.9425653123000001
SRX1882564,5.1790950403,0.8443853334
SRX1882568,7.0809600049,1.356243365
SRX1882567,6.8205793418,1.2808729636
SRX1882569,7.0766361933,1.3011230165
SRX1882555,-0.048405478,0.0084303634
SRX1882557,0.0015935432,-0.0569756146
SRX1882556,0.0468119348,0.0485452512
SRX5088615,6.7943936415,0.8785324617
SRX5088616,10.264428787,1.0416301752
SRX6845150,23.5738773872,1.562618249
SRX6845149,24.6429653242,0.8331469970000001
SRX6845151,-0.6198417007,-0.1706309302
SRX6845152,0.1517027553,-0.0185061483
SRX6845145,23.3665918124,1.1624266763
SRX6845146,22.718654785,1.5537101599
SRX6845142,21.3285049889,1.2910037626
SRX6845141,17.5674194608,1.1604200282
SRX6845144,0.22165141060000002,0.062064192100000005
SRX6845143,-0.22165141060000002,-0.062064192100000005
SRX5605051,-0.22376837830000001,0.1106321215
SRX5605045,0.22376837830000001,-0.1106321215
SRX5605060,-3.9060964819,-0.0047304065
SRX5605059,-3.7681841781000003,-0.22600338960000002
SRX2382017,-0.3173465407,-0.0981230216
SRX2382024,0.3173465407,0.0981230216
SRX2382027,-2.2940909361,-0.556724073
SRX2382029,-1.8913330091,-0.7736007496
SRX2382217,-2.3142961439,-0.652642507
SRX2382023,-1.4453449941,-0.48413095370000003
SRX2382218,1.9738902508,-0.0052359767000000005
SRX2382219,1.6083540325999999,-0.4553851198
SRX2382213,-1.5297432851,-0.40680922
SRX2382019,-2.6199083167,-0.6033791992
SRX2382214,2.6025846366,-0.17138778640000002
SRX2382215,1.7893231749,-0.5554413826
SRX2382020,5.1442347672,-0.2376890555
SRX2382216,6.5820124536,-0.31831003950000003
SRX2382022,0.18768234390000002,-0.36948255300000005
SRX2382033,1.7951161630999999,-0.5137412228
SRX2382220,11.0534666292,-1.4046772553
SRX2382222,10.8313696092,-1.3591999966000001
SRX2382030,11.5332983784,-1.0573710956
SRX4506350,0.0536993863,-0.3441422393
SRX4506352,0.19090987280000002,-0.2717933119
SRX4506354,0.381327193,-0.2060154941
SRX4506348,-0.0670322673,-0.0527493013
SRX4506346,0.09389884400000001,0.042218695800000004
SRX4506344,-0.026866576700000002,0.0105306054
SRX4506351,-0.36302811970000004,-0.8684308350000001
SRX4506353,-0.3627101488,-0.8537740880000001
SRX4506355,-0.0788430733,-0.7692186377
SRX4506349,-0.33383767210000004,-0.2335073259
SRX4506345,-0.2612637083,-0.43560913910000004
SRX4506347,-0.6802097234000001,-0.5177233465000001
SRX4514122,0.5081326401,-0.2105206225
SRX4514124,0.1346468137,-0.2997383433
SRX4514126,0.0005111219,-0.36116150700000005
SRX4514120,0.643024327,-0.1656882814
SRX4514112,0.5127591552,0.0435196523
SRX4514116,-0.3067260646,0.0700511374
SRX4514118,-0.5043949078000001,-0.049991126000000004
SRX4514114,0.2983618172,-0.0635796637
SRX4514121,0.6317660343,-0.2229253487
SRX4514125,-0.3883689797,-0.2936242799
SRX4514127,-0.1344444401,-0.38598168790000004
SRX4514123,0.36543382950000003,-0.2662280187
SRX4514115,0.3088394728,0.0476760072
SRX4514117,-0.4497790565,0.0096925449
SRX4514113,0.5014089502,-0.043968178000000004
SRX4514119,-0.2332401128,-0.0121174933
SRX958308,4.7606440147,1.0255657383
SRX958306,3.3698949903,0.7888093472000001
SRX958307,5.4708072408,1.1343592238
SRX958313,-0.2741392639,-0.022126109300000002
SRX958312,0.4900562607,0.1824673561
SRX958314,-0.2159169968,-0.1603412468
SRX958320,0.9048969947000001,0.3937977979
SRX958318,-0.4363847179,0.1799530345
SRX958319,1.3084990298,0.1480510793
SRX958323,5.6882855721,0.5028271738
SRX958322,6.1256638058,0.4066203472
SRX958321,5.4752996482,0.3255226819
SRX958310,6.8723641522,1.4883585613
SRX958309,4.8283573885,1.316861091
SRX958311,8.3691509462,1.4836542185
SRX958317,3.9704498274,0.6489810871
SRX958315,3.8766547696,0.5198653949
SRX958316,4.1082783609,0.4793603944
SRX958324,4.3868293835,1.0071818037
SRX958325,4.2111652865,1.033014901
SRX4498322,0.4006190129,-0.045451360600000004
SRX4498318,-0.1298827763,0.1913729445
SRX4498320,0.3074193046,0.0580678608
SRX4498316,0.8383159047000001,0.0560140716
SRX4498312,-0.1529813099,-0.0033060348
SRX4498308,0.146156122,0.0040494458
SRX4498314,-0.0819557154,-0.022090960200000002
