,0
Title,M. tuberculosis Modulome
Organism,<i>M. tuberculosis</i>
Strain,H37Rv
Number of Samples,647
Number of Unique Conditions,231
Number of Genes,3906
Number of iModulons,80
Useful Additional Link,"<a href=""https://github.com/Reosu/modulome_mtb"">Github</a>"
