Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rv0001,-0.02499331076873077,0.006098176977998805,-0.011389765258830474,-0.01847567177481052,0.006721278636414102,0.015111837090154852,-0.013025310839260885,0.006087696326064451,-0.0012867083000248814,-0.0070960188969192255,0.007569021657846229,-0.008036588373605847,0.0004757268263293382,0.01912192824131566,0.014254648726498672,0.02422970119881682,-0.008182437930637356,0.02176154528080634
Rv0002,0.0017890096400409769,0.009996471697526455,0.016060061673922054,-0.006502816854274443,-0.006021127809412381,-0.005647384188161252,-0.012679594891698145,0.02292018430157978,-0.019108193562055703,-0.0063458926486487325,0.010737082239042016,-0.018451366906758013,0.002418307648368255,0.024784184377669372,-0.001938300328191365,-0.006733517387314393,-0.009464668229739716,-0.00017401195388182724
Rv0003,0.003978981780753188,0.0016569223087048042,0.00872362280607731,-0.005279172862277791,0.002566352188187004,-0.009457956438895444,-0.0014288104449118753,0.004277920743237217,-0.02214124715074187,-0.013711426386035952,0.015837776144391514,-0.0019718875190348965,0.0004865196079829092,0.009375690832069685,0.001548497122956829,-0.0006555954933630001,-0.037761862876569435,-0.01285531995728786
Rv0004,0.0009705938745323327,0.001478913328380125,0.011802037878084624,-0.0009661060352805098,-0.005029980833285814,-0.007989579775045583,-0.013501001455447428,-0.00421772656853483,-0.014269367457462996,-0.008139797311662825,0.008400562983197461,0.003948689068934363,-0.013369621767220386,-0.0018057558722425608,0.012589772421814435,-0.01800695619814641,-0.00817043836037942,-0.007027012316364617
Rv0005,0.0036003534964763216,-0.014625361337385418,0.005131352658010167,-0.017536508427627946,-0.0098503842936229,-0.01954454618477506,0.00816685339085859,0.00031388797422226525,0.015844514212394096,-0.0030557188580873497,0.011366519331087118,0.0010431683087251716,0.018961596257815856,0.01885228298542946,0.009126252890600114,-0.00415313781847487,-0.019813457723196648,0.009711573154630993
Rv0006,-0.0017719928015449593,-0.010788364581462071,0.007044287176268128,-0.014163244037020862,-0.007826369004855959,-0.011518615222397211,0.004679484463263372,-0.003917428115617712,0.016256034911485518,-0.0008818072136260577,0.012191879954632851,0.00018007253673617474,0.006369082176165479,0.01343081661438085,0.006116616820357409,-0.016319677179033317,-0.01649343838104113,0.001678222676748901
Rv0007,-0.00301849003698945,-0.008606591080051578,0.004655642885193617,-0.012515282754724057,-0.007422748797369442,-0.004533692842273793,0.003994171070869094,0.0009618911080609894,0.009143113901542618,0.0004586884038024825,0.006107345184971184,0.006061668776428868,-0.007473166370243987,0.01442099612567609,0.008994277655000866,-0.021178420817855786,0.0012609903684443564,0.005457293892222254
Rv0008c,-0.0013210652359175964,-0.0027623855981710826,-0.006424093574115323,0.0011526911731880717,-0.003856446667503752,0.008913457932860835,-0.009288622194053305,0.01316688514840997,0.002443582060018962,-0.0022738842768554755,-0.013065684980533527,0.011985473566950485,-0.009521029527837899,-0.010029341886842093,-0.0070929636262623864,-0.01535396733453019,0.023588424756117367,0.004163229896026985
Rv0009,0.006234234716435479,0.02326961154325188,-6.296491604681365e-06,-0.014623794306346577,-0.020131574070546877,-0.015864610007437246,-0.009437723043106708,0.005207168651183524,-0.005674180366359474,-0.00014458762060424413,-0.00873095444209995,-0.008135101944515284,-0.002720060233363307,0.024439879940306414,-0.008093051234665593,0.0060408040953680705,0.0074643119432976504,0.0005656101623909663
Rv0010c,-0.003987117423592991,-0.007574174910053997,-0.004142869009754808,0.0038574729848620537,0.006333330959070138,-0.014475764307367783,-0.01618620188525863,-0.007946249007436016,-0.006306285434855259,-0.00879926562707969,0.025226835988801242,0.009026528364535295,-0.0019225935608024143,0.016141057398411533,0.007088298250385653,0.007488839600944755,0.011586466871499826,0.0294623426877924
Rv0011c,-0.0062517327418745204,6.78149238060507e-05,0.0047178430245590685,-0.016496324723288765,-0.002415417438643737,-0.003389945683258953,-0.01377733326108607,0.013203596563958588,-0.013838911494841214,-0.002855493885383567,0.0159157990364993,0.011542922182171997,0.014664322576950918,0.011187355376978477,0.015885816092816793,-0.010638686788436026,0.006678248450075978,0.009312161855087065
Rv0012,0.008554488262000098,0.0022962963065214993,-0.0005788539302397944,-0.010313300125372455,-8.522144411026898e-05,-0.0013554658054230576,0.004131624405001247,0.01010295775677501,-0.007259312449494723,-0.007925616001191606,-0.005491455040263061,0.0027111688605773255,0.003965544365219445,-0.004198157852030022,0.0020752806291289396,0.0051913501895439204,0.002525808520055073,0.006605232899537165
Rv0013,-0.0020892997124654306,-0.004166712989371868,-0.007383902459623796,-0.01368703257408682,0.0045326188807111875,0.008396917998786666,-0.015156932399755827,0.0015829991217642782,6.998009747315543e-05,-0.0020772313787510445,-0.021984029011643647,0.007196802461851275,0.002337760537264226,0.01008149377043437,0.0017053990932570666,0.005999877599761389,-0.016625671735242133,-0.010450157596036071
Rv0014c,-0.007610596640813257,0.00358291544139927,0.004745596306853853,-0.007437548014297541,0.009080278564736406,0.004334924366330169,-0.01358220499279357,-0.016097363978943256,-0.009020310298198683,-0.0053658472366218835,0.021276377853264503,-0.006396231838896018,0.0011589281482542338,0.0019548363768864974,0.0032676749663279516,-0.004605263792055051,0.0005666479030362225,0.0022406037389788498
Rv0015c,-0.00637711914145404,0.0075196907062884556,-0.0003301111996713424,-0.00849886599939747,0.00948416746011254,0.009971598549568797,0.009788838952921848,-0.022956110071337917,-0.003342874090466931,0.00021165658045312597,0.0014644355541188275,0.0036191006188247775,-0.003493961072752009,0.0012599635271175118,-0.004861783119169627,-0.012706430477011208,0.0008938750255876579,0.006430588463602543
