sample,Rv0621
SRX3995807,-0.042378626
SRX3995806,0.600454563
SRX3995809,0.0486033315
SRX3995808,1.037443598
SRX4619048,0.0891477704
SRX4619047,1.1934226766
SRX4619049,0.3325098241
SRX4619050,0.4401725019
SRX3995804,0.0885684954
SRX3995805,-0.0885684954
SRX5089845,-0.8329044287
SRX5089844,-0.8087727064
SRX5089860,0.060165273400000004
SRX5089859,0.1103499227
SRX5089858,-0.17051519610000002
SRX5089854,0.27029774900000003
SRX5089853,0.2902071256
SRX5089852,0.1686940671
SRX5089856,-0.8414017130000001
SRX5089855,-0.9830650892
SRX5089857,-0.7646548512
SRX5089868,0.49601231970000004
SRX5089866,0.6677185196000001
SRX5089867,0.6457805791
SRX5089870,-0.3616382762
SRX5089869,-0.5598925335
SRX5089871,-0.17617325620000002
SRX5089846,0.5477608885
SRX5089848,0.523955421
SRX5089847,0.6199972419
SRX5089849,-0.9475665362000001
SRX5089850,-0.8253574969
SRX5089851,-0.7676323799
SRX5089863,0.83419283
SRX5089861,0.6697430956
SRX5089862,0.7799451011
SRX5089865,-0.8184664037
SRX5089864,-1.2665798399
SRX5388955,-0.12611127800000002
SRX5388957,-0.0260382368
SRX5388954,0.0382730874
SRX5388956,0.1138764273
SRX5388960,0.4601138957
SRX5388961,0.4807803445
SRX5388959,0.5539697899
SRX5388958,0.5081375982
SRX5388964,-0.3133094731
SRX5388965,-0.1622788154
SRX5388962,-0.1392279706
SRX5388963,-0.2951497678
SRX6889335,0.057384853300000004
SRX6889333,-0.057384853300000004
SRX6810002,-0.0977485146
SRX6810004,-0.1972083671
SRX6810003,0.2949568818
SRX6810006,0.5560907452
SRX6810005,0.0309800595
SRX6810007,0.719276437
ERX1818322,-0.548023189
ERX1818321,0.548023189
SRX2617830,0.2394939888
SRX2617831,0.2288697374
SRX2617833,0.027469223
SRX2617832,0.10721406900000001
SRX2617828,0.0906239435
SRX2617827,0.1472207387
SRX2617829,-0.23784468220000002
SRX3456119,-0.1404681203
SRX3456118,-0.5697702802
SRX3456117,-0.7563651076
SRX3456101,-0.5024921349
SRX3456099,0.0374879143
SRX3456100,0.4650042206
SRX3456107,1.5616359087
SRX3456105,0.5930553580000001
SRX4374122,0.4152643083
SRX4374121,0.4765196231
SRX4374123,0.2279193222
SRX4374124,-0.0801227657
SRX4374125,0.13927421040000001
SRX4374126,-0.0591514447
SRX4374127,0.0567592441
SRX4374128,0.3429908859
SRX4374129,-0.5752336088000001
SRX4374130,-0.5750838108
SRX4374132,-0.9285319995
SRX4374131,-0.9024133372
SRX4374133,-0.1074677329
SRX4374135,-0.4176578549
SRX4374134,-0.2338309718
SRX4374138,-1.3916856874
SRX4374136,-0.5423713102000001
SRX4374137,-0.7791583811
SRX1091379,-0.1797952484
SRX1091380,-0.2088313755
SRX1091377,-0.09326719500000001
SRX1091378,0.09326719500000001
SRX4647145,-0.0730019163
SRX4647146,-0.0070981403
SRX4647147,0.10670608670000001
SRX4647144,-0.0231069177
SRX4647143,0.099532354
SRX4647142,-0.0764254363
SRX4647155,-1.0699777979
SRX4647152,-0.7844400277
SRX4647153,-0.8717595426
SRX4647154,-1.379338931
SRX4647148,-0.7207710692
SRX4647149,-0.5881032487
SRX4647151,-0.4846849521
SRX4647150,-0.7020342097000001
SRX4647123,-0.07512505500000001
SRX4647124,0.0986063499
SRX4647125,-0.023481295000000003
SRX3103185,-0.3563672813
SRX3103189,-0.8426235777000001
SRX3103187,-0.8539416299
SRX3103184,0.0660754529
SRX3103188,0.08618108070000001
SRX3103186,-0.1522565336
SRX1372110,0.10417117020000001
SRX1372111,0.1675545725
SRX1372108,0.0975017048
SRX1372109,-0.0975017048
SRX4506085,0.1344818412
SRX4506083,0.1023460711
SRX4506089,-0.0472616004
SRX4506087,0.1786966064
SRX4506077,0.2328870281
SRX4506079,0.13493780730000002
SRX4506075,-0.4898465584
SRX4506081,0.1220217229
SRX4506084,0.136965058
SRX4506086,0.1554047559
SRX4506088,0.1651893496
SRX4506090,0.07125425120000001
SRX4506078,0.2490519556
SRX4506080,0.1288036273
SRX4506082,0.2598728535
SRX4506076,0.1741956613
SRX5352221,0.1558300229
SRX5352223,-0.0847430094
SRX5352222,-0.0142939829
SRX5352229,2.8302645376
SRX5352227,2.8189167482
SRX5352228,2.791948006
SRX5352231,-1.2157431213
SRX5352232,-1.0478448664
SRX5352230,-1.3123080951000001
SRX5352225,0.1757200298
