,-0.36819449201559695,-0.3068287433463308,-0.24546299467706467,-0.18409724600779853,-0.12273149733853239,-0.06136574866926625,-1.1102230246251565e-16,0.06136574866926603,0.12273149733853217,0.1840972460077983,0.24546299467706445,0.3068287433463306,0.36819449201559673,0.42956024068486287,0.490925989354129,0.5522917380233952,0.6136574866926613,0.6750232353619273,0.7363889840311936,0.7977547327004598
thresh,-0.39887736635023,0.39887736635023,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,35,3824,45,0,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv2490a'],[],[]
