,-0.11228583385335145,-0.09624500044572981,-0.08020416703810818,-0.06416333363048654,-0.048122500222864906,-0.03208166681524327,-0.016040833407621635,0.0,0.016040833407621635,0.03208166681524327,0.048122500222864906,0.06416333363048654,0.08020416703810818,0.09624500044572981,0.11228583385335145,0.12832666726097308,0.14436750066859472,0.16040833407621635,0.176449167483838,0.19249000089145962
thresh,-0.088224583741919,0.088224583741919,1,,,,,,,,,,,,,,,,,
unreg,1,0,5,9,18,94,833,2112,675,115,13,8,9,5,5,3,0,0,1,0
unreg_genes,['Rv3727'],[],[],[],[],[],[],[],[],[],[],[],[],['PPE25' 'Rv3750c' 'sigI' 'Rv3027c' 'Rv2478c'],['spoU' 'Rv3026c' 'Rv3134c' 'Rv3327' 'mgtA'],['rocA' 'udgA' 'Rv0074'],[],[],['Rv1188'],[]
