,0
gene_id,Rv3899c
name,Rv3899c
operon,Op2439
gene_product,hypothetical protein
COG,No COG annotation
regulator,"Rv0081,csoR,lsr2"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3899c"">External Database</a>"
