sample,Rv1638A
SRX3995807,-0.0707136848
SRX3995806,-0.1249523232
SRX3995809,-0.0453520943
SRX3995808,0.0545482434
SRX4619048,0.13134724920000002
SRX4619047,0.0402010788
SRX4619049,-0.10745731630000001
SRX4619050,-0.0404073491
SRX3995804,0.0909561767
SRX3995805,-0.0909561767
SRX5089845,-1.3962428311
SRX5089844,-1.5752100649
SRX5089860,-0.0830145197
SRX5089859,-0.2001795527
SRX5089858,0.2831940724
SRX5089854,-2.7801006953
SRX5089853,-2.8302774452
SRX5089852,-3.0413080481
SRX5089856,-0.9550215565
SRX5089855,-1.0992922771
SRX5089857,-0.717517665
SRX5089868,-0.9023171545
SRX5089866,-1.1441367658
SRX5089867,-0.9272756081
SRX5089870,0.1525388513
SRX5089869,0.3446813456
SRX5089871,0.1431984646
SRX5089846,-3.1471841597
SRX5089848,-2.9233671648
SRX5089847,-3.0329338169
SRX5089849,-0.8707178293000001
SRX5089850,-0.906807215
SRX5089851,-0.7312054954
SRX5089863,-0.6883784975
SRX5089861,-0.7494539078
SRX5089862,-0.6897318881000001
SRX5089865,0.9022506565
SRX5089864,0.8779564993000001
SRX5388955,-0.0063178226
SRX5388957,0.032740089800000004
SRX5388954,-0.0943085805
SRX5388956,0.0678863133
SRX5388960,-2.2699739053
SRX5388961,-2.8127280284
SRX5388959,-2.2107772303
SRX5388958,-2.2174341308
SRX5388964,0.2941338236
SRX5388965,0.1608125022
SRX5388962,0.0467935404
SRX5388963,0.2660504217
SRX6889335,-0.16302087310000002
SRX6889333,0.16302087310000002
SRX6810002,-0.0288011104
SRX6810004,0.2189998947
SRX6810003,-0.19019878440000001
SRX6810006,-1.657598841
SRX6810005,-2.0377551549
SRX6810007,-1.6922088648
ERX1818322,0.3579354983
ERX1818321,-0.3579354983
SRX2617830,-0.00045809400000000004
SRX2617831,-0.0722148189
SRX2617833,-0.4443385018
SRX2617832,-0.38253515650000003
SRX2617828,0.0644368901
SRX2617827,-0.0914281985
SRX2617829,0.026991308500000002
SRX3456119,-2.3054928859
SRX3456118,2.2557063431
SRX3456117,1.4131714566
SRX3456101,1.1454340257
SRX3456099,1.1600588602
SRX3456100,-2.3054928859
SRX3456107,5.3028798831
SRX3456105,5.0941813254
SRX4374122,0.7130653817
SRX4374121,0.6961258431
SRX4374123,0.8342789539000001
SRX4374124,-0.21434227700000003
SRX4374125,0.18301536070000002
SRX4374126,0.0313269162
SRX4374127,-1.14985624
SRX4374128,-1.1934286065
SRX4374129,-0.7425962576
SRX4374130,-0.9426010519
SRX4374132,-1.3420552668
SRX4374131,-0.6007500936
SRX4374133,-0.7853380317
SRX4374135,-0.6390494682
SRX4374134,-0.7855222103
SRX4374138,-1.5364168571999999
SRX4374136,-1.241407772
SRX4374137,-1.1912737058
SRX1091379,-0.150953303
SRX1091380,-0.10889909190000001
SRX1091377,0.044629813000000004
SRX1091378,-0.044629813000000004
SRX4647145,0.096887788
SRX4647146,0.07046099210000001
SRX4647147,0.1534743554
SRX4647144,-0.0200528607
SRX4647143,0.0370694171
SRX4647142,-0.0170165564
SRX4647155,-2.2730422273
SRX4647152,-2.0077964201
SRX4647153,-2.0491247671
SRX4647154,-2.2859993509
SRX4647148,-1.8270060468
SRX4647149,-1.8191393046000002
SRX4647151,-1.8123085495
SRX4647150,-1.7263910512
SRX4647123,-0.009577605000000001
SRX4647124,0.37439598420000003
SRX4647125,-0.36481837910000003
SRX3103185,-1.0403213909
SRX3103189,-0.7681948679
SRX3103187,-1.2420054457
SRX3103184,0.0908856779
SRX3103188,0.0420041974
SRX3103186,-0.1328898754
SRX1372110,-1.7899812357
SRX1372111,-1.6140293342
SRX1372108,0.1647091327
SRX1372109,-0.1647091327
SRX4506085,0.1671159074
SRX4506083,0.1318196027
SRX4506089,0.1756106027
SRX4506087,0.1436141136
SRX4506077,-0.0856144764
SRX4506079,-0.080442551
SRX4506075,0.0499738126
SRX4506081,0.1160832148
SRX4506084,-0.0013290149
SRX4506086,-0.06988187180000001
SRX4506088,-0.0916307974
SRX4506090,-0.1144808274
SRX4506078,-0.41138519360000003
SRX4506080,-0.42060230200000004
SRX4506082,-0.2765335695
SRX4506076,-0.3722936669
SRX5352221,0.3688877799
SRX5352223,0.6108557502
SRX5352222,0.9342207799000001
SRX5352229,-2.2650444222
SRX5352227,-1.9711237038
SRX5352228,-2.030973509
SRX5352231,-0.8756284735000001
SRX5352232,-0.2875038151
SRX5352230,-0.5410273369
SRX5352225,0.8239507871
SRX5352224,1.1604923717
SRX5352226,1.0752234337
SRX5352220,0.0407962523
SRX5352219,-0.0445728138
SRX5352218,0.0037765615
SRX4498228,0.16458119400000001
SRX4498224,-0.0105097621
SRX4498230,0.0833565292
SRX4498226,0.0922383564
SRX4498218,-0.0331883354
SRX4498216,0.012247442
SRX4498220,-0.045176184700000004
SRX4498222,0.0661170781
SRX4498225,0.7553539982
SRX4498227,0.722395466
SRX4498231,0.8023314348
SRX4498229,0.8042613617000001
SRX4498217,0.7102277202
SRX4498221,0.48861391340000004
SRX4498219,0.7151529157000001
SRX4498223,0.8854954736
SRX5079928,-0.8011062378
SRX5079930,-0.5270061088
SRX5079929,-0.6642508491
SRX5079923,-0.6353401138
SRX5079924,-0.6911778469000001
SRX5079922,-0.6231206677000001
SRX5079920,-0.01121098
SRX5079921,-0.0506475497
SRX5079919,0.061858529700000005
SRX5079926,-0.6420970111000001
SRX5079925,-0.6621812021
SRX5079927,-0.7388091573000001
SRX894005,-0.7295278141
SRX894004,-0.4258964511
SRX894006,-0.3798787383
SRX893999,0.1473252351
SRX894000,0.014884424600000001
SRX893998,-0.16220965980000002
SRX4647489,-0.015926027500000002
SRX4647490,0.015926027500000002
SRX4647492,-0.3477332018
SRX4647491,-0.32801839450000003
SRX4647496,-0.3191569148
SRX4647495,-0.3033851225
SRX4647499,-0.3818477106
SRX4647500,-0.4181127086
SRX4647493,-0.35509709970000003
SRX4647494,-0.5317388468
SRX4647497,-0.15568739280000002
SRX4647498,-0.222652441
SRX4505482,-0.07057010650000001
SRX4505486,-0.0206634425
SRX4505484,-0.21108765370000002
SRX4505473,0.0075600677
SRX4505476,0.0721625365
