,A,Rv0576
SRX4506080,2.4112153607,0.18803396690000002
SRX4506082,2.6094823633,0.189960176
SRX4506076,2.2035253269,0.3009829271
SRX5352221,-2.8033781642,0.10944742880000001
SRX5352223,-2.9280750896,0.0895513314
SRX5352222,-1.4723255507,-0.0512840896
SRX5352229,0.060418327800000005,0.3704595267
SRX5352227,0.4990933603,0.48748037510000003
SRX5352228,0.0673656811,0.4436442491
SRX5352231,1.0482950741,1.1589913743
SRX5352232,0.5340585121,1.0624599007
SRX5352230,1.1361521728,1.2223462342
SRX5352225,-2.6164793381,-0.2466564561
SRX5352224,-2.4180144711000002,-0.0808666615
SRX5352226,-1.8378248682,-0.0803711374
SRX5352220,0.1747674816,0.0958559242
SRX5352219,0.0943417528,-0.0207612541
SRX5352218,-0.2691092344,-0.0750946701
SRX4498228,-0.185485707,-0.0042259787
SRX4498224,0.27259353680000004,0.0266889465
SRX4498230,0.09969480580000001,0.1364825591
SRX4498226,0.0906674288,0.2066633312
SRX4498218,0.4396012798,-0.13487162
SRX4498216,-0.2744389299,0.22366570400000002
SRX4498220,-0.15180986940000002,0.1003626571
SRX4498222,-0.0133524805,-0.1891567411
SRX4498225,-0.6970013679,0.6164999135
SRX4498227,-0.3011588806,0.5146223549
SRX4498231,-0.2226022704,0.5610497691
SRX4498229,-0.43589161190000003,0.6085925797
SRX4498217,-0.2555598692,0.7668781632
SRX4498221,0.007034993000000001,0.40371599690000004
SRX4498219,-0.2556920531,0.5493606560000001
SRX4498223,-0.1041009205,0.6134531461
SRX5079928,-1.5206575527,-0.2995526779
SRX5079930,-2.161546119,-0.3967348921
SRX5079929,-1.5824622516,-0.3390301954
SRX5079923,-0.8523148578,-0.31528946490000004
SRX5079924,-1.1714332889,-0.33965161400000005
SRX5079922,-0.8035252147,-0.2803270464
SRX5079920,0.07933300680000001,-0.0417142446
SRX5079921,-0.6322129353,0.0171102293
SRX5079919,0.5528799286,0.0246040153
SRX5079926,-1.0887289339,-0.3768235595
SRX5079925,-1.1230143152,-0.2959178433
SRX5079927,-0.9848239411,-0.4261303891
SRX894005,6.0425626829,0.8739548397
SRX894004,6.2273311905,1.0162033624
SRX894006,6.1298716612,0.7962209935
SRX893999,0.2201872632,0.0300688221
SRX894000,0.43919428260000004,0.1846646238
SRX893998,-0.6593815459,-0.21473344590000001
SRX4647489,0.277487737,-0.0487851139
SRX4647490,-0.277487737,0.0487851139
SRX4647492,0.1327627495,-0.0594972998
