,A,phoP
SRX4498310,0.1566624953,0.028162078400000002
SRX4498319,0.7084395086,0.135488244
SRX4498317,1.0422247455,0.0060848834
SRX4498311,-4.1313360975,-0.050236900200000004
SRX4498315,-3.9285216267000003,-0.0424928394
SRX4498309,-3.8174859022,0.053799229000000004
SRX4498313,-3.6842211225,0.0709622516
SRX4615568,-0.33598216280000004,0.1341236245
SRX4615570,0.33598216280000004,-0.1341236245
SRX727246,-1.6624490463,0.2833393808
SRX727243,-1.0698669275000001,0.0251342706
SRX727247,-1.9235245937,0.10642083690000001
SRX727244,-0.9549647967,0.1269283906
SRX727245,-1.0282892414,0.21162806280000002
SRX727248,-1.9838159216000002,-0.0399600618
SRX727249,0.2328258776,0.11427054910000001
SRX727251,-0.0418357648,0.023018220500000002
SRX727250,-0.1909901128,-0.1372887697
SRX4498332,0.7105086922,-0.28436059210000003
SRX4498334,0.1302727265,-0.0731901667
SRX4498335,0.2136206461,-0.2399293431
SRX4498337,0.07599608690000001,-0.1494898254
SRX4498324,0.3158201425,-0.0460335605
SRX4498326,-0.167975018,-0.007667054800000001
SRX4498328,-0.11151944180000001,0.0888944252
SRX4498330,-0.0363256827,-0.035193809900000005
SRX4498336,-5.9599916673,-0.3615787569
SRX4498333,-5.9756086577000005,-0.35084475860000003
SRX4498338,-7.0821209266,-0.5098305606
SRX4498329,-7.9595155605,-0.6168456290000001
SRX4498325,-8.0784141943,-0.6601836665
SRX4498327,-7.8674600556000005,-0.3684864295
SRX4498331,-7.8323774522,-0.37355025810000003
