,-0.06820563687737599,-0.051154227658031994,-0.034102818438687996,-0.017051409219343998,0.0,0.017051409219344005,0.034102818438687996,0.05115422765803199,0.06820563687737599,0.08525704609672,0.102308455316064,0.11935986453540798,0.13641127375475198,0.153462682974096,0.17051409219343996,0.18756550141278397,0.20461691063212797,0.22166831985147198,0.23871972907081598,0.25577113829015996
thresh,-0.076731341487048,0.076731341487048,2,,,,,,,,,,,,,,,,,
unreg,1,13,65,805,2169,550,63,24,5,3,1,0,3,1,0,0,0,0,0,0
phoP,0,1,3,28,100,40,10,4,2,5,4,2,0,1,2,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['Rv1638A' 'Rv3706c' 'Rv2288'],['PPE19'],[],['aprA' 'aprB' 'pks2'],['Rv3312b'],[],[],[],[],[],[]
phoP_genes,[],['Rv3415c'],['whiB6' 'PE8' 'Rv0756c'],"['yrbE4B' 'Rv3902c' 'amt' 'iniB' 'PE32' 'Rv3118' 'Rv1776c' 'Rv1101c'
 'Rv3196A' 'Rv0025' 'phoR' 'rpsR1' 'hflX' 'Rv2844' 'Rv2929' 'esxJ'
 'Rv2598' 'Rv2990c' 'lpqG' 'devR' 'lysS' 'Rv3428c' 'plcB' 'glnB' 'icd2'
 'ilvG' 'murI' 'hisS']","['devS' 'Rv1289' 'nrdF2' 'hisG' 'PPE3' 'PPE37' 'Rv1515c' 'Rv3483c'
 'Rv1199c' 'Rv2367c' 'Rv1518' 'add' 'Rv0207c' 'Rv2901c' 'mmpL4' 'atpE'
 'Rv0923c' 'lipO' 'fdhD' 'moeW' 'secA2' 'ppsD' 'Rv0987' 'emrB' 'Rv1132'
 'Rv3531c' 'rplI' 'moeB2' 'drrC' 'eccCb1' 'Rv3120' 'Rv2970A' 'Rv2578c'
 'Rv2125' 'fdhF' 'Rv2366c' 'lepB' 'rnhB' 'atpF' 'Rv2273' 'rfbE' 'ideR'
 'Rv0250c' 'Rv1488' 'Rv1428c' 'php' 'Rv2585c' 'Rv1647' 'Rv0446c' 'atpH'
 'Rv3351c' 'PPE55' 'Rv2272' 'Rv0674' 'PPE54' 'Rv0111' 'atpB' 'Rv0480c'
 'atpG' 'mce1D' 'Rv2120c' 'fadD12' 'sigK' 'PE19' 'fbpD' 'esxW' 'fadE34'
 'yjcE' 'dppD' 'cyp141' 'Rv2271' 'Rv1520' 'mce1B' 'Rv1771' 'drrB' 'cyp121'
 'Rv3583c' 'eccCa1' 'Rv3289c' 'Rv3529c' 'mntH' 'atpD' 'bacA' 'Rv1312'
 'fadE8' 'lpqE' 'Rv2216' 'drrA' 'lppQ' 'cysM' 'rfbD' 'Rv2275' 'Rv1200'
 'ppsC' 'aftB' 'esxI' 'mazF8' 'Rv2277c' 'ppsB' 'esxV']","['Rv1516c' 'hsp' 'atpC' 'Rv1352' 'ppsA' 'lipA' 'Rv2365c' 'Rv3484' 'yrbE1B'
 'ppsE' 'fadD5' 'mce1C' 'Rv3134c' 'Rv1868' 'lprK' 'atpA' 'esxO' 'Rv3780'
 'Rv0726c' 'glfT1' 'papA5' 'PPE51' 'Rv1869c' 'PE_PGRS62' 'Rv0479c'
 'Rv1775' 'ispD' 'relA' 'Rv2954c' 'Rv2395' 'cpsY' 'mce1A' 'Rv1489'
 'Rv0725c' 'proS' 'Rv2632c' 'ggtB' 'che1' 'esxL' 'fadD29']","['nirD' 'Rv2135c' 'Rv0888' 'rpfD' 'hddA' 'mez' 'cysH' 'fadD23' 'PPE50'
 'gmhB']",['Rv3479' 'espR' 'mmpL8' 'PE_PGRS41'],['Rv1179c' 'papA3'],['fadD21' 'pks4' 'papA1' 'whiB3' 'Rv2331A'],['Rv3686c' 'Rv3767c' 'narK1' 'Rv3822'],['PPE60' 'pks3'],[],['lipF'],['Rv1184c' 'Rv2331'],[],['Rv3312A'],[],[],[]
