,0
gene_id,Rv1507A
name,Rv1507A
operon,Op964
gene_product,hypothetical protein
COG,No COG annotation
regulator,"Rv0047c,Rv0081,Rv0324,devR,lsr2"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1507A"">External Database</a>"
